DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_RAW_VSM_10,Associated
0.0737,0.0374,NO
0.0652,0.0126,NO
0.1144,0.1406,NO
0.2164,0.0508,NO
0.0671,0.1494,NO
0.0906,0.1986,NO
0.0589,0.0568,NO
0.0679,0.061,NO
0.1689,0.1525,NO
0.2469,0.3805,YES
0.0616,0.0939,NO
0.33799999999999997,1.0,YES
0.2427,0.1937,NO
0.2231,0.1937,NO
0.2223,0.1937,NO
0.1142,0.159,NO
0.0706,0.20600000000000002,NO
0.1109,0.0393,NO
0.0747,0.1423,NO
0.2179,0.0351,NO
0.1147,0.2083,NO
0.0779,0.3196,YES
0.0804,1.0,YES
0.1668,0.3527,YES
0.24,1.0,YES
0.1573,0.1423,NO
0.0716,0.267,YES
0.1205,0.1423,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.1778,NO
0.1579,0.1033,NO
0.1148,0.0776,NO
0.1112,0.1778,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.1778,NO
0.1056,0.1156,NO
0.0981,0.0944,NO
0.1058,0.1156,NO
0.1797,0.1766,NO
0.1526,0.1766,NO
0.1551,0.1766,NO
0.2811,0.3715,YES
0.0766,0.1138,NO
0.1126,1.0,YES
0.0341,0.0227,NO
0.3399,0.3715,YES
0.0412,0.0742,NO
0.1212,0.1156,NO
0.0769,0.0533,NO
0.1235,0.1231,NO
0.0802,0.0602,NO
0.1903,0.1778,NO
0.1119,0.0444,NO
0.1008,0.1778,NO
0.0886,0.1731,NO
0.1534,0.1731,NO
0.1331,0.1505,NO
0.2865,0.1616,NO
0.1512,0.1616,NO
0.1666,0.1986,NO
0.1465,0.1387,NO
0.0509,0.0623,NO
0.2187,0.1525,NO
0.4574,0.5256,YES
0.1603,0.1452,NO
0.2015,1.0,YES
0.205,0.0656,NO
0.2168,0.1766,NO
0.2136,0.0431,NO
0.1919,0.1731,NO
0.1533,0.20600000000000002,NO
0.1268,0.1731,NO
0.1947,0.0651,NO
0.1755,0.1731,NO
0.2202,0.2083,NO
0.4465,0.5256,YES
0.4252,1.0,YES
0.3653,0.5256,YES
0.1771,1.0,YES
0.1659,0.1505,NO
0.1927,0.267,YES
0.1251,0.1505,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.1692,NO
0.1662,0.1268,NO
0.1507,0.1268,NO
0.1441,0.1692,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.1692,NO
0.0952,0.084,NO
0.1364,0.0977,NO
0.0887,0.0648,NO
0.2289,0.092,NO
0.2088,0.1528,NO
0.2075,0.0634,NO
0.1923,1.0,YES
0.0927,0.1138,NO
0.0821,1.0,YES
0.0311,0.0372,NO
0.3081,0.284,YES
0.0406,0.1268,NO
0.1251,0.049,NO
0.091,0.106,NO
0.11800000000000001,0.1387,NO
0.1053,0.0602,NO
0.2201,0.1692,NO
0.1351,0.05,NO
0.1328,0.1692,NO
0.0724,0.1328,NO
0.0244,0.1088,NO
0.1404,0.1977,YES
0.3348,0.4216,YES
0.2937,1.0,YES
0.14300000000000002,0.3354,YES
0.0826,0.1088,NO
0.013000000000000001,0.1088,NO
0.2103,0.2111,YES
0.1395,0.0968,NO
0.1325,0.2111,YES
0.1443,0.0968,NO
0.2165,0.1049,NO
0.1934,0.1719,NO
0.1934,0.0906,NO
0.0572,0.07200000000000001,NO
0.2318,1.0,YES
0.0556,0.1088,NO
0.3609,1.0,YES
0.1417,0.028999999999999998,NO
0.255,1.0,YES
0.0522,0.1005,NO
0.0677,0.2519,NO
0.1439,0.2125,NO
0.0494,0.0457,NO
0.1715,0.3354,YES
0.0964,0.0552,NO
0.1343,0.3354,YES
0.1544,0.0747,NO
0.0732,0.0217,NO
0.1975,0.2286,NO
0.2582,0.1827,NO
0.1977,0.2524,NO
0.1701,0.2524,NO
0.1684,0.0789,NO
0.1225,0.061,NO
0.1458,0.2286,NO
0.4028,0.4997,YES
0.1577,0.1312,NO
0.2904,1.0,YES
0.1987,0.1844,NO
0.1756,0.1844,NO
0.1689,0.1844,NO
0.054000000000000006,0.159,NO
0.1469,0.2524,NO
0.0547,0.0465,NO
0.1082,0.2524,NO
0.2019,0.0416,NO
0.1293,0.2524,NO
0.3897,0.4997,YES
0.3612,1.0,YES
0.2791,0.4997,YES
0.2894,1.0,YES
0.2226,0.2524,NO
0.1753,0.267,YES
0.0979,0.2524,NO
0.0985,0.1566,NO
0.0774,0.11,NO
0.1069,0.2378,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,1.0,YES
0.0885,0.1548,NO
0.0604,0.0358,NO
0.2068,0.2465,YES
0.2598,0.2548,NO
0.106,0.2134,YES
0.1459,0.2564,NO
0.2252,0.1928,NO
0.2571,0.1928,NO
0.2375,0.1928,NO
0.1453,0.1132,NO
0.2245,1.0,YES
0.141,0.1132,NO
0.2623,1.0,YES
0.142,0.11,NO
0.2555,1.0,YES
0.2049,0.2548,NO
0.2206,0.2564,NO
0.2228,0.2548,NO
0.1032,0.2564,NO
0.1461,1.0,YES
0.1116,0.1256,NO
0.1326,1.0,YES
0.1415,0.1755,NO
0.0745,0.1669,NO
0.2381,0.2199,NO
0.19,0.1464,NO
0.1547,0.2395,NO
0.1997,0.2963,NO
0.1653,0.1987,NO
0.1536,0.0647,NO
0.1999,0.1924,NO
0.1989,0.2462,YES
0.2045,0.2199,NO
0.2447,0.4061,YES
0.2519,0.2418,NO
0.2036,0.2418,NO
0.2033,0.2418,NO
0.0533,0.1755,NO
0.105,0.2395,NO
0.055999999999999994,0.1755,NO
0.1113,0.2395,NO
0.2256,0.1669,NO
0.0989,0.2395,NO
0.1879,0.2462,YES
0.1445,0.3025,YES
0.1901,1.0,YES
0.3108,0.1771,YES
0.2405,0.2395,NO
0.1657,0.3603,YES
0.1331,0.2395,NO
0.0949,0.1495,NO
0.1339,0.0434,NO
0.22399999999999998,0.1896,NO
0.1967,0.2653,NO
0.1436,0.2338,NO
0.2079,0.2963,NO
0.1339,0.1987,NO
0.0967,0.0647,NO
0.2198,0.2133,NO
0.3428,1.0,YES
0.2344,0.2133,NO
0.1736,1.0,YES
0.1331,0.1248,NO
0.0735,0.0486,NO
0.0647,0.047,NO
0.204,0.159,NO
0.1327,0.2338,NO
0.1655,0.0807,NO
0.31,0.2338,NO
0.1309,0.0687,NO
0.2819,0.2083,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.2254,NO
0.2673,0.3603,YES
0.1726,0.1892,NO
0.1439,0.1796,NO
0.0769,0.1796,NO
0.1953,0.1743,NO
0.2342,0.2653,NO
0.2047,0.2174,NO
0.1823,0.2963,NO
0.1684,0.1987,NO
0.1204,0.1796,NO
0.1751,0.1743,NO
0.3579,1.0,YES
0.1828,0.1743,NO
0.2083,1.0,YES
0.2252,0.1248,NO
0.2041,0.1766,NO
0.2007,0.0591,NO
0.0498,0.1579,NO
0.1415,0.1906,NO
0.0515,0.1796,NO
0.1207,0.2174,NO
0.1912,0.1479,NO
0.14,0.2174,NO
0.4038,1.0,YES
0.3494,0.4613,YES
0.2799,1.0,YES
0.2675,0.3444,YES
0.2206,0.2254,NO
0.2003,0.3603,YES
0.1168,0.166,NO
