DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_LSA_36,Associated
0.0737,0.2076,NO
0.0652,0.1091,NO
0.1144,0.1818,NO
0.2164,0.3384,NO
0.0671,0.191,NO
0.0906,0.1818,NO
0.0589,0.2201,NO
0.0679,0.2201,NO
0.1689,0.2186,NO
0.2469,1.0,YES
0.0616,0.1376,NO
0.33799999999999997,1.0,YES
0.2427,0.3391,NO
0.2231,0.3391,NO
0.2223,0.3391,NO
0.1142,0.1438,NO
0.0706,0.2942,NO
0.1109,0.2201,NO
0.0747,0.191,NO
0.2179,0.2508,NO
0.1147,0.191,NO
0.0779,0.5181,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.1285,NO
0.0716,0.2113,YES
0.1205,0.2183,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.3639,NO
0.1579,0.3639,NO
0.1148,0.27899999999999997,NO
0.1112,0.3639,NO
0.3947,1.0,YES
0.0957,0.405,YES
0.1364,0.3639,NO
0.1056,0.3066,NO
0.0981,0.2853,NO
0.1058,0.3066,NO
0.1797,0.397,NO
0.1526,0.397,NO
0.1551,0.397,NO
0.2811,1.0,YES
0.0766,0.3639,NO
0.1126,1.0,YES
0.0341,0.2676,NO
0.3399,1.0,YES
0.0412,0.2664,NO
0.1212,0.2082,NO
0.0769,0.3066,NO
0.1235,0.3066,NO
0.0802,0.3066,NO
0.1903,0.2853,NO
0.1119,0.2314,NO
0.1008,0.2584,NO
0.0886,0.21600000000000003,NO
0.1534,0.21600000000000003,NO
0.1331,0.3233,NO
0.2865,0.6139,NO
0.1512,0.3369,NO
0.1666,0.3464,NO
0.1465,0.2344,NO
0.0509,0.0777,NO
0.2187,0.3063,NO
0.4574,1.0,YES
0.1603,0.3591,NO
0.2015,1.0,YES
0.205,0.161,NO
0.2168,0.161,NO
0.2136,0.1606,NO
0.1919,0.3249,NO
0.1533,0.3076,NO
0.1268,0.2886,NO
0.1947,0.391,NO
0.1755,0.21600000000000003,NO
0.2202,0.3076,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,0.9091,YES
0.1771,1.0,YES
0.1659,0.2544,NO
0.1927,0.6631,YES
0.1251,0.2574,NO
0.1303,1.0,YES
0.1814,1.0,YES
