DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_VSM_87,Associated
0.0737,0.1671,NO
0.0652,0.1109,NO
0.1144,0.1818,NO
0.2164,0.3895,NO
0.0671,0.3315,NO
0.0906,0.6773,NO
0.0589,0.4224,NO
0.0679,0.1047,NO
0.1689,0.2452,NO
0.2469,1.0,YES
0.0616,0.7077,NO
0.33799999999999997,1.0,YES
0.2427,0.3701,NO
0.2231,0.3574,NO
0.2223,0.3701,NO
0.1142,0.1047,NO
0.0706,0.1367,NO
0.1109,0.2886,NO
0.0747,0.4343,NO
0.2179,0.2508,NO
0.1147,0.4715,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.2322,NO
0.0716,1.0,YES
0.1205,0.3939,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.4007,NO
0.1579,0.3639,NO
0.1148,0.27899999999999997,NO
0.1112,0.3765,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2584,NO
0.1056,0.2314,NO
0.0981,0.4007,NO
0.1058,0.0626,NO
0.1797,0.1441,NO
0.1526,0.0887,NO
0.1551,0.1158,NO
0.2811,1.0,YES
0.0766,0.2735,NO
0.1126,1.0,YES
0.0341,0.3639,NO
0.3399,1.0,YES
0.0412,0.3639,NO
0.1212,0.2314,NO
0.0769,0.2314,NO
0.1235,0.2314,NO
0.0802,0.127,NO
0.1903,0.4007,NO
0.1119,0.2314,NO
0.1008,0.3639,NO
0.0886,0.21600000000000003,NO
0.1534,0.21600000000000003,NO
0.1331,0.1657,NO
0.2865,0.6139,NO
0.1512,0.3369,NO
0.1666,0.3322,NO
0.1465,0.2252,NO
0.0509,0.21600000000000003,NO
0.2187,0.2357,NO
0.4574,1.0,YES
0.1603,0.3471,NO
0.2015,1.0,YES
0.205,0.1924,NO
0.2168,0.1924,NO
0.2136,0.1924,NO
0.1919,0.21600000000000003,NO
0.1533,0.0928,NO
0.1268,0.2774,NO
0.1947,0.3757,NO
0.1755,0.2508,NO
0.2202,0.4531,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,0.8737,YES
0.1771,1.0,YES
0.1659,0.2232,NO
0.1927,0.6372,YES
0.1251,0.2473,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.6805,NO
0.1662,0.6805,NO
0.1507,0.5217,NO
0.1441,0.6805,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.4748,NO
0.0952,0.601,NO
0.1364,0.6805,NO
0.0887,0.601,NO
0.2289,0.7021,NO
0.2088,0.7021,NO
0.2075,0.7021,NO
0.1923,1.0,YES
0.0927,0.5115,NO
0.0821,1.0,YES
0.0311,0.6805,NO
0.3081,1.0,YES
0.0406,0.6805,NO
0.1251,0.601,NO
0.091,0.4197,NO
0.11800000000000001,0.4197,NO
0.1053,0.601,NO
0.2201,0.5415,NO
0.1351,0.4197,NO
0.1328,0.6805,NO
0.0724,0.0921,NO
0.0244,0.2059,NO
0.1404,0.7346,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.7346,YES
0.0826,0.22,NO
0.013000000000000001,0.0982,NO
0.2103,0.3689,YES
0.1395,0.1552,NO
0.1325,0.7346,YES
0.1443,0.22399999999999998,NO
0.2165,0.3291,NO
0.1934,0.3179,NO
0.1934,0.3291,NO
0.0572,0.0921,NO
0.2318,1.0,YES
0.0556,0.0921,NO
0.3609,1.0,YES
0.1417,0.3664,NO
0.255,1.0,YES
0.0522,0.3405,NO
0.0677,0.457,NO
0.1439,0.3867,NO
0.0494,0.2429,NO
0.1715,0.5192,YES
0.0964,0.3518,NO
0.1343,0.7346,YES
0.1544,0.1996,NO
0.0732,0.1996,NO
0.1975,0.4137,NO
0.2582,0.6139,NO
0.1977,0.3369,NO
0.1701,0.4167,NO
0.1684,0.2599,NO
0.1225,0.1996,NO
0.1458,0.2078,NO
0.4028,1.0,YES
0.1577,0.4354,NO
0.2904,1.0,YES
0.1987,0.2525,NO
0.1756,0.2525,NO
0.1689,0.2525,NO
0.054000000000000006,0.1996,NO
0.1469,0.311,NO
0.0547,0.1996,NO
0.1082,0.4137,NO
0.2019,0.2508,NO
0.1293,0.4137,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,0.7522,YES
0.2894,1.0,YES
0.2226,0.2924,NO
0.1753,0.6152,YES
0.0979,0.4137,NO
0.0985,0.1165,NO
0.0774,0.2059,NO
0.1069,0.8266,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.8266,YES
0.0885,0.2476,NO
0.0604,0.1105,NO
0.2068,0.433,YES
0.2598,0.6968,NO
0.106,0.8266,YES
0.1459,0.3749,NO
0.2252,0.4403,NO
0.2571,0.4403,NO
0.2375,0.4403,NO
0.1453,0.1146,NO
0.2245,1.0,YES
0.141,0.2011,NO
0.2623,1.0,YES
0.142,0.4123,NO
0.2555,1.0,YES
0.2049,0.6968,NO
0.2206,0.6232,NO
0.2228,0.6334,NO
0.1032,0.3377,NO
0.1461,0.5843,YES
0.1116,0.462,NO
0.1326,0.8266,YES
0.1415,0.2332,NO
0.0745,0.2332,NO
0.2381,0.4328,NO
0.19,0.6139,NO
0.1547,0.3369,NO
0.1997,0.4328,NO
0.1653,0.2332,NO
0.1536,0.2332,NO
0.1999,0.2758,NO
0.1989,1.0,YES
0.2045,0.4328,NO
0.2447,1.0,YES
0.2519,0.4406,NO
0.2036,0.4406,NO
0.2033,0.4406,NO
0.0533,0.2332,NO
0.105,0.3253,NO
0.055999999999999994,0.2332,NO
0.1113,0.4328,NO
0.2256,0.2508,NO
0.0989,0.4328,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,0.7522,YES
0.3108,1.0,YES
0.2405,0.4239,NO
0.1657,0.5155,YES
0.1331,0.4328,NO
0.0949,0.1671,NO
0.1339,0.1091,NO
0.22399999999999998,0.4095,NO
0.1967,0.4834,NO
0.1436,0.3315,NO
0.2079,0.5273,NO
0.1339,0.3289,NO
0.0967,0.1016,NO
0.2198,0.4095,NO
0.3428,1.0,YES
0.2344,0.551,NO
0.1736,1.0,YES
0.1331,0.1661,NO
0.0735,0.1756,NO
0.0647,0.1733,NO
0.204,0.0885,NO
0.1327,0.3293,NO
0.1655,0.2886,NO
0.31,0.4374,NO
0.1309,0.2508,NO
0.2819,0.4715,NO
0.4042,1.0,YES
0.3296,0.8945,YES
0.4941,0.9091,YES
0.1783,1.0,YES
0.193,0.3496,NO
0.2673,0.7786,YES
0.1726,0.3067,NO
0.1439,0.2093,NO
0.0769,0.2093,NO
0.1953,0.4413,NO
0.2342,0.6139,NO
0.2047,0.3384,NO
0.1823,0.4413,NO
0.1684,0.2509,NO
0.1204,0.2093,NO
0.1751,0.2216,NO
0.3579,1.0,YES
0.1828,0.4413,NO
0.2083,0.8982,YES
0.2252,0.2866,NO
0.2041,0.2866,NO
0.2007,0.2866,NO
0.0498,0.2093,NO
0.1415,0.3317,NO
0.0515,0.2093,NO
0.1207,0.4413,NO
0.1912,0.2253,NO
0.14,0.4413,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,0.7522,YES
0.2675,0.8982,YES
0.2206,0.3119,NO
0.2003,0.594,YES
0.1168,0.4413,NO
0.0727,0.1341,NO
0.0714,0.1109,NO
0.10800000000000001,0.31,NO
0.2886,0.6139,NO
0.1427,0.3369,NO
0.0855,0.6773,NO
0.0605,0.4224,NO
0.0532,0.0767,NO
0.1421,0.1851,NO
0.4397,1.0,YES
0.0607,0.7077,NO
0.2347,1.0,YES
0.2118,0.2846,NO
0.2048,0.2749,NO
0.2045,0.2846,NO
0.0849,0.0287,NO
0.1035,0.3335,NO
0.0824,0.2179,NO
0.0975,0.4343,NO
0.1702,0.2508,NO
0.1518,0.35600000000000004,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,1.0,YES
0.1375,0.2191,NO
0.1128,1.0,YES
0.099,0.3939,NO
0.1069,0.2216,NO
0.0451,0.3162,NO
0.5095,1.0,YES
0.1431,0.6673,YES
0.1227,0.5116,YES
0.2847,1.0,YES
0.2237,0.3986,NO
0.1065,0.2194,NO
0.3266,1.0,YES
0.0974,0.7244,NO
0.3289,1.0,YES
0.1059,0.196,NO
0.2131,0.5121,NO
0.1496,0.2252,NO
0.1474,0.2479,NO
0.0902,0.2194,NO
0.0993,0.5293,YES
0.0875,0.2282,NO
0.2369,0.6673,YES
0.2129,0.4826,NO
0.1321,0.6673,YES
0.1271,0.7244,NO
0.08,0.7244,NO
0.3025,0.7244,NO
0.12,0.3976,NO
0.3399,1.0,YES
0.2516,0.7244,NO
0.2081,1.0,YES
0.1799,0.2216,NO
0.1547,0.3044,NO
0.3595,0.7653,YES
0.2156,0.1847,NO
0.1535,0.1949,NO
0.4159,1.0,YES
0.1827,0.3772,NO
0.1097,0.134,NO
0.5448,1.0,YES
0.191,0.2628,NO
0.4381,0.8915,YES
0.1528,0.1414,NO
0.3264,0.4424,NO
0.3203,0.1946,NO
0.2648,0.0492,NO
0.171,0.1297,NO
0.21899999999999997,0.5293,NO
0.1398,0.1747,NO
0.3673,0.537,NO
0.1451,0.2986,NO
0.2637,0.3889,NO
0.1991,0.2628,NO
0.1784,0.2469,NO
0.3767,0.5719,NO
0.1917,0.3342,NO
0.3794,1.0,YES
0.3359,0.6436,NO
0.2874,0.9755,YES
0.0798,0.17600000000000002,NO
0.0364,0.2418,NO
0.2475,0.982,YES
0.2794,1.0,YES
0.2232,0.8408,YES
0.2213,0.982,YES
0.1233,0.314,NO
0.0474,0.1537,NO
0.2799,0.8593,YES
0.2328,0.8445,NO
0.2608,0.982,YES
0.1095,0.4402,NO
0.2365,0.5221,NO
0.2061,0.5221,NO
0.2048,0.5221,NO
0.0456,0.1537,NO
0.1795,1.0,YES
0.0442,0.1798,NO
0.27,1.0,YES
0.1224,0.4898,NO
0.1913,1.0,YES
0.2397,0.8445,NO
0.2111,0.8445,NO
0.2935,0.6352,NO
0.1155,0.3936,NO
0.243,0.8593,YES
0.1959,0.4536,NO
0.198,0.982,YES
0.1636,0.146,NO
0.1646,0.3162,NO
0.3881,0.6768,YES
0.1762,0.171,NO
0.1649,0.1984,NO
0.4197,1.0,YES
0.1681,0.2943,NO
0.153,0.1381,NO
0.4738,1.0,YES
0.159,0.439,NO
0.493,1.0,YES
0.1456,0.2362,NO
0.2244,0.5579,NO
0.1542,0.3363,NO
0.1277,0.3363,NO
0.1775,0.1012,NO
0.2106,0.4061,NO
0.1654,0.1267,NO
0.3557,0.6151,NO
0.0902,0.3011,NO
0.2663,0.3164,NO
0.2218,0.439,NO
0.1764,0.3927,NO
0.3901,0.5872,NO
0.21600000000000003,0.3552,NO
0.402,1.0,YES
0.3584,0.5021,NO
