DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_71,Associated
0.0737,1.0422,NO
0.0652,0.6773,NO
0.1144,1.1194,NO
0.2164,1.2978,NO
0.0671,1.5122,NO
0.0906,1.1797,NO
0.0589,1.3824,NO
0.0679,0.7179,NO
0.1689,0.7024,NO
0.2469,2.3899,YES
0.0616,0.9683,NO
0.33799999999999997,2.2058,YES
0.2427,1.1819,NO
0.2231,0.8791,NO
0.2223,0.8422,NO
0.1142,0.5217,NO
0.0706,1.492,NO
0.1109,0.8213,NO
0.0747,0.8589,NO
0.2179,0.9317,NO
0.1147,1.3883,NO
0.0779,2.4162,YES
0.0804,3.0864,YES
0.1668,1.9880000000000002,YES
0.24,2.3555,YES
0.1573,0.7701,NO
0.0716,2.0746,YES
0.1205,0.9964,NO
0.1072,2.4028,YES
0.2444,2.0738,YES
0.3362,0.8801,NO
0.1579,0.4597,NO
0.1148,0.7986,NO
0.1112,0.9570000000000001,NO
0.3947,2.3619,YES
0.0957,1.4003,YES
0.1364,0.5728,NO
0.1056,0.6404,NO
0.0981,0.5833,NO
0.1058,0.7492,NO
0.1797,0.8246,NO
0.1526,0.5426,NO
0.1551,0.4082,NO
0.2811,1.4665,YES
0.0766,0.7558,NO
0.1126,2.2698,YES
0.0341,0.6749,NO
0.3399,1.4919,YES
0.0412,0.6214,NO
0.1212,0.6478,NO
0.0769,1.2444,NO
0.1235,0.4221,NO
0.0802,0.5425,NO
0.1903,0.6342,NO
0.1119,0.3462,NO
0.1008,0.6656,NO
0.0886,0.9171,NO
0.1534,0.5821,NO
0.1331,1.9814,NO
0.2865,1.1614,NO
0.1512,1.745,NO
0.1666,1.6951,NO
0.1465,1.4802,NO
0.0509,0.4957,NO
0.2187,1.167,NO
0.4574,3.7097,YES
0.1603,1.7598,NO
0.2015,3.5135,YES
0.205,1.1054,NO
0.2168,1.0198,NO
0.2136,0.7118,NO
0.1919,0.5472,NO
0.1533,1.8961,NO
0.1268,0.5131,NO
0.1947,0.9216,NO
0.1755,0.7467,NO
0.2202,1.7917,NO
0.4465,3.6867,YES
0.4252,4.0569,YES
0.3653,3.092,YES
0.1771,2.6589,YES
0.1659,1.1771,NO
0.1927,3.3344,YES
0.1251,1.5634,NO
0.1303,1.9438,YES
0.1814,1.5929,YES
0.3356,0.5761,NO
0.1662,0.3669,NO
0.1507,0.5871,NO
0.1441,0.6751,NO
0.3435,2.0939,YES
0.1243,1.3228,YES
0.1731,0.5047,NO
0.0952,0.4777,NO
0.1364,0.5365,NO
0.0887,0.5722,NO
0.2289,0.7026,NO
0.2088,0.8055,NO
0.2075,0.5265,NO
0.1923,0.8866,YES
0.0927,0.5443,NO
0.0821,1.6712,YES
0.0311,0.5365,NO
0.3081,1.1212,YES
0.0406,0.6369,NO
0.1251,0.4522,NO
0.091,0.8634,NO
0.11800000000000001,0.503,NO
0.1053,0.2395,NO
0.2201,0.5497,NO
0.1351,0.3497,NO
0.1328,0.6192,NO
0.0724,0.9520000000000001,NO
0.0244,0.5328,NO
0.1404,0.8959999999999999,YES
0.3348,3.9897,YES
0.2937,4.3781,YES
0.14300000000000002,2.017,YES
0.0826,1.4495,NO
0.013000000000000001,0.297,NO
0.2103,1.2779,YES
0.1395,1.2294,NO
0.1325,1.3722,YES
0.1443,1.0519,NO
0.2165,1.2706,NO
0.1934,0.7798,NO
0.1934,0.7171,NO
0.0572,0.6705,NO
0.2318,4.0113,YES
0.0556,0.4512,NO
0.3609,3.2628,YES
0.1417,0.66,NO
0.255,3.3934,YES
0.0522,1.1174,NO
0.0677,1.5526,NO
