DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_22,Associated
0.0737,1.0159,NO
0.0652,0.2622,NO
0.1144,0.5199,NO
0.2164,1.0133,NO
0.0671,0.7473,NO
0.0906,0.7488,NO
0.0589,0.6701,NO
0.0679,0.6184,NO
0.1689,0.3963,NO
0.2469,1.7098,YES
0.0616,0.4399,NO
0.33799999999999997,1.5419,YES
0.2427,0.6223,NO
0.2231,0.7364,NO
0.2223,0.1097,NO
0.1142,0.43700000000000006,NO
0.0706,1.2434,NO
0.1109,0.7599,NO
0.0747,0.866,NO
0.2179,0.2812,NO
0.1147,0.7115,NO
0.0779,1.6225,YES
0.0804,1.9291,YES
0.1668,1.4680000000000002,YES
0.24,1.3589,YES
0.1573,0.5141,NO
0.0716,1.204,YES
0.1205,0.4582,NO
0.1072,1.7428,YES
0.2444,0.6325,YES
0.3362,1.1842,NO
0.1579,0.8139,NO
0.1148,0.4377,NO
0.1112,1.1084,NO
0.3947,1.0597,YES
0.0957,1.3269,YES
0.1364,1.0073,NO
0.1056,0.499,NO
0.0981,0.9578,NO
0.1058,0.4574,NO
0.1797,0.8065,NO
0.1526,0.8475,NO
0.1551,0.4195,NO
0.2811,1.1396,YES
0.0766,0.6657,NO
0.1126,1.5141,YES
0.0341,0.3072,NO
0.3399,0.7879999999999999,YES
0.0412,0.3517,NO
0.1212,0.5581,NO
0.0769,0.9354,NO
0.1235,0.5415,NO
0.0802,0.2772,NO
0.1903,1.1031,NO
0.1119,0.9342,NO
0.1008,0.8664,NO
0.0886,1.9929,NO
0.1534,0.4091,NO
0.1331,1.2562,NO
0.2865,1.8123,NO
0.1512,1.514,NO
0.1666,1.9745,NO
0.1465,1.2593,NO
0.0509,0.8467,NO
0.2187,1.3491,NO
0.4574,3.5523,YES
0.1603,1.4256,NO
0.2015,3.281,YES
0.205,1.4061,NO
0.2168,1.1624,NO
0.2136,0.2393,NO
0.1919,0.9613,NO
0.1533,2.3856,NO
0.1268,1.2833,NO
0.1947,1.6259,NO
0.1755,0.3924,NO
0.2202,1.328,NO
0.4465,3.4445,YES
0.4252,4.3226,YES
0.3653,3.1761,YES
0.1771,2.5989999999999998,YES
0.1659,1.6617,NO
0.1927,3.3022,YES
0.1251,1.6347,NO
0.1303,2.1393,YES
0.1814,1.3695,YES
0.3356,1.7532,NO
0.1662,1.0811,NO
0.1507,0.7212,NO
0.1441,1.6387,NO
0.3435,1.7177,YES
0.1243,1.9015,YES
0.1731,1.3751,NO
0.0952,0.7249,NO
0.1364,1.1839,NO
0.0887,0.3715,NO
0.2289,0.9974,NO
0.2088,1.2557,NO
0.2075,0.5835,NO
0.1923,1.6921,YES
0.0927,0.8303,NO
0.0821,2.0714,YES
0.0311,0.5179,NO
0.3081,1.1254,YES
0.0406,0.4862,NO
0.1251,0.4883,NO
0.091,1.1099,NO
0.11800000000000001,0.44799999999999995,NO
0.1053,0.2877,NO
0.2201,1.4736,NO
0.1351,0.8272,NO
0.1328,1.2478,NO
0.0724,1.4555,NO
0.0244,0.5847,NO
0.1404,1.751,YES
0.3348,3.5424,YES
0.2937,3.1873,YES
0.14300000000000002,2.2159999999999997,YES
0.0826,0.8809,NO
0.013000000000000001,0.9414,NO
0.2103,1.2665,YES
0.1395,1.4456,NO
0.1325,1.3141,YES
0.1443,0.8595,NO
0.2165,1.3719,NO
0.1934,1.8373,NO
0.1934,0.4886,NO
0.0572,0.6891,NO
0.2318,3.7888,YES
0.0556,0.958,NO
0.3609,2.7837,YES
0.1417,0.6254,NO
0.255,2.7207,YES
0.0522,0.8499,NO
0.0677,2.2052,NO
0.1439,0.8889,NO
0.0494,0.8762,NO
0.1715,1.385,YES
0.0964,1.5714,NO
0.1343,1.2407,YES
0.1544,2.3694,NO
0.0732,0.61,NO
0.1975,1.4544,NO
0.2582,1.2724,NO
0.1977,0.8258,NO
0.1701,2.1871,NO
0.1684,1.4733,NO
0.1225,1.2467,NO
0.1458,1.6074,NO
0.4028,3.5926,YES
0.1577,1.5967,NO
0.2904,3.583,YES
0.1987,1.7053,NO
0.1756,1.5569,NO
0.1689,0.3982,NO
0.054000000000000006,1.2729,NO
0.1469,1.9344,NO
0.0547,1.7232,NO
0.1082,1.1245,NO
0.2019,0.6392,NO
0.1293,0.8122,NO
0.3897,3.8233,YES
0.3612,4.4437,YES
0.2791,3.5609,YES
0.2894,2.7765,YES
0.2226,2.1168,NO
0.1753,3.6958,YES
0.0979,1.9321,NO
0.0985,0.7525,NO
0.0774,0.2787,NO
0.1069,1.21,YES
0.3647,2.4317,YES
0.2531,2.3547,YES
0.1331,1.9246,YES
0.0885,0.5363,NO
0.0604,0.2371,NO
0.2068,0.9824,YES
0.2598,0.7103,NO
0.106,1.2189,YES
0.1459,0.28800000000000003,NO
0.2252,1.1834,NO
0.2571,1.7355,NO
0.2375,0.6622,NO
0.1453,0.3284,NO
0.2245,2.9994,YES
0.141,0.3561,NO
0.2623,2.3328,YES
0.142,0.3253,NO
0.2555,2.2718,YES
0.2049,0.2676,NO
0.2206,1.2585,NO
0.2228,0.4732,NO
0.1032,0.4702,NO
0.1461,1.0221,YES
0.1116,0.7487,NO
0.1326,1.1122,YES
0.1415,1.8315,NO
0.0745,0.2883,NO
0.2381,1.8719999999999999,NO
0.19,1.2003,NO
0.1547,0.995,NO
0.1997,2.6435,NO
0.1653,0.8057,NO
0.1536,0.6417,NO
0.1999,1.9842,NO
0.1989,3.34,YES
0.2045,1.9846,NO
0.2447,3.3918,YES
0.2519,1.5864,NO
0.2036,1.8338,NO
0.2033,0.5802,NO
0.0533,0.7091,NO
0.105,2.0447,NO
0.055999999999999994,1.1796,NO
0.1113,1.1864,NO
0.2256,0.3158,NO
0.0989,0.8048,NO
0.1879,3.5202,YES
0.1445,4.3192,YES
0.1901,3.3741,YES
0.3108,2.6034,YES
0.2405,2.2142,NO
0.1657,3.3584,YES
0.1331,2.2482,NO
0.0949,2.0666,NO
0.1339,0.3228,NO
0.22399999999999998,1.4857,NO
0.1967,1.0843,NO
0.1436,0.7188,NO
0.2079,2.5271,NO
0.1339,1.3764,NO
0.0967,0.7623,NO
0.2198,1.8859,NO
0.3428,3.5618,YES
0.2344,2.0654,NO
0.1736,3.5917,YES
0.1331,1.4859,NO
0.0735,1.4777,NO
0.0647,0.33,NO
0.204,0.9490000000000001,NO
0.1327,1.7564,NO
0.1655,1.3127,NO
0.31,1.2157,NO
0.1309,0.3409,NO
0.2819,0.7759999999999999,NO
0.4042,3.6163,YES
0.3296,4.2536,YES
0.4941,3.6699,YES
0.1783,2.878,YES
0.193,2.2179,NO
0.2673,3.5010000000000003,YES
0.1726,2.2055,NO
0.1439,1.5051,NO
0.0769,0.1108,NO
0.1953,1.1074,NO
0.2342,0.7691,NO
0.2047,0.5663,NO
0.1823,1.7417,NO
0.1684,0.8169,NO
0.1204,0.5119,NO
0.1751,1.4127,NO
0.3579,2.9353,YES
0.1828,1.3964,NO
0.2083,2.9446,YES
0.2252,1.0633,NO
0.2041,0.9515,NO
0.2007,0.1412,NO
0.0498,0.4273,NO
0.1415,1.1378,NO
0.0515,0.937,NO
0.1207,0.6993,NO
0.1912,0.2211,NO
0.14,0.5091,NO
0.4038,2.9643,YES
0.3494,3.5154,YES
0.2799,2.8655,YES
0.2675,2.1313,YES
0.2206,1.618,NO
0.2003,2.883,YES
0.1168,1.6759,NO
0.0727,1.5116,NO
0.0714,0.1211,NO
0.10800000000000001,0.9425,NO
0.2886,0.9344,NO
0.1427,0.5005,NO
0.0855,1.6059,NO
0.0605,0.7362,NO
0.0532,0.2364,NO
0.1421,0.9763,NO
0.4397,3.1507,YES
0.0607,1.1701,NO
0.2347,3.2459,YES
0.2118,1.4347,NO
0.2048,1.2218,NO
0.2045,0.5071,NO
0.0849,0.4857,NO
0.1035,1.4398,NO
0.0824,0.7359,NO
0.0975,0.855,NO
0.1702,0.0874,NO
0.1518,0.655,NO
0.3372,3.3414,YES
0.3303,3.9033,YES
0.314,3.1985,YES
0.1257,2.4745,YES
0.1375,1.1955,NO
0.1128,2.9762,YES
0.099,1.2407,NO
0.1069,1.9525,NO
0.0451,0.7177,NO
0.5095,4.1741,YES
0.1431,1.5223,YES
0.1227,1.028,YES
0.2847,5.6424,YES
0.2237,1.5175,NO
0.1065,0.8959999999999999,NO
0.3266,5.1855,YES
0.0974,1.0057,NO
0.3289,5.3123,YES
0.1059,0.8742,NO
0.2131,1.3283,NO
0.1496,2.1284,NO
0.1474,0.4747,NO
0.0902,0.9520000000000001,NO
0.0993,1.8107,YES
0.0875,1.2186,NO
0.2369,1.2656,YES
0.2129,0.444,NO
0.1321,0.9011,YES
0.1271,0.9667,NO
0.08,1.6087,NO
0.3025,1.5456,NO
0.12,1.2946,NO
0.3399,4.7737,YES
0.2516,2.6408,NO
0.2081,5.0171,YES
0.1799,1.5555,NO
0.1547,0.4262,NO
0.3595,3.2731,YES
0.2156,1.531,NO
0.1535,1.1218,NO
0.4159,4.8864,YES
0.1827,1.1309,NO
0.1097,0.3845,NO
0.5448,4.0914,YES
0.191,1.0216,NO
0.4381,4.4366,YES
0.1528,0.9615,NO
0.3264,1.9226,NO
0.3203,2.6544,NO
0.2648,1.014,NO
0.171,0.5598,NO
0.21899999999999997,2.0993,NO
0.1398,0.8889,NO
0.3673,1.3941,NO
0.1451,0.4246,NO
0.2637,1.4144,NO
0.1991,0.892,NO
0.1784,1.4494,NO
0.3767,1.5757,NO
0.1917,1.1997,NO
0.3794,3.8848,YES
0.3359,2.0831,NO
0.2874,4.0637,YES
0.0798,2.301,NO
0.0364,0.6739,NO
0.2475,3.0859,YES
0.2794,3.6065,YES
0.2232,3.4555,YES
0.2213,4.4822,YES
0.1233,1.2590000000000001,NO
0.0474,0.9597,NO
0.2799,3.6579,YES
0.2328,1.9991,NO
0.2608,3.8712,YES
0.1095,1.6493,NO
0.2365,1.6565,NO
0.2061,2.5367,NO
0.2048,0.3375,NO
0.0456,0.8289,NO
0.1795,4.3729,YES
0.0442,1.4352,NO
0.27,3.3717,YES
0.1224,0.5901,NO
0.1913,3.0203,YES
0.2397,1.4305,NO
0.2111,3.051,NO
0.2935,1.6199,NO
0.1155,1.6576,NO
0.243,3.408,YES
0.1959,2.4757,NO
0.198,3.7149,YES
0.1636,1.1314,NO
0.1646,0.2202,NO
0.3881,3.0209,YES
0.1762,1.3319999999999999,NO
0.1649,0.9378,NO
0.4197,4.5893,YES
0.1681,0.9997,NO
0.153,0.3508,NO
0.4738,3.3695,YES
0.159,0.9041,NO
0.493,4.099,YES
0.1456,1.0353,NO
0.2244,1.0626,NO
0.1542,1.4657,NO
0.1277,0.3639,NO
0.1775,0.2223,NO
0.2106,1.5735,NO
0.1654,0.5697,NO
0.3557,0.9708,NO
0.0902,0.2097,NO
0.2663,0.9537,NO
0.2218,0.547,NO
0.1764,1.2905,NO
0.3901,1.4079,NO
0.21600000000000003,0.9483,NO
0.402,3.6578,YES
0.3584,1.9191,NO
0.3239,3.4166,YES
0.0467,1.1637,NO
0.0184,0.36,NO
0.0544,1.5378,YES
0.1967,2.8478,YES
0.1251,2.9631,YES
0.0526,1.8841,YES
0.0389,0.6899,NO
0.0098,0.5968,NO
0.1204,0.9818,YES
0.1152,1.0692,NO
0.0434,1.0708,YES
0.0994,0.4624,NO
0.171,0.9798,NO
0.1733,1.6968,NO
0.1785,0.5129,NO
0.0632,0.4893,NO
0.1652,3.2787,YES
0.0614,0.7421,NO
0.1533,2.6489,YES
0.1347,0.426,NO
0.1212,2.2430000000000003,YES
0.015,0.3374,NO
0.0714,1.675,NO
0.0698,0.374,NO
0.035,0.7239,NO
0.0672,0.8713,YES
0.0378,0.6963,NO
0.0637,0.9334,YES
0.3024,2.1221,YES
0.0482,1.188,YES
0.3634,1.2807,NO
0.1548,0.6369,NO
0.1459,0.131,NO
0.1506,1.5237,NO
0.2394,1.6727,YES
0.3693,1.9455,YES
0.1404,1.3135,NO
0.0758,0.7408,NO
0.1517,1.3717,NO
0.067,0.5662,NO
0.2131,0.5865,NO
0.16,0.8466,NO
0.1446,0.1667,NO
0.0844,1.4844,YES
0.095,0.3456,NO
0.2419,2.0601,YES
0.026000000000000002,0.2035,NO
0.2985,1.1031,YES
0.0377,0.1559,NO
0.102,0.5651,NO
0.0927,0.9285,NO
0.1259,0.6651,NO
0.1193,0.3196,NO
0.2177,1.6197,NO
0.15,1.0158,NO
0.0996,1.3341,NO
0.0839,1.9965,NO
0.0672,0.6471,NO
0.3068,4.3667,YES
0.1154,1.745,YES
0.0802,1.1258,YES
0.3166,6.5281,YES
0.0868,1.3045,NO
0.0677,0.6631,NO
0.5456,5.0906,YES
0.0938,1.3534,NO
0.3771,5.8255,YES
0.0765,1.6077,NO
0.3042,2.2548,NO
0.1867,3.1316,NO
0.2024,1.1987,NO
0.084,0.7112,NO
0.1127,2.478,YES
0.0773,1.1065,NO
0.3002,1.3035,YES
0.0821,0.5374,NO
0.1969,1.2447,YES
0.1353,1.1663,NO
0.0942,2.0978,NO
0.3023,2.3058,NO
0.1177,1.5857,NO
0.2966,5.1513,YES
0.2621,2.9389999999999996,NO
0.3631,5.0699,YES
0.1178,2.0466,NO
0.0474,1.0292,NO
0.4277,5.2375,YES
0.2214,1.7815,YES
0.2007,1.3623,YES
0.2467,6.5444,YES
0.2192,1.4852,NO
0.1165,1.1992,NO
0.3035,5.5476,YES
0.1886,1.5161,NO
0.2922,5.5916,YES
0.1088,1.5959,NO
0.2277,1.9909,NO
0.1763,3.3167,NO
0.1744,1.0187,NO
0.0948,1.1024,NO
0.152,2.3479,YES
