DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_LSA_65,Associated
0.0737,0.2262,NO
0.0652,0.1553,NO
0.1144,0.3927,NO
0.2164,0.8294,NO
0.0671,0.3328,NO
0.0906,1.0331,NO
0.0589,0.428,NO
0.0679,0.2504,NO
0.1689,0.5582,NO
0.2469,1.7727,YES
0.0616,0.5084,NO
0.33799999999999997,0.4535,YES
0.2427,0.38,NO
0.2231,0.3259,NO
0.2223,0.3233,NO
0.1142,0.2867,NO
0.0706,0.4914,NO
0.1109,0.275,NO
0.0747,0.7356,NO
0.2179,0.0967,NO
0.1147,0.5085,NO
0.0779,1.7835,YES
0.0804,1.1213,YES
0.1668,1.9716,YES
0.24,0.4713,YES
0.1573,0.6353,NO
0.0716,1.7146,YES
0.1205,0.6679999999999999,NO
0.1072,0.8684,YES
0.2444,1.2241,YES
0.3362,0.2423,NO
0.1579,0.3824,NO
0.1148,0.2026,NO
0.1112,0.6049,NO
0.3947,1.6308,YES
0.0957,1.1548,YES
0.1364,0.36700000000000005,NO
0.1056,0.2386,NO
0.0981,0.3522,NO
0.1058,0.1308,NO
0.1797,0.4544,NO
0.1526,0.3244,NO
0.1551,0.3728,NO
0.2811,2.2086,YES
0.0766,0.4182,NO
0.1126,1.3941,YES
0.0341,0.4989,NO
0.3399,0.6975,YES
0.0412,0.2766,NO
0.1212,0.2847,NO
0.0769,0.3749,NO
0.1235,0.363,NO
0.0802,0.1264,NO
0.1903,0.5003,NO
0.1119,0.2299,NO
0.1008,0.4254,NO
0.0886,0.4314,NO
0.1534,0.1583,NO
0.1331,0.515,NO
0.2865,1.0733,NO
0.1512,0.4595,NO
0.1666,1.0163,NO
0.1465,0.2798,NO
0.0509,0.2135,NO
0.2187,0.5001,NO
0.4574,2.5195,YES
0.1603,0.5492,NO
0.2015,0.695,YES
0.205,0.4387,NO
0.2168,0.349,NO
0.2136,0.3041,NO
0.1919,0.5572,NO
0.1533,0.5907,NO
0.1268,0.3982,NO
0.1947,0.7174,NO
0.1755,0.0859,NO
0.2202,0.4903,NO
0.4465,2.4859,YES
0.4252,1.8927,YES
0.3653,2.6904,YES
0.1771,0.6433,YES
0.1659,0.6955,NO
0.1927,1.8603,YES
0.1251,0.4933,NO
0.1303,0.4034,YES
0.1814,0.4268,YES
0.3356,0.2461,NO
0.1662,0.3826,NO
0.1507,0.2679,NO
0.1441,0.6057,NO
0.3435,0.7577,YES
0.1243,0.3096,YES
0.1731,0.4558,NO
0.0952,0.1631,NO
0.1364,0.4718,NO
0.0887,0.1261,NO
0.2289,0.2169,NO
0.2088,0.121,NO
0.2075,0.1024,NO
0.1923,1.3612,YES
0.0927,0.3001,NO
0.0821,0.5318,YES
0.0311,0.4726,NO
0.3081,0.48200000000000004,YES
0.0406,0.3117,NO
0.1251,0.2122,NO
0.091,0.243,NO
0.11800000000000001,0.244,NO
0.1053,0.076,NO
0.2201,0.4932,NO
0.1351,0.1003,NO
0.1328,0.4387,NO
0.0724,0.4175,NO
0.0244,0.2331,NO
0.1404,0.8321,YES
0.3348,3.4984,YES
0.2937,1.8923,YES
0.14300000000000002,1.5714,YES
0.0826,0.5009,NO
0.013000000000000001,0.1577,NO
0.2103,0.8502,YES
0.1395,0.5486,NO
0.1325,1.1515,YES
0.1443,0.1824,NO
0.2165,0.49200000000000005,NO
0.1934,0.6358,NO
