DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_VSM_33,Associated
0.0737,0.3782,NO
0.0652,0.2176,NO
0.1144,0.2971,NO
0.2164,0.4956,NO
0.0671,0.3764,NO
0.0906,0.1864,NO
0.0589,0.3553,NO
0.0679,0.23399999999999999,NO
0.1689,0.3032,NO
0.2469,3.1864,YES
0.0616,0.2874,NO
0.33799999999999997,3.1656,YES
0.2427,0.3145,NO
0.2231,0.3991,NO
0.2223,0.0793,NO
0.1142,0.5473,NO
0.0706,0.2634,NO
0.1109,0.3034,NO
0.0747,0.3929,NO
0.2179,0.4416,NO
0.1147,0.382,NO
0.0779,1.081,YES
0.0804,1.8183,YES
0.1668,1.6441,YES
0.24,0.7073,YES
0.1573,0.2068,NO
0.0716,2.3269,YES
0.1205,0.1614,NO
0.1072,1.6472,YES
0.2444,1.4502,YES
0.3362,0.7893,NO
0.1579,0.2458,NO
0.1148,0.3214,NO
0.1112,0.6505,NO
0.3947,1.6885,YES
0.0957,1.3884,YES
0.1364,0.6146,NO
0.1056,0.4272,NO
0.0981,0.3404,NO
0.1058,0.3315,NO
0.1797,0.4417,NO
0.1526,0.2972,NO
0.1551,0.3081,NO
0.2811,2.1997,YES
0.0766,0.2512,NO
0.1126,2.4386,YES
0.0341,0.1579,NO
0.3399,2.4555,YES
0.0412,0.2952,NO
0.1212,0.1714,NO
0.0769,0.2866,NO
0.1235,0.2829,NO
0.0802,0.1707,NO
0.1903,0.3788,NO
0.1119,0.4004,NO
0.1008,0.5921,NO
0.0886,0.1962,NO
0.1534,0.2548,NO
0.1331,0.6676,NO
0.2865,0.6973,NO
0.1512,0.6753,NO
0.1666,0.5506,NO
0.1465,0.4049,NO
0.0509,0.1438,NO
0.2187,0.5074,NO
0.4574,3.0361,YES
0.1603,0.8053,NO
0.2015,3.003,YES
0.205,0.5197,NO
0.2168,0.7126,NO
0.2136,0.1178,NO
0.1919,0.4887,NO
0.1533,0.606,NO
0.1268,0.3604,NO
0.1947,0.7588,NO
0.1755,0.4103,NO
0.2202,0.7216,NO
0.4465,1.7207,YES
0.4252,1.4473,YES
