DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_87,Associated
0.0737,0.5074,NO
0.0652,0.6508,NO
0.1144,0.7289,NO
0.2164,1.274,NO
0.0671,0.8516,NO
0.0906,0.9346,NO
0.0589,0.7234,NO
0.0679,0.4848,NO
0.1689,1.0839,NO
0.2469,2.1713,YES
0.0616,1.0101,NO
0.33799999999999997,2.2687,YES
0.2427,0.8307,NO
0.2231,0.7922,NO
0.2223,0.7954,NO
0.1142,0.2888,NO
0.0706,1.4086,NO
0.1109,0.6056,NO
0.0747,0.9679,NO
0.2179,0.4795,NO
0.1147,0.8834,NO
0.0779,1.8068,YES
0.0804,2.346,YES
0.1668,2.5319,YES
0.24,1.9140000000000001,YES
0.1573,0.9992,NO
0.0716,2.7921,YES
0.1205,1.1088,NO
0.1072,2.5302,YES
0.2444,2.4975,YES
0.3362,1.0913,NO
0.1579,0.6128,NO
0.1148,0.3968,NO
0.1112,0.9682,NO
0.3947,1.8953,YES
0.0957,1.504,YES
0.1364,0.5288,NO
0.1056,0.759,NO
0.0981,0.7036,NO
0.1058,0.9518,NO
0.1797,0.5276,NO
0.1526,0.4183,NO
0.1551,0.6048,NO
0.2811,2.2171,YES
0.0766,0.4466,NO
0.1126,2.5023,YES
0.0341,0.5222,NO
0.3399,2.5259,YES
0.0412,0.4622,NO
0.1212,0.5873,NO
0.0769,1.0952,NO
0.1235,0.8057,NO
0.0802,0.7319,NO
0.1903,1.0266,NO
0.1119,1.1559,NO
0.1008,0.9486,NO
0.0886,0.5049,NO
0.1534,0.8519,NO
0.1331,0.8027,NO
0.2865,1.6761,NO
0.1512,1.3343,NO
0.1666,1.5539,NO
0.1465,0.8467,NO
0.0509,0.3877,NO
0.2187,1.6030000000000002,NO
0.4574,3.5964,YES
0.1603,1.0868,NO
0.2015,3.6347,YES
0.205,0.6479,NO
0.2168,0.3231,NO
0.2136,0.3871,NO
0.1919,0.4704,NO
0.1533,1.7239,NO
0.1268,0.7199,NO
0.1947,1.3559999999999999,NO
0.1755,0.5606,NO
0.2202,1.2625,NO
0.4465,2.9194,YES
0.4252,3.8216,YES
0.3653,4.086,YES
0.1771,3.0855,YES
0.1659,1.1122,NO
0.1927,4.2504,YES
0.1251,0.9163,NO
0.1303,3.4065,YES
0.1814,3.3064,YES
0.3356,1.9293,NO
0.1662,2.0684,NO
0.1507,1.6406,NO
0.1441,2.2319,NO
0.3435,2.6098,YES
0.1243,2.2729,YES
0.1731,2.2325,NO
0.0952,1.0894,NO
0.1364,1.6444,NO
0.0887,1.5421,NO
0.2289,1.7261,NO
0.2088,1.5607,NO
0.2075,1.9572,NO
0.1923,2.5707,YES
0.0927,1.8513,NO
0.0821,3.2086,YES
0.0311,1.5253,NO
0.3081,3.734,YES
0.0406,1.0447,NO
0.1251,0.7506,NO
0.091,2.076,NO
0.11800000000000001,1.6095,NO
0.1053,1.2886,NO
0.2201,1.8501,NO
0.1351,1.7703,NO
0.1328,2.4802,NO
0.0724,0.612,NO
0.0244,0.4638,NO
0.1404,1.4137,YES
0.3348,4.1047,YES
0.2937,4.1119,YES
0.14300000000000002,2.0775,YES
0.0826,0.5767,NO
0.013000000000000001,0.2496,NO
0.2103,1.8666,YES
0.1395,0.254,NO
0.1325,1.1177,YES
0.1443,0.4586,NO
0.2165,0.6955,NO
0.1934,0.5568,NO
0.1934,0.6899,NO
0.0572,0.2697,NO
0.2318,4.5364,YES
0.0556,0.3432,NO
0.3609,4.7618,YES
0.1417,1.072,NO
0.255,3.6478,YES
0.0522,0.4315,NO
0.0677,1.4992,NO
0.1439,0.8579,NO
0.0494,0.259,NO
0.1715,1.5862,YES
0.0964,1.1405,NO
0.1343,1.5004,YES
0.1544,0.4675,NO
0.0732,0.7521,NO
0.1975,1.1014,NO
0.2582,1.6599,NO
0.1977,1.3099,NO
0.1701,1.9306,NO
0.1684,0.7809,NO
0.1225,0.368,NO
0.1458,1.8369,NO
0.4028,3.5843,YES
0.1577,1.3609,NO
0.2904,3.655,YES
0.1987,0.6862,NO
0.1756,0.4252,NO
0.1689,0.5943,NO
0.054000000000000006,0.4522,NO
0.1469,1.6402,NO
0.0547,0.6933,NO
0.1082,1.4653,NO
0.2019,0.4572,NO
0.1293,1.1943,NO
0.3897,2.9921,YES
0.3612,3.86,YES
0.2791,4.1859,YES
0.2894,3.0985,YES
0.2226,1.4374,NO
0.1753,4.467,YES
0.0979,1.3133,NO
0.0985,0.7904,NO
0.0774,0.7555,NO
0.1069,1.8252,YES
0.3647,4.6459,YES
0.2531,4.0627,YES
0.1331,2.5816,YES
0.0885,1.0491,NO
0.0604,0.3457,NO
0.2068,2.405,YES
0.2598,1.3722,NO
0.106,1.699,YES
0.1459,1.5473,NO
0.2252,1.1716,NO
0.2571,1.1222,NO
0.2375,1.1416,NO
0.1453,0.4062,NO
0.2245,5.0889999999999995,YES
0.141,0.634,NO
0.2623,4.9699,YES
0.142,1.1301,NO
0.2555,3.7684,YES
0.2049,1.3629,NO
0.2206,2.575,NO
0.2228,2.0811,NO
0.1032,1.2941,NO
0.1461,2.1026,YES
0.1116,2.6463,NO
0.1326,2.1576,YES
0.1415,0.7284,NO
0.0745,0.6024,NO
0.2381,0.8552,NO
0.19,1.0396,NO
0.1547,0.7633,NO
0.1997,1.4669999999999999,NO
0.1653,0.7146,NO
0.1536,0.4371,NO
0.1999,1.31,NO
0.1989,2.9553,YES
0.2045,0.8104,NO
0.2447,3.2566,YES
0.2519,0.7976,NO
0.2036,0.5304,NO
0.2033,0.7406,NO
0.0533,0.4898,NO
0.105,0.978,NO
0.055999999999999994,0.6776,NO
0.1113,0.6528,NO
0.2256,0.6402,NO
0.0989,0.6638,NO
0.1879,2.3055,YES
0.1445,3.0817,YES
0.1901,3.2142,YES
0.3108,2.5758,YES
0.2405,0.6556,NO
0.1657,3.4492,YES
0.1331,0.8403,NO
0.0949,0.5739,NO
0.1339,0.8106,NO
0.22399999999999998,1.4464,NO
0.1967,1.3178,NO
0.1436,1.0612,NO
0.2079,1.8655,NO
0.1339,0.8811,NO
0.0967,0.4623,NO
0.2198,1.3003,NO
0.3428,3.012,YES
0.2344,1.3286,NO
0.1736,2.9211,YES
0.1331,0.3391,NO
0.0735,0.0,NO
0.0647,0.2401,NO
0.204,0.495,NO
0.1327,1.4381,NO
0.1655,0.9366,NO
0.31,1.2738,NO
0.1309,0.5262,NO
0.2819,1.2571,NO
0.4042,2.7755,YES
0.3296,3.1637,YES
0.4941,3.3337,YES
0.1783,2.4291,YES
0.193,1.4433,NO
0.2673,3.7102,YES
0.1726,0.9318,NO
0.1439,0.6963,NO
0.0769,0.9933,NO
0.1953,0.8272,NO
0.2342,1.3265,NO
0.2047,1.0312,NO
0.1823,1.3337,NO
0.1684,0.8140000000000001,NO
0.1204,0.6573,NO
0.1751,1.166,NO
0.3579,3.4729,YES
0.1828,0.9364,NO
0.2083,3.4975,YES
0.2252,0.3985,NO
0.2041,0.0479,NO
0.2007,0.2266,NO
0.0498,0.5961,NO
0.1415,1.2590000000000001,NO
0.0515,0.9239,NO
0.1207,1.146,NO
0.1912,0.5592,NO
0.14,1.1925,NO
0.4038,2.8752,YES
0.3494,3.657,YES
0.2799,3.8147,YES
0.2675,2.9215,YES
0.2206,1.0135,NO
0.2003,4.1977,YES
0.1168,0.6385,NO
0.0727,0.5189,NO
0.0714,0.6826,NO
0.10800000000000001,0.6279,NO
0.2886,1.5683,NO
0.1427,1.2447,NO
0.0855,1.2747,NO
0.0605,0.6619,NO
0.0532,0.3737,NO
0.1421,1.1549,NO
0.4397,3.4173,YES
0.0607,0.7957,NO
0.2347,3.5339,YES
0.2118,0.9387,NO
0.2048,0.5826,NO
0.2045,0.727,NO
0.0849,0.5131,NO
0.1035,1.4468,NO
0.0824,0.6463,NO
0.0975,1.1821,NO
0.1702,0.4351,NO
0.1518,1.2514,NO
0.3372,2.7515,YES
0.3303,3.6023,YES
0.314,3.7295,YES
0.1257,2.9031,YES
0.1375,0.7856,NO
0.1128,3.9133,YES
0.099,0.7737,NO
0.1069,1.1264,NO
0.0451,1.1525,NO
0.5095,4.944,YES
0.1431,1.2792,YES
0.1227,1.4417,YES
0.2847,6.3458,YES
0.2237,1.5659,NO
0.1065,0.5698,NO
0.3266,5.1929,YES
0.0974,0.2472,NO
0.3289,5.5033,YES
0.1059,0.4041,NO
0.2131,0.7299,NO
0.1496,1.0299,NO
0.1474,1.0799,NO
0.0902,0.7287,NO
0.0993,2.6853,YES
0.0875,0.9935,NO
0.2369,2.8206,YES
0.2129,1.4296,NO
0.1321,1.3748,YES
0.1271,0.4678,NO
0.08,0.9103,NO
0.3025,0.5886,NO
0.12,1.1529,NO
0.3399,5.5258,YES
0.2516,2.3193,NO
0.2081,5.9168,YES
0.1799,0.2885,NO
0.1547,0.1378,NO
0.3595,2.6421,YES
0.2156,0.8621,NO
0.1535,1.0407,NO
0.4159,3.9054,YES
0.1827,0.4247,NO
0.1097,0.1407,NO
0.5448,3.4109,YES
0.191,0.6699,NO
0.4381,3.2578,YES
0.1528,0.7214,NO
0.3264,0.47,NO
0.3203,0.9703,NO
0.2648,0.8608,NO
0.171,0.2664,NO
0.21899999999999997,1.4892,NO
0.1398,0.1477,NO
0.3673,2.1065,NO
0.1451,0.2365,NO
0.2637,0.9708,NO
0.1991,0.4963,NO
0.1784,1.0738,NO
0.3767,0.9806,NO
0.1917,1.2476,NO
0.3794,3.3087,YES
0.3359,1.5487,NO
0.2874,3.7153,YES
0.0798,0.4067,NO
0.0364,0.3938,NO
0.2475,2.3128,YES
0.2794,3.6054,YES
0.2232,3.7432,YES
0.2213,3.1938,YES
0.1233,0.7925,NO
0.0474,0.2724,NO
0.2799,2.8194,YES
0.2328,0.1246,NO
0.2608,2.3314,YES
0.1095,0.2,NO
0.2365,0.2225,NO
0.2061,0.4828,NO
0.2048,0.3712,NO
0.0456,0.2472,NO
0.1795,4.4433,YES
0.0442,0.2931,NO
0.27,4.8495,YES
0.1224,0.7929999999999999,NO
0.1913,3.4045,YES
0.2397,0.4474,NO
0.2111,1.1379,NO
0.2935,0.8689,NO
0.1155,0.5757,NO
0.243,2.8510000000000004,YES
0.1959,0.9931,NO
0.198,2.6163,YES
0.1636,0.5357,NO
0.1646,0.396,NO
0.3881,4.2733,YES
0.1762,1.1113,NO
0.1649,1.2157,NO
0.4197,5.2979,YES
0.1681,1.0183,NO
0.153,0.0916,NO
0.4738,4.4261,YES
