DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_27,Associated
0.0737,0.1549,NO
0.0652,0.1142,NO
0.1144,0.3066,NO
0.2164,1.2964,NO
0.0671,0.4745,NO
0.0906,1.1363,NO
0.0589,0.9755,NO
0.0679,0.1191,NO
0.1689,0.6696,NO
0.2469,3.2698,YES
0.0616,0.3166,NO
0.33799999999999997,2.4431,YES
0.2427,0.1825,NO
0.2231,0.2772,NO
0.2223,0.2335,NO
0.1142,0.1491,NO
0.0706,1.2535,NO
0.1109,0.2714,NO
0.0747,0.9069,NO
0.2179,0.3761,NO
0.1147,1.0741,NO
0.0779,3.3186,YES
0.0804,2.9126,YES
0.1668,3.1154,YES
0.24,2.8319,YES
0.1573,0.7508,NO
0.0716,1.7953,YES
0.1205,0.6421,NO
0.1072,2.1891,YES
0.2444,2.1712,YES
0.3362,0.6462,NO
0.1579,0.2218,NO
0.1148,0.1201,NO
0.1112,0.4701,NO
0.3947,1.6329,YES
0.0957,3.0325,YES
0.1364,0.4975,NO
0.1056,0.5494,NO
0.0981,0.53,NO
0.1058,0.4998,NO
0.1797,0.0553,NO
0.1526,0.2629,NO
0.1551,0.4164,NO
0.2811,1.5072,YES
0.0766,0.3631,NO
0.1126,2.3156,YES
0.0341,0.3396,NO
0.3399,2.9738,YES
0.0412,0.2236,NO
0.1212,0.5944,NO
0.0769,0.5054,NO
0.1235,0.5526,NO
0.0802,0.7625,NO
0.1903,0.6187,NO
0.1119,0.6658,NO
0.1008,0.6252,NO
0.0886,0.207,NO
0.1534,0.40700000000000003,NO
0.1331,0.5092,NO
0.2865,1.5612,NO
0.1512,0.4573,NO
0.1666,1.4596,NO
0.1465,1.4797,NO
0.0509,0.3486,NO
0.2187,0.8008,NO
0.4574,3.8796,YES
0.1603,0.6236,NO
0.2015,2.8679,YES
0.205,0.3902,NO
0.2168,0.6689,NO
0.2136,0.4409,NO
0.1919,0.3914,NO
0.1533,1.7296,NO
0.1268,0.3379,NO
0.1947,1.1773,NO
0.1755,0.5356,NO
0.2202,0.9766,NO
0.4465,4.0535,YES
0.4252,3.7281,YES
0.3653,3.7206,YES
0.1771,3.5861,YES
0.1659,0.7658,NO
0.1927,2.272,YES
0.1251,0.6156,NO
0.1303,1.5337,YES
0.1814,1.9878,YES
0.3356,2.1723,NO
0.1662,1.5276,NO
0.1507,1.511,NO
0.1441,1.8206,NO
0.3435,2.0418,YES
0.1243,2.2574,YES
0.1731,2.0532,NO
0.0952,0.6761,NO
0.1364,1.8056,NO
0.0887,0.685,NO
0.2289,0.9688,NO
0.2088,1.3086,NO
0.2075,1.3129,NO
0.1923,1.4697,YES
0.0927,1.7044,NO
0.0821,1.4798,YES
0.0311,1.4944,NO
0.3081,2.0232,YES
0.0406,1.4151,NO
0.1251,0.8484,NO
0.091,1.0733,NO
0.11800000000000001,0.8874,NO
0.1053,0.9714,NO
0.2201,1.8394,NO
0.1351,0.9487,NO
0.1328,1.8149,NO
0.0724,0.4221,NO
0.0244,0.5812,NO
0.1404,2.0713,YES
0.3348,4.0628,YES
0.2937,4.3373,YES
0.14300000000000002,2.6325,YES
0.0826,1.1308,NO
0.013000000000000001,0.1976,NO
0.2103,2.2291,YES
0.1395,0.3817,NO
0.1325,2.7162,YES
0.1443,0.6002,NO
0.2165,1.1646,NO
0.1934,1.6574,NO
0.1934,1.7415,NO
0.0572,0.318,NO
0.2318,4.7537,YES
0.0556,0.1807,NO
0.3609,4.6068,YES
0.1417,0.2907,NO
0.255,3.9619999999999997,YES
0.0522,1.1777,NO
0.0677,1.6195,NO
0.1439,1.4467,NO
0.0494,1.3188,NO
0.1715,2.1732,YES
0.0964,1.5723,NO
0.1343,2.6737,YES
0.1544,0.5208,NO
0.0732,0.313,NO
0.1975,1.3134,NO
0.2582,1.8826,NO
0.1977,0.9401,NO
0.1701,1.9042,NO
0.1684,1.337,NO
0.1225,0.3789,NO
0.1458,1.2914,NO
0.4028,3.5455,YES
0.1577,1.3371,NO
0.2904,2.8411,YES
0.1987,0.4492,NO
0.1756,0.7492,NO
0.1689,0.7486,NO
0.054000000000000006,0.2496,NO
0.1469,2.0677,NO
0.0547,0.4713,NO
0.1082,1.5582,NO
0.2019,0.6366,NO
0.1293,1.3397,NO
0.3897,3.8974,YES
0.3612,3.7363,YES
0.2791,3.5271,YES
0.2894,3.3648,YES
0.2226,1.6189,NO
0.1753,2.2043,YES
0.0979,1.5098,NO
0.0985,0.6231,NO
0.0774,0.875,NO
0.1069,1.6686,YES
