50Traced_NONETRACED_MAX_MULTI_VSM_47_RFSMOTE,Associated
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,1
1,1
1,0
0,0
1,0
0,0
1,1
1,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,1
1,1
0,0
0,0
1,0
0,0
1,1
1,1
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
0,1
1,0
0,0
1,1
0,0
0,1
0,0
1,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,1
1,0
1,1
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,1
1,1
0,1
1,0
0,0
0,1
0,0
0,1
0,0
1,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
0,0
1,0
0,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
1,1
1,1
1,1
0,1
1,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
1,0
0,0
0,0
1,0
0,1
1,0
1,1
0,0
1,0
1,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
1,0
1,1
0,0
1,0
1,1
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,1
1,1
1,0
0,0
1,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
1,0
1,0
1,1
0,0
1,1
1,0
1,1
0,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
1,0
1,1
0,1
1,1
1,1
1,0
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
1,0
0,1
1,0
1,1
1,0
0,1
0,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
1,1
1,1
0,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
0,1
1,0
0,0
0,1
1,0
0,1
0,0
1,0
0,0
1,0
1,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
0,1
1,0
0,1
0,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
1,1
0,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,1
1,1
1,1
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
1,0
0,0
1,1
1,1
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
1,1
1,0
1,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
1,0
1,1
1,1
1,1
1,0
0,0
1,0
0,0
1,1
1,1
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,1
0,0
1,1
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
