50Traced_NONETRACED_MEDIAN_RAW_VSM_92_RFUNDER,Associated
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,1
0,0
0,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,1
1,1
0,1
0,0
0,1
1,0
1,1
0,1
0,0
0,0
0,0
0,0
1,1
0,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
0,1
1,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,1
1,1
1,1
0,1
1,0
0,1
1,0
0,1
0,1
0,0
1,0
1,0
1,0
0,1
0,1
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,1
0,0
0,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
1,1
1,1
0,0
0,0
0,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
1,0
0,0
1,0
0,0
0,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
1,1
0,1
0,1
0,0
1,1
0,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,1
0,1
1,1
0,1
0,0
0,1
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
0,1
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
1,0
1,1
0,0
1,0
0,0
1,1
1,1
0,1
0,1
1,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
