50Traced_NONETRACED_RFUNDER_MULTI_LSA_49_RFNONE,Associated
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
1,1
0,0
1,1
0,1
0,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,1
0,1
1,1
0,0
0,1
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
1,1
1,1
1,0
0,0
0,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
0,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
0,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
1,0
0,0
0,0
0,0
0,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
0,1
0,1
0,0
1,1
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,1
1,0
1,1
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
0,1
1,1
1,1
0,0
0,1
1,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
1,1
0,0
1,1
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
1,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
1,0
0,1
1,0
0,0
0,1
0,0
0,0
0,1
0,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,1
1,1
0,1
0,1
1,0
0,0
1,1
1,0
0,1
1,0
0,0
0,0
1,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
1,0
1,0
0,1
0,0
0,1
0,0
0,0
1,1
0,0
0,0
0,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
1,0
0,1
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
0,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
1,0
0,0
0,0
0,1
0,0
0,1
0,1
1,1
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,1
1,0
1,1
0,0
0,0
1,0
1,0
0,0
0,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
1,0
0,1
1,0
0,0
0,1
0,1
0,1
0,1
0,0
1,0
0,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
1,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,1
1,1
0,1
1,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,0
0,0
0,1
1,1
0,1
0,1
1,0
0,0
0,1
0,0
1,1
1,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
1,0
0,1
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
1,1
1,1
1,1
1,0
0,0
0,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,1
1,1
1,0
0,0
0,0
1,0
1,1
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
0,1
0,1
1,0
0,1
0,0
0,1
1,1
0,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
1,1
1,1
0,0
1,1
0,0
