50Traced_NONETRACED_SUM_MULTI_VSM_35_RFNONE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
0,1
1,1
1,1
0,0
0,1
0,0
1,1
0,1
0,0
0,0
0,0
1,0
0,1
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
0,0
1,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,1
0,1
0,0
0,0
0,0
0,0
1,1
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,1
0,0
1,1
0,0
0,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,1
1,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
1,0
