50Traced_NONETRACED_SUM_RAW_VSM_21_RFSMOTE,Associated
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
1,1
0,0
1,1
1,1
1,0
0,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,1
1,1
1,1
0,1
0,0
1,1
1,0
1,1
1,1
1,0
1,0
0,0
1,0
0,1
1,1
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
0,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,0
1,0
0,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,0
1,0
0,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
1,0
0,1
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,1
1,1
1,1
0,1
0,0
1,1
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
0,1
1,0
1,1
1,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,0
1,0
0,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
0,1
0,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
0,1
1,0
0,1
1,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
0,0
0,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,1
0,0
1,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
1,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
0,1
0,0
0,1
0,1
1,1
0,0
1,0
1,0
0,0
0,1
0,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,1
0,1
1,1
1,1
0,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
1,0
1,0
1,1
0,0
0,1
1,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,1
0,1
1,1
1,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
1,0
0,1
1,0
1,1
0,0
0,1
0,0
1,0
0,0
0,0
1,1
0,0
1,1
1,0
0,0
0,1
0,1
0,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
0,0
1,0
1,0
1,0
0,0
1,1
1,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,1
1,1
0,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
1,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
1,1
1,1
1,1
0,0
1,0
0,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
0,1
1,1
1,1
1,0
0,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
0,1
1,0
1,1
0,0
1,1
1,1
1,0
1,0
0,0
0,0
0,1
1,1
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,0
0,1
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
