0,1,2,3,4,5,6,7,8,9,Associated
0.5187,0.3566,0.2475,0.1411,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.6664,0.5633,0.5403,0.4913,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.5753,0.3905,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.6329,0.4562,0.3758,0.3713,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.762,0.6839,0.5082,0.3156,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.8164,0.4874,0.3194,0.2604,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.7973,0.7722,0.4399,0.4065,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1365,0.1297,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.382,0.2457,0.1522,0.1259,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2422,0.1562,0.1555,0.1538,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.5109,0.4317,0.2848,0.1891,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1204,0.0635,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.4461,0.3003,0.2228,0.2093,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.6959,0.5579,0.4638,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.5951,0.3047,0.1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.9009,0.4116,0.2424,0.2025,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.9306,0.8737,0.8393,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.7153,0.2877,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.5582,0.5212,0.4441,0.3053,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1913,0.178,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.6781,0.6276,0.4101,0.2344,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.6463,0.5559,0.487,0.3881,0.0,0.0,0.0,0.0,0.0,0.0,YES
1.0,0.8743,0.8205,0.7764,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.6079,0.4178,0.3627,0.2912,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.4867,0.4552,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.7292,0.303,0.2814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.8653,0.5697,0.5551,0.4872,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.3444,0.2788,0.1959,0.1124,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.6377,0.5594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.9982,0.8638,0.6606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.1287,0.0627,0.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.462,0.0923,0.0837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
