LOWERTRACED_RFSMOTE_SINGLE_VSM,Associated
0.01,NO
0.01,NO
0.05,NO
0.0,NO
0.0,NO
0.05,NO
0.01,NO
0.01,NO
0.05,NO
1.0,YES
0.05,NO
1.0,YES
0.02,NO
0.02,NO
0.02,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.05,NO
1.0,YES
0.05,NO
1.0,YES
1.0,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
1.0,YES
1.0,YES
0.02,NO
0.07,NO
0.02,NO
0.07,NO
0.03,NO
0.03,NO
0.03,NO
1.0,YES
0.02,NO
1.0,YES
0.02,NO
1.0,YES
0.02,NO
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.02,NO
0.07,NO
0.02,NO
0.05,NO
0.05,NO
0.11,NO
0.03,NO
0.03,NO
0.11,NO
0.05,NO
0.05,NO
0.11,NO
0.98,YES
0.11,NO
0.98,YES
0.03,NO
0.03,NO
0.03,NO
0.05,NO
0.03,NO
0.05,NO
0.03,NO
0.05,NO
0.03,NO
0.98,YES
0.98,YES
0.98,YES
0.98,YES
0.11,NO
0.98,YES
0.11,NO
1.0,YES
1.0,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
1.0,YES
1.0,YES
0.01,NO
0.09,NO
0.01,NO
0.09,NO
0.17,NO
0.17,NO
0.17,NO
1.0,YES
0.01,NO
1.0,YES
0.01,NO
1.0,YES
0.01,NO
0.09,NO
0.09,NO
0.09,NO
0.09,NO
0.01,NO
0.09,NO
0.01,NO
0.02,NO
0.02,NO
0.06,YES
0.8,YES
0.8,YES
0.06,YES
0.02,NO
0.02,NO
0.06,YES
0.04,NO
0.06,YES
0.04,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.8,YES
0.02,NO
0.8,YES
0.02,NO
0.8,YES
0.04,NO
0.04,NO
0.04,NO
0.04,NO
0.06,YES
0.04,NO
0.06,YES
0.01,NO
