LOWERTRACED_RFUNDER_RAW_VSM,Associated
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,YES
0.02,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.02,NO
0.0,YES
0.02,NO
0.11,YES
0.11,YES
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.11,YES
0.11,YES
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.11,YES
0.0,NO
0.11,YES
0.0,NO
0.11,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.07,YES
0.01,NO
0.07,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.07,YES
0.07,YES
0.07,YES
0.07,YES
0.01,NO
0.07,YES
0.01,NO
0.0,YES
0.0,YES
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,YES
0.0,YES
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.05,YES
0.01,YES
0.01,YES
0.05,YES
0.0,NO
0.0,NO
0.05,YES
0.0,NO
0.05,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.05,YES
0.0,NO
0.05,YES
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.04,YES
0.01,NO
0.04,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,YES
0.04,YES
0.04,YES
0.04,YES
0.01,NO
0.04,YES
0.01,NO
0.0,NO
0.0,NO
0.02,YES
0.05,YES
0.05,YES
0.02,YES
0.0,NO
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.05,YES
0.0,NO
0.05,YES
0.0,NO
0.05,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,YES
0.01,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.01,NO
0.0,YES
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.05,YES
0.01,NO
0.05,YES
0.0,NO
0.0,NO
