NONETRACED_RFSMOTE_SINGLE_LSA,Associated
0.28,NO
0.36,NO
0.11,NO
0.04,NO
0.03,NO
0.23,NO
0.05,NO
0.12,NO
0.45,NO
0.09,YES
0.11,NO
0.05,YES
0.11,NO
0.21,NO
0.02,NO
0.04,NO
0.03,NO
0.16,NO
0.11,NO
0.05,NO
0.2,NO
0.07,YES
0.1,YES
0.1,YES
0.16,YES
0.12,NO
0.05,YES
0.1,NO
0.18,YES
0.09,YES
0.07,NO
0.17,NO
0.08,NO
0.15,NO
0.12,YES
0.1,YES
0.2,NO
0.12,NO
0.07,NO
0.03,NO
0.13,NO
0.08,NO
0.07,NO
0.1,YES
0.11,NO
0.08,YES
0.07,NO
0.04,YES
0.11,NO
0.14,NO
0.04,NO
0.16,NO
0.09,NO
0.09,NO
0.08,NO
0.11,NO
0.13,NO
0.12,NO
0.03,NO
0.12,NO
0.05,NO
0.05,NO
0.15,NO
0.1,NO
0.02,NO
0.02,YES
0.13,NO
0.02,YES
0.03,NO
0.11,NO
0.04,NO
0.02,NO
0.09,NO
0.08,NO
0.03,NO
0.03,NO
0.05,NO
0.1,YES
0.07,YES
0.03,YES
0.09,YES
0.03,NO
0.1,YES
0.03,NO
0.12,YES
0.14,YES
0.08,NO
0.1,NO
0.07,NO
0.13,NO
0.14,YES
0.08,YES
0.05,NO
0.17,NO
0.08,NO
0.07,NO
0.16,NO
0.06,NO
0.17,NO
0.05,YES
0.1,NO
0.08,YES
0.08,NO
0.05,YES
0.12,NO
0.14,NO
0.05,NO
0.1,NO
0.09,NO
0.13,NO
0.07,NO
0.14,NO
0.24,NO
0.21,NO
0.08,YES
0.11,YES
0.11,YES
0.05,YES
0.04,NO
0.14,NO
0.08,YES
0.05,NO
0.06,YES
0.05,NO
0.24,NO
0.08,NO
0.17,NO
0.06,NO
0.14,YES
0.08,NO
0.07,YES
0.17,NO
0.11,YES
0.12,NO
0.17,NO
0.23,NO
0.24,NO
0.07,YES
0.06,NO
0.28,YES
0.32,NO
0.14,NO
0.06,NO
0.17,NO
0.12,NO
0.54,NO
0.04,NO
0.48,NO
0.05,NO
0.06,YES
0.14,NO
0.11,YES
0.14,NO
0.2,NO
0.12,NO
0.1,NO
0.35,NO
0.11,NO
0.05,NO
0.08,NO
0.05,NO
0.13,YES
0.19,YES
0.03,YES
0.17,YES
0.05,NO
0.12,YES
0.11,NO
0.13,NO
0.24,NO
0.09,YES
0.12,YES
0.08,YES
0.18,YES
0.12,NO
0.08,NO
0.13,YES
0.05,NO
0.08,YES
0.05,NO
0.1,NO
0.03,NO
0.16,NO
0.07,NO
0.05,YES
0.1,NO
0.11,YES
0.15,NO
0.11,YES
0.17,NO
0.1,NO
0.12,NO
0.09,NO
0.11,YES
0.1,NO
0.11,YES
0.37,NO
0.06,NO
0.15,NO
0.04,NO
0.17,NO
0.17,NO
0.21,NO
0.11,NO
0.07,NO
0.06,YES
0.15,NO
0.09,YES
0.04,NO
0.11,NO
0.22,NO
0.1,NO
0.15,NO
0.12,NO
0.1,NO
0.04,NO
0.07,NO
0.03,YES
0.11,YES
0.09,YES
0.11,YES
0.09,NO
0.28,YES
0.11,NO
0.12,NO
0.16,NO
0.02,NO
0.02,NO
0.13,NO
0.02,NO
0.06,NO
0.09,NO
0.02,NO
0.03,YES
0.13,NO
0.02,YES
0.03,NO
0.18,NO
0.07,NO
0.32,NO
0.16,NO
0.2,NO
0.02,NO
0.16,NO
0.03,NO
0.15,YES
0.16,YES
0.02,YES
0.11,YES
0.02,NO
0.08,YES
0.02,NO
0.07,NO
0.29,NO
0.16,NO
0.09,NO
0.25,NO
0.03,NO
0.13,NO
0.18,NO
0.03,NO
0.08,YES
0.05,NO
0.14,YES
0.12,NO
0.18,NO
0.1,NO
0.13,NO
0.31,NO
0.06,NO
0.15,NO
0.04,NO
0.08,NO
0.16,YES
0.24,YES
0.13,YES
0.34,YES
0.07,NO
0.2,YES
0.04,NO
0.21,NO
0.3,NO
0.18,NO
0.09,NO
0.11,NO
0.19,NO
0.09,NO
0.14,NO
0.39,NO
0.14,YES
0.13,NO
0.12,YES
0.08,NO
0.07,NO
0.15,NO
0.26,NO
0.07,NO
0.13,NO
0.16,NO
0.06,NO
0.27,NO
0.09,YES
0.06,YES
0.32,YES
0.05,YES
0.19,NO
0.13,YES
0.1,NO
0.18,NO
0.05,NO
0.08,YES
0.06,YES
0.04,YES
0.19,YES
0.23,NO
0.1,NO
0.06,YES
0.04,NO
0.12,YES
0.03,NO
0.02,NO
0.09,NO
0.07,NO
0.1,NO
0.14,YES
0.14,NO
0.05,YES
0.05,NO
0.03,YES
0.03,NO
0.04,NO
0.02,NO
0.18,NO
0.15,YES
0.09,NO
0.12,YES
0.08,NO
0.17,NO
0.1,YES
0.16,NO
0.13,NO
0.3,YES
0.05,NO
0.12,NO
0.04,YES
0.04,NO
0.11,YES
0.06,NO
0.19,NO
0.21,NO
0.04,NO
0.18,NO
0.12,NO
0.05,NO
0.14,NO
0.18,NO
0.12,NO
0.17,NO
0.08,NO
0.18,NO
0.1,NO
0.13,YES
0.09,NO
0.39,YES
0.28,NO
0.23,NO
0.08,YES
0.05,YES
0.05,YES
0.02,YES
0.16,NO
0.18,NO
0.04,YES
0.16,NO
0.08,YES
0.08,NO
0.09,NO
0.1,NO
0.09,NO
0.14,NO
0.12,YES
0.1,NO
0.07,YES
0.09,NO
0.08,YES
0.06,NO
0.16,NO
0.06,NO
0.04,NO
0.05,YES
0.19,NO
0.08,YES
0.06,NO
0.06,NO
0.1,YES
0.11,NO
0.14,NO
0.13,YES
0.26,NO
0.04,NO
0.15,YES
0.02,NO
0.24,YES
0.03,NO
0.19,NO
0.31,NO
0.36,NO
0.06,NO
0.12,NO
0.08,NO
0.12,NO
0.21,NO
0.1,NO
0.1,NO
0.17,NO
0.21,NO
0.18,NO
0.25,YES
0.09,NO
0.42,YES
0.17,NO
0.11,NO
0.06,YES
0.13,YES
0.13,YES
0.13,YES
0.1,NO
0.1,NO
0.12,YES
0.05,NO
0.08,YES
0.05,NO
0.14,NO
0.2,NO
0.15,NO
0.12,NO
0.05,YES
0.13,NO
0.15,YES
0.13,NO
0.12,YES
0.19,NO
0.03,NO
0.09,NO
0.41,NO
0.16,YES
0.25,NO
0.15,YES
0.14,YES
0.08,YES
0.04,NO
0.04,NO
0.05,NO
0.11,NO
0.16,YES
0.08,YES
0.04,NO
0.08,NO
0.06,NO
0.18,NO
0.07,NO
0.26,NO
0.05,NO
0.04,YES
0.16,NO
0.08,YES
0.06,NO
0.09,YES
0.03,NO
0.07,NO
0.06,NO
0.06,NO
0.08,NO
0.06,NO
0.09,NO
0.08,NO
0.07,NO
0.24,NO
0.05,YES
0.12,YES
0.12,YES
0.12,YES
0.2,NO
0.07,NO
0.07,YES
0.05,NO
0.02,YES
0.04,NO
0.16,NO
0.27,NO
0.05,NO
0.04,NO
0.09,YES
0.2,NO
0.1,YES
0.16,NO
0.13,YES
0.04,NO
0.31,NO
0.22,NO
0.26,NO
0.06,YES
0.03,NO
0.07,YES
0.28,NO
0.06,NO
0.06,YES
0.07,YES
0.05,YES
0.31,YES
0.18,NO
0.15,NO
0.1,YES
0.07,NO
0.09,YES
0.03,NO
0.02,NO
0.14,NO
0.14,NO
0.06,NO
0.15,YES
0.11,NO
0.05,YES
0.04,NO
0.02,YES
0.03,NO
0.05,NO
0.05,NO
0.17,NO
0.1,YES
0.12,NO
0.05,YES
0.09,NO
0.11,NO
0.1,YES
0.04,YES
0.04,YES
0.21,YES
0.12,NO
0.13,NO
0.15,YES
0.05,NO
0.12,YES
0.04,NO
0.07,NO
0.04,NO
0.12,NO
0.13,NO
0.2,YES
0.09,NO
0.07,YES
0.18,NO
0.06,YES
0.17,NO
0.06,NO
0.1,NO
0.11,NO
0.15,YES
0.1,NO
0.15,YES
0.03,NO
0.07,NO
0.13,YES
0.12,YES
0.15,YES
0.13,YES
0.14,NO
0.04,NO
0.08,YES
0.03,NO
0.13,YES
0.04,NO
0.27,NO
0.07,NO
0.1,NO
0.09,NO
0.15,YES
0.05,NO
0.09,YES
0.2,NO
0.11,YES
0.06,NO
0.11,NO
0.08,NO
0.16,NO
0.03,YES
0.04,NO
0.13,YES
0.13,NO
0.1,NO
0.29,YES
0.11,YES
0.06,YES
0.13,YES
0.13,NO
0.14,NO
0.05,YES
0.05,NO
0.15,YES
0.05,NO
0.12,NO
0.04,NO
0.13,NO
0.18,NO
0.15,YES
0.09,NO
0.12,YES
0.15,NO
0.11,YES
0.11,NO
0.13,NO
0.12,NO
0.22,NO
0.19,YES
0.1,NO
0.13,YES
0.11,NO
0.26,NO
0.08,YES
0.16,YES
0.05,YES
0.09,YES
0.15,NO
0.05,NO
0.16,YES
0.03,NO
0.19,YES
0.04,NO
0.1,NO
0.08,NO
0.11,NO
0.12,NO
0.22,YES
0.1,NO
0.13,YES
0.07,NO
0.13,YES
0.05,NO
0.04,NO
0.06,NO
0.08,NO
0.16,YES
0.23,NO
0.24,YES
0.05,NO
0.25,NO
0.02,NO
0.1,NO
0.05,NO
0.06,NO
0.08,NO
0.08,NO
0.11,NO
0.1,NO
0.27,NO
0.18,NO
0.07,YES
0.56,YES
0.15,YES
0.1,NO
0.14,NO
0.09,NO
0.04,NO
0.14,NO
0.05,NO
0.07,NO
0.2,NO
0.13,NO
0.1,NO
0.11,NO
0.03,NO
0.16,NO
0.1,YES
0.06,YES
0.04,NO
0.08,NO
0.06,NO
0.16,NO
0.16,YES
0.05,YES
0.09,NO
0.05,NO
0.07,NO
0.04,NO
0.04,NO
0.04,NO
0.02,NO
0.08,YES
0.21,NO
0.08,YES
0.06,NO
0.04,YES
0.06,NO
0.08,NO
0.05,NO
0.07,NO
0.09,NO
0.04,NO
0.06,NO
0.06,NO
0.11,NO
0.21,NO
0.04,YES
0.11,YES
0.11,YES
0.09,YES
0.12,NO
0.14,NO
0.08,YES
0.06,NO
0.02,YES
0.05,NO
0.17,NO
0.31,NO
0.1,NO
0.04,NO
0.04,YES
0.13,NO
0.12,YES
0.16,NO
0.06,YES
0.14,NO
0.07,NO
0.31,NO
0.15,NO
0.09,YES
0.06,NO
0.2,YES
0.15,YES
0.09,YES
0.05,NO
0.08,NO
0.04,NO
0.11,NO
0.16,YES
0.07,YES
0.04,NO
0.06,NO
0.06,NO
0.12,NO
0.09,NO
0.12,NO
0.09,NO
0.07,YES
0.11,NO
0.09,YES
0.04,NO
0.03,YES
0.03,NO
0.11,NO
0.04,NO
0.03,NO
0.08,NO
0.03,NO
0.11,NO
0.05,NO
0.12,NO
0.12,NO
0.11,NO
0.1,NO
0.07,NO
0.47,NO
0.11,NO
0.15,NO
0.15,NO
0.06,YES
0.16,NO
0.07,YES
0.32,NO
0.14,NO
0.09,NO
0.09,NO
0.15,NO
0.09,NO
0.14,NO
0.16,NO
0.11,NO
0.1,YES
0.23,YES
0.1,YES
0.3,YES
0.13,NO
0.18,YES
0.11,NO
0.14,YES
0.07,YES
0.04,NO
0.1,NO
0.03,NO
0.11,NO
0.08,YES
0.06,YES
0.08,NO
0.04,NO
0.06,NO
0.03,NO
0.01,NO
0.16,NO
0.01,NO
0.06,YES
0.09,NO
0.15,YES
0.03,NO
0.03,YES
0.02,NO
0.06,NO
0.1,NO
0.05,NO
0.09,NO
0.04,NO
0.13,NO
0.07,NO
0.32,NO
0.04,NO
0.11,NO
0.15,NO
0.12,NO
0.42,NO
0.04,NO
0.11,NO
0.06,NO
0.1,YES
0.16,NO
0.11,YES
0.03,NO
0.07,NO
0.05,NO
0.06,NO
0.22,NO
0.06,NO
0.16,NO
0.11,NO
0.03,NO
0.05,YES
0.14,YES
0.04,YES
0.21,YES
0.03,NO
0.19,YES
0.06,NO
