,DIRECT_NA_NA_VSM,DIRECT_NA_NA_VSM,Associated
0,0.0737,0.0737,NO
1,0.0652,0.0652,NO
2,0.1144,0.1144,NO
3,0.2164,0.2164,NO
4,0.0671,0.0671,NO
5,0.0906,0.0906,NO
6,0.0589,0.0589,NO
7,0.0679,0.0679,NO
8,0.1689,0.1689,NO
9,0.2469,0.2469,YES
10,0.0616,0.0616,NO
11,0.33799999999999997,0.33799999999999997,YES
12,0.2427,0.2427,NO
13,0.2231,0.2231,NO
14,0.2223,0.2223,NO
15,0.1142,0.1142,NO
16,0.0706,0.0706,NO
17,0.1109,0.1109,NO
18,0.0747,0.0747,NO
19,0.2179,0.2179,NO
20,0.1147,0.1147,NO
21,0.0779,0.0779,YES
22,0.0804,0.0804,YES
23,0.1668,0.1668,YES
24,0.24,0.24,YES
25,0.1573,0.1573,NO
26,0.0716,0.0716,YES
27,0.1205,0.1205,NO
28,0.1072,0.1072,YES
29,0.2444,0.2444,YES
30,0.3362,0.3362,NO
31,0.1579,0.1579,NO
32,0.1148,0.1148,NO
33,0.1112,0.1112,NO
34,0.3947,0.3947,YES
35,0.0957,0.0957,YES
36,0.1364,0.1364,NO
37,0.1056,0.1056,NO
38,0.0981,0.0981,NO
39,0.1058,0.1058,NO
40,0.1797,0.1797,NO
41,0.1526,0.1526,NO
42,0.1551,0.1551,NO
43,0.2811,0.2811,YES
44,0.0766,0.0766,NO
45,0.1126,0.1126,YES
46,0.0341,0.0341,NO
47,0.3399,0.3399,YES
48,0.0412,0.0412,NO
49,0.1212,0.1212,NO
50,0.0769,0.0769,NO
51,0.1235,0.1235,NO
52,0.0802,0.0802,NO
53,0.1903,0.1903,NO
54,0.1119,0.1119,NO
55,0.1008,0.1008,NO
56,0.0886,0.0886,NO
57,0.1534,0.1534,NO
58,0.1331,0.1331,NO
59,0.2865,0.2865,NO
60,0.1512,0.1512,NO
61,0.1666,0.1666,NO
62,0.1465,0.1465,NO
63,0.0509,0.0509,NO
64,0.2187,0.2187,NO
65,0.4574,0.4574,YES
66,0.1603,0.1603,NO
67,0.2015,0.2015,YES
68,0.205,0.205,NO
69,0.2168,0.2168,NO
70,0.2136,0.2136,NO
71,0.1919,0.1919,NO
72,0.1533,0.1533,NO
73,0.1268,0.1268,NO
74,0.1947,0.1947,NO
75,0.1755,0.1755,NO
76,0.2202,0.2202,NO
77,0.4465,0.4465,YES
78,0.4252,0.4252,YES
79,0.3653,0.3653,YES
80,0.1771,0.1771,YES
81,0.1659,0.1659,NO
82,0.1927,0.1927,YES
83,0.1251,0.1251,NO
84,0.1303,0.1303,YES
85,0.1814,0.1814,YES
86,0.3356,0.3356,NO
87,0.1662,0.1662,NO
88,0.1507,0.1507,NO
89,0.1441,0.1441,NO
90,0.3435,0.3435,YES
91,0.1243,0.1243,YES
92,0.1731,0.1731,NO
93,0.0952,0.0952,NO
94,0.1364,0.1364,NO
95,0.0887,0.0887,NO
96,0.2289,0.2289,NO
97,0.2088,0.2088,NO
98,0.2075,0.2075,NO
99,0.1923,0.1923,YES
100,0.0927,0.0927,NO
101,0.0821,0.0821,YES
102,0.0311,0.0311,NO
103,0.3081,0.3081,YES
104,0.0406,0.0406,NO
105,0.1251,0.1251,NO
106,0.091,0.091,NO
107,0.11800000000000001,0.11800000000000001,NO
108,0.1053,0.1053,NO
109,0.2201,0.2201,NO
110,0.1351,0.1351,NO
111,0.1328,0.1328,NO
112,0.0724,0.0724,NO
113,0.0244,0.0244,NO
114,0.1404,0.1404,YES
115,0.3348,0.3348,YES
116,0.2937,0.2937,YES
117,0.14300000000000002,0.14300000000000002,YES
118,0.0826,0.0826,NO
119,0.013000000000000001,0.013000000000000001,NO
120,0.2103,0.2103,YES
121,0.1395,0.1395,NO
122,0.1325,0.1325,YES
123,0.1443,0.1443,NO
124,0.2165,0.2165,NO
