,DIRECT_NA_NA_VSM,LOWERTRACED_MAX_MULTI_LSA,Associated
0,0.0737,0.6926420695504665,NO
1,0.0652,0.6926420695504665,NO
2,0.1144,0.7328244274809159,NO
3,0.2164,0.7328244274809159,NO
4,0.0671,0.7328244274809159,NO
5,0.0906,0.7328244274809159,NO
6,0.0589,0.6926420695504665,NO
7,0.0679,0.6926420695504665,NO
8,0.1689,0.7328244274809159,NO
9,0.2469,0.8348176420695504,YES
10,0.0616,0.7328244274809159,NO
11,0.33799999999999997,0.8348176420695504,YES
12,0.2427,0.6997455470737913,NO
13,0.2231,0.6997455470737913,NO
14,0.2223,0.6997455470737913,NO
15,0.1142,0.6926420695504665,NO
16,0.0706,0.7328244274809159,NO
17,0.1109,0.6926420695504665,NO
18,0.0747,0.7328244274809159,NO
19,0.2179,0.6926420695504665,NO
20,0.1147,0.7328244274809159,NO
21,0.0779,0.8348176420695504,YES
22,0.0804,0.8348176420695504,YES
23,0.1668,0.8348176420695504,YES
24,0.24,0.8348176420695504,YES
25,0.1573,0.7328244274809159,NO
26,0.0716,0.8348176420695504,YES
27,0.1205,0.7328244274809159,NO
28,0.1072,0.3918575063613232,YES
29,0.2444,0.3918575063613232,YES
30,0.3362,0.8662001696352841,NO
31,0.1579,0.9227099236641222,NO
32,0.1148,0.9227099236641222,NO
33,0.1112,0.8662001696352841,NO
34,0.3947,0.3918575063613232,YES
35,0.0957,0.3918575063613232,YES
36,0.1364,0.8662001696352841,NO
37,0.1056,0.32538167938931295,NO
38,0.0981,0.8662001696352841,NO
39,0.1058,0.32538167938931295,NO
40,0.1797,0.4470949957591179,NO
41,0.1526,0.4470949957591179,NO
42,0.1551,0.4470949957591179,NO
43,0.2811,0.3918575063613232,YES
44,0.0766,0.9227099236641222,NO
45,0.1126,0.3918575063613232,YES
46,0.0341,0.9227099236641222,NO
47,0.3399,0.3918575063613232,YES
48,0.0412,0.9227099236641222,NO
49,0.1212,0.32538167938931295,NO
50,0.0769,0.32538167938931295,NO
51,0.1235,0.32538167938931295,NO
52,0.0802,0.32538167938931295,NO
53,0.1903,0.8662001696352841,NO
54,0.1119,0.32538167938931295,NO
55,0.1008,0.8662001696352841,NO
56,0.0886,0.8615351993214588,NO
57,0.1534,0.8615351993214588,NO
58,0.1331,0.6530958439355385,NO
59,0.2865,0.6552162849872772,NO
60,0.1512,0.6552162849872772,NO
61,0.1666,0.6530958439355385,NO
62,0.1465,0.8615351993214588,NO
63,0.0509,0.8615351993214588,NO
64,0.2187,0.6530958439355385,NO
65,0.4574,0.9202714164546224,YES
66,0.1603,0.6530958439355385,NO
67,0.2015,0.9202714164546224,YES
68,0.205,0.5789864291772688,NO
69,0.2168,0.5789864291772688,NO
70,0.2136,0.5789864291772688,NO
71,0.1919,0.8615351993214588,NO
72,0.1533,0.6552162849872772,NO
73,0.1268,0.8615351993214588,NO
74,0.1947,0.6552162849872772,NO
75,0.1755,0.8615351993214588,NO
76,0.2202,0.6552162849872772,NO
77,0.4465,0.9202714164546224,YES
78,0.4252,0.9202714164546224,YES
79,0.3653,0.9202714164546224,YES
80,0.1771,0.9202714164546224,YES
81,0.1659,0.6530958439355385,NO
82,0.1927,0.9202714164546224,YES
83,0.1251,0.6530958439355385,NO
84,0.1303,0.4201653944020357,YES
85,0.1814,0.4201653944020357,YES
86,0.3356,0.9027777777777778,NO
87,0.1662,0.9118956743002544,NO
88,0.1507,0.9118956743002544,NO
89,0.1441,0.9027777777777778,NO
90,0.3435,0.4201653944020357,YES
91,0.1243,0.4201653944020357,YES
92,0.1731,0.9027777777777778,NO
