,DIRECT_NA_NA_VSM,LOWERTRACED_SUM_RAW_VSM,Associated
0,0.0737,0.4406,NO
1,0.0652,0.4406,NO
2,0.1144,0.7848,NO
3,0.2164,0.6747,NO
4,0.0671,0.6747,NO
5,0.0906,0.7848,NO
6,0.0589,0.4406,NO
7,0.0679,0.4406,NO
8,0.1689,0.7848,NO
9,0.2469,0.9346,YES
10,0.0616,0.7848,NO
11,0.33799999999999997,0.9346,YES
12,0.2427,0.3975,NO
13,0.2231,0.3975,NO
14,0.2223,0.3975,NO
15,0.1142,0.4406,NO
16,0.0706,0.6747,NO
17,0.1109,0.4406,NO
18,0.0747,0.6747,NO
19,0.2179,0.4406,NO
20,0.1147,0.6747,NO
21,0.0779,0.9346,YES
22,0.0804,0.9346,YES
23,0.1668,0.9346,YES
24,0.24,0.9346,YES
25,0.1573,0.7848,NO
26,0.0716,0.9346,YES
27,0.1205,0.7848,NO
28,0.1072,0.7122,YES
29,0.2444,0.7122,YES
30,0.3362,0.9594,NO
31,0.1579,0.5707,NO
32,0.1148,0.5707,NO
33,0.1112,0.9594,NO
34,0.3947,0.7122,YES
35,0.0957,0.7122,YES
36,0.1364,0.9594,NO
37,0.1056,0.4344,NO
38,0.0981,0.9594,NO
39,0.1058,0.4344,NO
40,0.1797,0.3601,NO
41,0.1526,0.3601,NO
42,0.1551,0.3601,NO
43,0.2811,0.7122,YES
44,0.0766,0.5707,NO
45,0.1126,0.7122,YES
46,0.0341,0.5707,NO
47,0.3399,0.7122,YES
48,0.0412,0.5707,NO
49,0.1212,0.4344,NO
50,0.0769,0.4344,NO
51,0.1235,0.4344,NO
52,0.0802,0.4344,NO
53,0.1903,0.9594,NO
54,0.1119,0.4344,NO
55,0.1008,0.9594,NO
56,0.0886,0.3411,NO
57,0.1534,0.3411,NO
58,0.1331,1.0958,NO
59,0.2865,0.8354,NO
60,0.1512,0.8354,NO
61,0.1666,1.0958,NO
62,0.1465,0.3411,NO
63,0.0509,0.3411,NO
64,0.2187,1.0958,NO
65,0.4574,1.7366,YES
