,DIRECT_NA_NA_VSM,NONETRACED_MAX_MULTI_LSA,Associated
0,0.0737,0.4721456994184266,NO
1,0.0652,0.3809305172941535,NO
2,0.1144,0.4621977349250076,NO
3,0.2164,0.5474441383532291,NO
4,0.0671,0.4732170186715641,NO
5,0.0906,0.4527089072543618,NO
6,0.0589,0.3810835629017446,NO
7,0.0679,0.33868992959902045,NO
8,0.1689,0.3767982858891949,NO
9,0.2469,0.6233547597183959,YES
10,0.0616,0.4909703091521274,NO
11,0.33799999999999997,0.5352004897459441,YES
12,0.2427,0.4805632078359351,NO
13,0.2231,0.497857361493725,NO
14,0.2223,0.3373125191307009,NO
15,0.1142,0.3292011019283746,NO
16,0.0706,0.6646770737679828,NO
17,0.1109,0.35277012549739817,NO
18,0.0747,0.3922558922558923,NO
19,0.2179,0.32644628099173545,NO
20,0.1147,0.4935720844811753,NO
21,0.0779,0.4429139883685337,YES
22,0.0804,0.6068258340985613,YES
23,0.1668,0.5084175084175084,YES
24,0.24,0.4253137434955616,YES
25,0.1573,0.534741352923171,NO
26,0.0716,0.4683195592286501,YES
27,0.1205,0.4695439240893786,NO
28,0.1072,0.4536271808999081,YES
29,0.2444,0.529537802265075,YES
30,0.3362,0.6244260789715335,NO
31,0.1579,0.7943067033976123,NO
32,0.1148,0.6374349556167735,NO
33,0.1112,0.5708601163146616,NO
34,0.3947,0.4265381083562901,YES
35,0.0957,0.4801040710131618,YES
36,0.1364,0.5246403428221609,NO
37,0.1056,0.8614937251300887,NO
38,0.0981,0.6580961126415672,NO
39,0.1058,0.8239975512702784,NO
40,0.1797,0.6458524640342822,NO
41,0.1526,0.4046525864707683,NO
42,0.1551,0.4787266605448424,NO
43,0.2811,0.4690847872666053,YES
44,0.0766,0.5658096112641566,NO
45,0.1126,0.4967860422405877,YES
46,0.0341,0.5428527701254973,NO
47,0.3399,0.4211815120906029,YES
48,0.0412,0.6611570247933884,NO
49,0.1212,0.6020814202632385,NO
50,0.0769,0.6152433425160697,NO
51,0.1235,0.6784511784511784,NO
52,0.0802,0.5814202632384449,NO
53,0.1903,0.7092133455769818,NO
54,0.1119,0.6316192225283135,NO
55,0.1008,0.6331496786042241,NO
56,0.0886,0.4981634527089072,NO
57,0.1534,0.5456075910621365,NO
58,0.1331,0.3650137741046832,NO
59,0.2865,0.473063973063973,NO
60,0.1512,0.5589225589225588,NO
61,0.1666,0.5466789103152738,NO
62,0.1465,0.4799510254055706,NO
63,0.0509,0.6029996939087847,NO
64,0.2187,0.28818487909396995,NO
65,0.4574,0.44107744107744096,YES
66,0.1603,0.4317416590143862,NO
67,0.2015,0.4023569023569023,YES
68,0.205,0.3815426997245179,NO
69,0.2168,0.4525558616467708,NO
70,0.2136,0.2528313437404346,NO
71,0.1919,0.24533210896847255,NO
72,0.1533,0.7127333945515761,NO
73,0.1268,0.2667584940312212,NO
74,0.1947,0.30211202938475656,NO
75,0.1755,0.19222528313437395,NO
76,0.2202,0.3933272115090296,NO
77,0.4465,0.5599938781756961,YES
78,0.4252,0.6342209978573614,YES
79,0.3653,0.406642179369452,YES
80,0.1771,0.608509335782063,YES
81,0.1659,0.4302112029384756,NO
82,0.1927,0.5540250994796447,YES
83,0.1251,0.37174778083868976,NO
84,0.1303,0.4914294459749005,YES
85,0.1814,0.5704009794918885,YES
86,0.3356,0.6691153963881236,NO
87,0.1662,0.7800734618916436,NO
88,0.1507,0.6824303642485461,NO
89,0.1441,0.6134067952249769,NO
90,0.3435,0.4710743801652893,YES
91,0.1243,0.5189776553412917,YES
92,0.1731,0.5653504744413835,NO
93,0.0952,0.8464952555861647,NO
94,0.1364,0.7040097949188857,NO
95,0.0887,0.8094582185491275,NO
96,0.2289,0.6913070094888276,NO
97,0.2088,0.4793388429752066,NO
98,0.2075,0.5174471992653811,NO
99,0.1923,0.507499234771962,YES
100,0.0927,0.5850933578206305,NO
101,0.0821,0.5362718089990817,YES
102,0.0311,0.5841750841750841,NO
103,0.3081,0.4498010407101316,YES
104,0.0406,0.7072237526782981,NO
105,0.1251,0.6456994184266911,NO
106,0.091,0.6029996939087847,NO
107,0.11800000000000001,0.7251300887664522,NO
108,0.1053,0.6242730333639424,NO
109,0.2201,0.7571166207529842,NO
110,0.1351,0.6764615855524947,NO
111,0.1328,0.6779920416284053,NO
112,0.0724,0.5586164677073766,NO
113,0.0244,0.41444750535659625,NO
114,0.1404,0.5007652280379553,YES
115,0.3348,0.5736149372513009,YES
116,0.2937,0.497551270278543,YES
117,0.14300000000000002,0.7092133455769818,YES
118,0.0826,0.6258034894398531,NO
119,0.013000000000000001,0.3595041322314049,NO
120,0.2103,0.3986838077747168,YES
121,0.1395,0.3683807774716865,NO
122,0.1325,0.6118763391490663,YES
