,DIRECT_NA_NA_VSM,NONETRACED_MEDIAN_MULTI_LSA,Associated
0,0.0737,0.6885895404120443,NO
1,0.0652,0.7456418383518224,NO
2,0.1144,0.5059429477020603,NO
3,0.2164,0.3878763866877972,NO
4,0.0671,0.5033676703645007,NO
5,0.0906,0.7539619651347067,NO
6,0.0589,0.7949683042789222,NO
7,0.0679,0.4136291600633914,NO
8,0.1689,0.455229793977813,NO
9,0.2469,0.4053090332805071,YES
10,0.0616,0.7183042789223455,NO
11,0.33799999999999997,0.4082805071315373,YES
12,0.2427,0.4760301109350237,NO
13,0.2231,0.7210776545166402,NO
14,0.2223,0.4237321711568937,NO
15,0.1142,0.5221870047543582,NO
16,0.0706,0.793581616481775,NO
17,0.1109,0.43502377179080826,NO
18,0.0747,0.2099841521394612,NO
19,0.2179,0.1931458003169572,NO
20,0.1147,0.5328843106180665,NO
21,0.0779,0.4956418383518225,YES
22,0.0804,0.6333201267828843,YES
23,0.1668,0.44611727416798735,YES
24,0.24,0.6602614896988905,YES
25,0.1573,0.6568938193343898,NO
26,0.0716,0.7921949286846277,YES
27,0.1205,0.4059033280507132,NO
28,0.1072,0.452852614896989,YES
29,0.2444,0.463351822503962,YES
30,0.3362,0.3318145800316957,NO
31,0.1579,0.22543581616481775,NO
32,0.1148,0.3054675118858954,NO
33,0.1112,0.4457210776545167,NO
34,0.3947,0.4619651347068146,YES
35,0.0957,0.2912044374009509,YES
36,0.1364,0.2793185419968304,NO
37,0.1056,0.2167194928684628,NO
38,0.0981,0.4171949286846275,NO
39,0.1058,0.2551505546751188,NO
40,0.1797,0.3419175911251981,NO
41,0.1526,0.41006339144215537,NO
42,0.1551,0.2478209191759113,NO
43,0.2811,0.3298335974643423,YES
44,0.0766,0.4340332805071316,NO
45,0.1126,0.3181458003169572,YES
46,0.0341,0.08835182250396198,NO
47,0.3399,0.1366877971473851,YES
48,0.0412,0.266838351822504,NO
49,0.1212,0.3201267828843106,NO
50,0.0769,0.4001584786053883,NO
