,DIRECT_NA_NA_VSM,NONETRACED_MEDIAN_RAW_LSA,Associated
0,0.0737,0.6915645617342131,NO
1,0.0652,0.7304429783223374,NO
2,0.1144,0.5047125353440151,NO
3,0.2164,0.3770028275212064,NO
4,0.0671,0.5056550424128181,NO
5,0.0906,0.7485862393967955,NO
6,0.0589,0.7756833176248822,NO
7,0.0679,0.3984448633364751,NO
8,0.1689,0.4585296889726673,NO
9,0.2469,0.4010367577756834,YES
10,0.0616,0.7040527803958531,NO
11,0.33799999999999997,0.4097549481621112,YES
12,0.2427,0.4830348727615458,NO
13,0.2231,0.7071159283694629,NO
14,0.2223,0.425306314797361,NO
15,0.1142,0.5101319509896324,NO
16,0.0706,0.7879359095193215,NO
17,0.1109,0.4222431668237512,NO
18,0.0747,0.21182846371347785,NO
19,0.2179,0.1988689915174364,NO
20,0.1147,0.5334590009425071,NO
21,0.0779,0.4983506126295948,YES
22,0.0804,0.6206409048067861,YES
23,0.1668,0.4533459000942508,YES
24,0.24,0.6517436380772856,YES
25,0.1573,0.6336003770028276,NO
26,0.0716,0.7737983034872762,YES
27,0.1205,0.39467483506126294,NO
28,0.1072,0.3998586239396796,YES
29,0.2444,0.4008011310084826,YES
30,0.3362,0.30254476908576816,NO
31,0.1579,0.2153628652214892,NO
32,0.1148,0.2862865221489161,NO
33,0.1112,0.3932610744580585,NO
34,0.3947,0.3798303487276155,YES
35,0.0957,0.2789820923656928,YES
36,0.1364,0.2565975494816211,NO
37,0.1056,0.2111215834118756,NO
38,0.0981,0.3727615457115929,NO
39,0.1058,0.23680490103675775,NO
40,0.1797,0.3030160226201697,NO
41,0.1526,0.3567389255419416,NO
42,0.1551,0.2306786050895382,NO
43,0.2811,0.2874646559849199,YES
44,0.0766,0.3836003770028275,NO
45,0.1126,0.2813383600377003,YES
46,0.0341,0.09307257304429782,NO
47,0.3399,0.13619227144203586,YES
48,0.0412,0.23868991517436386,NO
49,0.1212,0.2907634307257305,NO
50,0.0769,0.3678133836003771,NO
51,0.1235,0.2229029217719133,NO
52,0.0802,0.3331762488218661,NO
53,0.1903,0.3713477851083883,NO
54,0.1119,0.3786522148916117,NO
55,0.1008,0.2332704995287465,NO
56,0.0886,0.7139491046182846,NO
57,0.1534,0.6899151743638078,NO
58,0.1331,0.5179076343072574,NO
59,0.2865,0.5146088595664468,NO
60,0.1512,0.582469368520264,NO
61,0.1666,0.7768614514608859,NO
62,0.1465,0.7709707822808671,NO
63,0.0509,0.3934967012252592,NO
64,0.2187,0.4632422243166824,NO
65,0.4574,0.4260131950989633,YES
66,0.1603,0.6729500471253536,NO
67,0.2015,0.4203581526861452,YES
68,0.205,0.508718190386428,NO
69,0.2168,0.6698868991517436,NO
70,0.2136,0.5103675777568332,NO
71,0.1919,0.6093308199811499,NO
72,0.1533,0.7789820923656928,NO
73,0.1268,0.5318096135721019,NO
74,0.1947,0.3107917059377946,NO
75,0.1755,0.2617813383600377,NO
76,0.2202,0.5586710650329878,NO
77,0.4465,0.6050895381715363,YES
78,0.4252,0.7742695570216777,YES
79,0.3653,0.4526390197926485,YES
80,0.1771,0.6211121583411876,YES
81,0.1659,0.7066446748350613,NO
82,0.1927,0.7653157398680491,YES
83,0.1251,0.4003298774740811,NO
84,0.1303,0.5042412818096136,YES
85,0.1814,0.4806786050895382,YES
86,0.3356,0.4161168708765316,NO
87,0.1662,0.27803958529688977,NO
88,0.1507,0.39373232799246,NO
89,0.1441,0.5504241281809614,NO
90,0.3435,0.5735155513666352,YES
91,0.1243,0.35296889726672953,YES
92,0.1731,0.3501413760603205,NO
93,0.0952,0.2726201696512724,NO
94,0.1364,0.4844486333647503,NO
95,0.0887,0.2846371347785109,NO
96,0.2289,0.4420358152686146,NO
97,0.2088,0.5282752120640906,NO
98,0.2075,0.3788878416588125,NO
99,0.1923,0.3814797360980208,YES
100,0.0927,0.5131950989632423,NO
101,0.0821,0.3517907634307258,YES
102,0.0311,0.13242224316682374,NO
103,0.3081,0.2005183788878417,YES
104,0.0406,0.3310556079170594,NO
105,0.1251,0.4250706880301601,NO
106,0.091,0.4370876531573987,NO
107,0.11800000000000001,0.3305843543826579,NO
108,0.1053,0.470311027332705,NO
109,0.2201,0.5042412818096136,NO
110,0.1351,0.5914231856738926,NO
111,0.1328,0.3336475023562677,NO
112,0.0724,0.5306314797360979,NO
113,0.0244,0.612158341187559,NO
114,0.1404,0.5014137606032045,YES
115,0.3348,0.4776154571159285,YES
116,0.2937,0.5485391140433553,YES
117,0.14300000000000002,0.7709707822808671,YES
118,0.0826,0.7007540056550424,NO
119,0.013000000000000001,0.4641847313854854,NO
120,0.2103,0.4389726672950047,YES
121,0.1395,0.4142318567389256,NO
122,0.1325,0.6305372290292177,YES
123,0.1443,0.4045711592836947,NO
124,0.2165,0.5169651272384543,NO
125,0.1934,0.6171065032987748,NO
126,0.1934,0.44156456173421293,NO
127,0.0572,0.4818567389255421,NO
128,0.2318,0.7158341187558908,YES
129,0.0556,0.35650329877474085,NO
130,0.3609,0.3063147973609802,YES
131,0.1417,0.26013195098963243,NO
132,0.255,0.5157869934024506,YES
133,0.0522,0.5579641847313855,NO
134,0.0677,0.6835532516493874,NO
135,0.1439,0.4759660697455231,NO
136,0.0494,0.5904806786050896,NO
137,0.1715,0.6790763430725731,YES
138,0.0964,0.7309142318567391,NO
139,0.1343,0.3840716305372289,YES
140,0.1544,0.8126767200754006,NO
141,0.0732,0.8138548539114043,NO
142,0.1975,0.5933081998114986,NO
143,0.2582,0.6211121583411876,NO
144,0.1977,0.7269085768143261,NO
145,0.1701,0.9436852026390198,NO
146,0.1684,0.8828934967012254,NO
147,0.1225,0.6032045240339303,NO
148,0.1458,0.4985862393967954,NO
149,0.4028,0.5070688030160226,YES
150,0.1577,0.7846371347785109,NO
151,0.2904,0.4905749293119699,YES
152,0.1987,0.5815268614514609,NO
153,0.1756,0.8397737983034873,NO
154,0.1689,0.5984919886899152,NO
155,0.054000000000000006,0.5798774740810556,NO
156,0.1469,1.0,NO
157,0.0547,0.5822337417530631,NO
158,0.1082,0.29853911404335537,NO
159,0.2019,0.3294062205466541,NO
160,0.1293,0.6267672007540057,NO
161,0.3897,0.7254948162111217,YES
