,DIRECT_NA_NA_VSM,NONETRACED_MEDIAN_RAW_VSM,Associated
0,0.0737,0.0213,NO
1,0.0652,0.0074,NO
2,0.1144,0.0258,NO
3,0.2164,0.0241,NO
4,0.0671,0.0193,NO
5,0.0906,0.0297,NO
6,0.0589,0.0214,NO
7,0.0679,0.0078,NO
8,0.1689,0.0294,NO
9,0.2469,0.0137,YES
10,0.0616,0.0239,NO
11,0.33799999999999997,0.0102,YES
12,0.2427,0.018000000000000002,NO
13,0.2231,0.0242,NO
14,0.2223,0.0083,NO
15,0.1142,0.0124,NO
16,0.0706,0.0251,NO
17,0.1109,0.0119,NO
18,0.0747,0.0248,NO
19,0.2179,0.0103,NO
20,0.1147,0.0228,NO
21,0.0779,0.0134,YES
22,0.0804,0.0192,YES
23,0.1668,0.023,YES
24,0.24,0.012,YES
25,0.1573,0.0264,NO
26,0.0716,0.0248,YES
27,0.1205,0.0218,NO
28,0.1072,0.0209,YES
29,0.2444,0.0068,YES
30,0.3362,0.0244,NO
31,0.1579,0.0216,NO
32,0.1148,0.0168,NO
33,0.1112,0.0287,NO
34,0.3947,0.0238,YES
35,0.0957,0.0086,YES
36,0.1364,0.0267,NO
37,0.1056,0.0164,NO
38,0.0981,0.0158,NO
39,0.1058,0.0116,NO
40,0.1797,0.0188,NO
41,0.1526,0.0256,NO
42,0.1551,0.0082,NO
43,0.2811,0.0114,YES
44,0.0766,0.0234,NO
45,0.1126,0.0097,YES
46,0.0341,0.0226,NO
47,0.3399,0.0086,YES
48,0.0412,0.02,NO
49,0.1212,0.0155,NO
50,0.0769,0.022000000000000002,NO
51,0.1235,0.0248,NO
52,0.0802,0.0143,NO
53,0.1903,0.0247,NO
54,0.1119,0.0224,NO
55,0.1008,0.0222,NO
56,0.0886,0.026000000000000002,NO
57,0.1534,0.0111,NO
58,0.1331,0.0322,NO
59,0.2865,0.0248,NO
60,0.1512,0.0198,NO
61,0.1666,0.0422,NO
62,0.1465,0.0272,NO
63,0.0509,0.01,NO
64,0.2187,0.0397,NO
65,0.4574,0.0158,YES
66,0.1603,0.0302,NO
67,0.2015,0.0123,YES
68,0.205,0.0296,NO
69,0.2168,0.0318,NO
70,0.2136,0.012,NO
71,0.1919,0.0136,NO
72,0.1533,0.0284,NO
73,0.1268,0.0136,NO
74,0.1947,0.0331,NO
75,0.1755,0.0162,NO
76,0.2202,0.0275,NO
77,0.4465,0.0159,YES
78,0.4252,0.0234,YES
79,0.3653,0.0322,YES
80,0.1771,0.016,YES
81,0.1659,0.0369,NO
82,0.1927,0.0332,YES
83,0.1251,0.0338,NO
84,0.1303,0.0235,YES
85,0.1814,0.0075,YES
86,0.3356,0.0267,NO
87,0.1662,0.0222,NO
88,0.1507,0.0181,NO
89,0.1441,0.0288,NO
90,0.3435,0.0251,YES
91,0.1243,0.0098,YES
92,0.1731,0.0254,NO
93,0.0952,0.0163,NO
94,0.1364,0.0154,NO
95,0.0887,0.0124,NO
96,0.2289,0.0198,NO
97,0.2088,0.0254,NO
98,0.2075,0.0092,NO
99,0.1923,0.0138,YES
100,0.0927,0.0258,NO
101,0.0821,0.0112,YES
102,0.0311,0.0247,NO
103,0.3081,0.01,YES
104,0.0406,0.0223,NO
105,0.1251,0.0176,NO
106,0.091,0.0254,NO
107,0.11800000000000001,0.0256,NO
108,0.1053,0.0154,NO
109,0.2201,0.0275,NO
110,0.1351,0.0252,NO
111,0.1328,0.0212,NO
112,0.0724,0.0336,NO
113,0.0244,0.0132,NO
114,0.1404,0.0374,YES
115,0.3348,0.0274,YES
116,0.2937,0.0218,YES
117,0.14300000000000002,0.0532,YES
118,0.0826,0.0353,NO
119,0.013000000000000001,0.0122,NO
120,0.2103,0.0524,YES
121,0.1395,0.0258,NO
122,0.1325,0.0345,YES
123,0.1443,0.0177,NO
124,0.2165,0.0354,NO
125,0.1934,0.0368,NO
126,0.1934,0.0123,NO
127,0.0572,0.0194,NO
128,0.2318,0.0328,YES
129,0.0556,0.0181,NO
130,0.3609,0.036000000000000004,YES
131,0.1417,0.0188,NO
132,0.255,0.0292,YES
133,0.0522,0.025,NO
134,0.0677,0.0334,NO
135,0.1439,0.0448,NO
136,0.0494,0.0223,NO
137,0.1715,0.0435,YES
138,0.0964,0.045,NO
139,0.1343,0.0366,YES
140,0.1544,0.0295,NO
141,0.0732,0.0113,NO
142,0.1975,0.0329,NO
143,0.2582,0.0258,NO
144,0.1977,0.0202,NO
145,0.1701,0.0397,NO
146,0.1684,0.0277,NO
147,0.1225,0.0109,NO
148,0.1458,0.048,NO
149,0.4028,0.0173,YES
150,0.1577,0.027999999999999997,NO
151,0.2904,0.0144,YES
152,0.1987,0.0278,NO
153,0.1756,0.032,NO
154,0.1689,0.0116,NO
155,0.054000000000000006,0.015,NO
156,0.1469,0.0282,NO
157,0.0547,0.0144,NO
158,0.1082,0.0314,NO
159,0.2019,0.0156,NO
160,0.1293,0.0254,NO
161,0.3897,0.0161,YES
162,0.3612,0.026000000000000002,YES
163,0.2791,0.0296,YES
164,0.2894,0.0164,YES
165,0.2226,0.0329,NO
166,0.1753,0.0306,YES
167,0.0979,0.0358,NO
168,0.0985,0.0298,NO
169,0.0774,0.0105,NO
170,0.1069,0.028999999999999998,YES
171,0.3647,0.0286,YES
172,0.2531,0.018000000000000002,YES
173,0.1331,0.037000000000000005,YES
174,0.0885,0.0284,NO
175,0.0604,0.0092,NO
176,0.2068,0.035,YES
177,0.2598,0.0176,NO
178,0.106,0.0279,YES
179,0.1459,0.013000000000000001,NO
180,0.2252,0.0252,NO
181,0.2571,0.031,NO
182,0.2375,0.0112,NO
183,0.1453,0.0161,NO
184,0.2245,0.0277,YES
185,0.141,0.0158,NO
186,0.2623,0.0238,YES
187,0.142,0.017,NO
188,0.2555,0.0234,YES
189,0.2049,0.0162,NO
190,0.2206,0.026000000000000002,NO
191,0.2228,0.0278,NO
192,0.1032,0.0158,NO
193,0.1461,0.031,YES
194,0.1116,0.031,NO
195,0.1326,0.0272,YES
196,0.1415,0.0329,NO
197,0.0745,0.0122,NO
198,0.2381,0.0291,NO
199,0.19,0.0302,NO
200,0.1547,0.0241,NO
201,0.1997,0.0411,NO
202,0.1653,0.0337,NO
203,0.1536,0.0125,NO
204,0.1999,0.0383,NO
205,0.1989,0.0186,YES
206,0.2045,0.0243,NO
207,0.2447,0.015,YES
208,0.2519,0.0294,NO
209,0.2036,0.0326,NO
210,0.2033,0.0114,NO
211,0.0533,0.0188,NO
212,0.105,0.0349,NO
213,0.055999999999999994,0.0181,NO
214,0.1113,0.035,NO
215,0.2256,0.0161,NO
216,0.0989,0.033,NO
217,0.1879,0.022000000000000002,YES
218,0.1445,0.0299,YES
219,0.1901,0.0394,YES
220,0.3108,0.02,YES
221,0.2405,0.0358,NO
222,0.1657,0.0396,YES
223,0.1331,0.0322,NO
224,0.0949,0.0294,NO
225,0.1339,0.012,NO
