,DIRECT_NA_NA_VSM,NONETRACED_RFUNDER_RAW_LSA,Associated
0,0.0737,0.0,NO
1,0.0652,0.0,NO
2,0.1144,0.030303030303030307,NO
3,0.2164,0.030303030303030307,NO
4,0.0671,0.0,NO
5,0.0906,0.0,NO
6,0.0589,0.0,NO
7,0.0679,0.7424242424242424,NO
8,0.1689,0.0,NO
9,0.2469,0.2575757575757576,YES
10,0.0616,0.0,NO
11,0.33799999999999997,0.30303030303030304,YES
12,0.2427,0.5,NO
13,0.2231,0.2575757575757576,NO
14,0.2223,0.030303030303030307,NO
15,0.1142,0.015151515151515154,NO
16,0.0706,0.0,NO
17,0.1109,0.045454545454545456,NO
18,0.0747,0.0,NO
19,0.2179,0.4090909090909091,NO
20,0.1147,0.5151515151515151,NO
21,0.0779,0.015151515151515154,YES
22,0.0804,0.030303030303030307,YES
23,0.1668,0.18181818181818185,YES
24,0.24,0.0,YES
25,0.1573,0.16666666666666666,NO
26,0.0716,0.0,YES
27,0.1205,0.7424242424242424,NO
28,0.1072,0.8333333333333334,YES
29,0.2444,0.42424242424242425,YES
30,0.3362,0.2727272727272727,NO
31,0.1579,0.2575757575757576,NO
32,0.1148,0.3939393939393939,NO
33,0.1112,0.2727272727272727,NO
34,0.3947,0.7424242424242424,YES
35,0.0957,0.015151515151515154,YES
36,0.1364,0.3181818181818182,NO
37,0.1056,0.24242424242424246,NO
38,0.0981,0.3484848484848485,NO
39,0.1058,0.2575757575757576,NO
40,0.1797,0.2575757575757576,NO
41,0.1526,0.8333333333333334,NO
42,0.1551,0.4090909090909091,NO
43,0.2811,0.3787878787878788,YES
44,0.0766,0.2575757575757576,NO
45,0.1126,0.2727272727272727,YES
46,0.0341,0.13636363636363635,NO
47,0.3399,0.5,YES
48,0.0412,0.2575757575757576,NO
49,0.1212,0.2575757575757576,NO
50,0.0769,0.2878787878787879,NO
51,0.1235,0.2878787878787879,NO
52,0.0802,0.3333333333333333,NO
53,0.1903,0.24242424242424246,NO
54,0.1119,0.24242424242424246,NO
55,0.1008,0.4090909090909091,NO
56,0.0886,0.045454545454545456,NO
57,0.1534,0.0,NO
58,0.1331,0.0,NO
59,0.2865,0.0,NO
60,0.1512,0.0,NO
61,0.1666,0.060606060606060615,NO
62,0.1465,0.0,NO
63,0.0509,0.3181818181818182,NO
64,0.2187,0.060606060606060615,NO
65,0.4574,0.15151515151515152,YES
66,0.1603,0.0,NO
67,0.2015,0.2727272727272727,YES
68,0.205,0.0,NO
69,0.2168,0.0,NO
70,0.2136,0.0,NO
71,0.1919,0.3939393939393939,NO
72,0.1533,0.0,NO
73,0.1268,0.015151515151515154,NO
74,0.1947,0.0,NO
75,0.1755,0.030303030303030307,NO
76,0.2202,0.0,NO
77,0.4465,0.0,YES
78,0.4252,0.0,YES
79,0.3653,0.0,YES
80,0.1771,0.0,YES
