,DIRECT_NA_NA_VSM,NONETRACED_SUM_MULTI_VSM,Associated
0,0.0737,1.8537,NO
1,0.0652,0.5834,NO
2,0.1144,1.704,NO
3,0.2164,2.0963,NO
4,0.0671,1.485,NO
5,0.0906,2.1095,NO
6,0.0589,1.7948,NO
7,0.0679,0.7667,NO
8,0.1689,1.9917,NO
9,0.2469,1.9477,YES
10,0.0616,1.3756,NO
11,0.33799999999999997,1.2554,YES
12,0.2427,1.7086,NO
13,0.2231,2.0992,NO
14,0.2223,0.8604,NO
15,0.1142,1.1216,NO
16,0.0706,1.9147,NO
17,0.1109,1.1982,NO
18,0.0747,1.6659,NO
19,0.2179,1.0683,NO
20,0.1147,1.724,NO
21,0.0779,1.5702,YES
22,0.0804,2.3685,YES
23,0.1668,2.0305,YES
24,0.24,1.22,YES
25,0.1573,1.8438,NO
26,0.0716,1.8569,YES
27,0.1205,1.5248,NO
28,0.1072,1.8027,YES
29,0.2444,0.6739,YES
30,0.3362,1.7663,NO
31,0.1579,1.7371,NO
32,0.1148,1.2337,NO
33,0.1112,2.0414,NO
34,0.3947,1.8795,YES
35,0.0957,0.8008,YES
36,0.1364,1.9387,NO
37,0.1056,1.2723,NO
38,0.0981,1.3662,NO
39,0.1058,0.8425,NO
40,0.1797,1.6019999999999999,NO
41,0.1526,1.9112,NO
42,0.1551,0.797,NO
43,0.2811,1.2890000000000001,YES
44,0.0766,1.633,NO
45,0.1126,1.2388,YES
46,0.0341,1.4984,NO
47,0.3399,1.278,YES
48,0.0412,1.4264,NO
49,0.1212,1.1159,NO
50,0.0769,1.7314,NO
51,0.1235,1.6588,NO
52,0.0802,0.899,NO
53,0.1903,1.8226,NO
54,0.1119,1.6722,NO
55,0.1008,1.4791,NO
56,0.0886,2.3651,NO
57,0.1534,0.8235,NO
58,0.1331,2.5022,NO
59,0.2865,3.1138,NO
60,0.1512,2.2189,NO
61,0.1666,3.1599,NO
62,0.1465,2.4938,NO
63,0.0509,0.8633,NO
64,0.2187,2.853,NO
65,0.4574,3.3760000000000003,YES
66,0.1603,2.1565,NO
67,0.2015,1.864,YES
68,0.205,2.209,NO
69,0.2168,2.7939,NO
70,0.2136,0.9288,NO
71,0.1919,1.5241,NO
72,0.1533,2.7939,NO
73,0.1268,1.4463,NO
74,0.1947,2.5503,NO
75,0.1755,1.1726,NO
76,0.2202,2.543,NO
77,0.4465,2.9166,YES
78,0.4252,4.0375,YES
79,0.3653,3.5354,YES
80,0.1771,1.8259999999999998,YES
81,0.1659,2.698,NO
82,0.1927,3.0076,YES
83,0.1251,2.2006,NO
84,0.1303,1.9076,YES
85,0.1814,0.6563,YES
86,0.3356,1.8397,NO
87,0.1662,1.8619,NO
88,0.1507,1.3289,NO
89,0.1441,2.2037,NO
90,0.3435,1.9007,YES
91,0.1243,0.8547,YES
92,0.1731,2.1512,NO
93,0.0952,1.4123,NO
94,0.1364,1.4803,NO
95,0.0887,0.9349,NO
96,0.2289,1.7802,NO
97,0.2088,2.0602,NO
98,0.2075,0.9214,NO
99,0.1923,1.1988,YES
100,0.0927,1.7457,NO
101,0.0821,1.2472,YES
102,0.0311,1.5737,NO
103,0.3081,1.2747,YES
104,0.0406,1.4984,NO
105,0.1251,1.2198,NO
106,0.091,1.8968,NO
107,0.11800000000000001,1.7887,NO
108,0.1053,0.9931,NO
109,0.2201,1.9508,NO
110,0.1351,1.7852,NO
111,0.1328,1.6395,NO
112,0.0724,2.5897,NO
113,0.0244,0.8222,NO
114,0.1404,2.8999,YES
115,0.3348,3.5459,YES
116,0.2937,2.8489999999999998,YES
117,0.14300000000000002,3.6285,YES
118,0.0826,2.5796,NO
119,0.013000000000000001,0.9425,NO
120,0.2103,3.4971,YES
121,0.1395,2.0919,NO
122,0.1325,2.5627,YES
123,0.1443,1.3406,NO
124,0.2165,2.5769,NO
125,0.1934,3.0837,NO
126,0.1934,1.2524,NO
127,0.0572,1.4126,NO
128,0.2318,3.3494,YES
129,0.0556,1.4853,NO
130,0.3609,3.6158,YES
131,0.1417,1.3941,NO
132,0.255,3.2524,YES
133,0.0522,1.8405,NO
134,0.0677,2.9601,NO
135,0.1439,2.9934,NO
136,0.0494,1.4595,NO
137,0.1715,3.1529,YES
138,0.0964,2.9286,NO
139,0.1343,2.5743,YES
140,0.1544,2.7347,NO
141,0.0732,0.8127,NO
142,0.1975,2.6106,NO
143,0.2582,3.1993,NO
144,0.1977,2.2599,NO
145,0.1701,3.2581,NO
146,0.1684,2.612,NO
147,0.1225,1.1455,NO
148,0.1458,2.9019,NO
149,0.4028,3.3301,YES
150,0.1577,2.1775,NO
151,0.2904,1.926,YES
152,0.1987,2.3576,NO
153,0.1756,2.9530000000000003,NO
154,0.1689,1.0469,NO
155,0.054000000000000006,1.5577,NO
156,0.1469,2.8459,NO
157,0.0547,1.7358,NO
158,0.1082,2.4998,NO
159,0.2019,1.4773,NO
160,0.1293,2.5219,NO
161,0.3897,2.8331,YES
162,0.3612,4.01,YES
163,0.2791,3.4618,YES
164,0.2894,1.8813,YES
165,0.2226,2.8332,NO
166,0.1753,3.0125,YES
167,0.0979,2.2512,NO
168,0.0985,2.0473,NO
169,0.0774,0.6622,NO
170,0.1069,2.0457,YES
171,0.3647,2.9318,YES
172,0.2531,2.2516,YES
173,0.1331,2.6239999999999997,YES
174,0.0885,2.0428,NO
175,0.0604,0.7437,NO
176,0.2068,2.4758,YES
177,0.2598,2.2702,NO
178,0.106,1.7555,YES
179,0.1459,1.3296,NO
180,0.2252,1.98,NO
181,0.2571,2.463,NO
182,0.2375,0.9917,NO
183,0.1453,1.1673,NO
184,0.2245,2.6276,YES
185,0.141,1.2013,NO
186,0.2623,2.5807,YES
187,0.142,1.0555,NO
188,0.2555,2.4782,YES
189,0.2049,1.9019,NO
190,0.2206,2.8972,NO
191,0.2228,2.5225,NO
192,0.1032,1.3037,NO
193,0.1461,2.2688,YES
194,0.1116,2.2797,NO
195,0.1326,1.8718,YES
196,0.1415,2.5578,NO
197,0.0745,0.7897,NO
198,0.2381,2.6223,NO
199,0.19,2.7276,NO
200,0.1547,1.9742,NO
201,0.1997,3.2428,NO
202,0.1653,2.4624,NO
203,0.1536,1.0877,NO
204,0.1999,3.1007,NO
205,0.1989,2.4506,YES
206,0.2045,2.262,NO
207,0.2447,1.5636,YES
208,0.2519,2.424,NO
209,0.2036,2.8348,NO
210,0.2033,1.1521,NO
211,0.0533,1.4185,NO
212,0.105,2.5733,NO
213,0.055999999999999994,1.5838,NO
214,0.1113,2.4087,NO
215,0.2256,1.4565,NO
216,0.0989,2.2873,NO
217,0.1879,2.1185,YES
218,0.1445,3.1069999999999998,YES
219,0.1901,2.9594,YES
220,0.3108,1.6391,YES
221,0.2405,2.8183,NO
222,0.1657,2.7704,YES
223,0.1331,2.3501,NO
224,0.0949,2.2059,NO
225,0.1339,0.7514,NO
226,0.22399999999999998,2.6924,NO
227,0.1967,2.7143,NO
228,0.1436,2.0089,NO
229,0.2079,3.3483,NO
230,0.1339,2.3219,NO
231,0.0967,0.8145,NO
232,0.2198,3.0091,NO
233,0.3428,2.8978,YES
234,0.2344,2.4471,NO
235,0.1736,1.591,YES
236,0.1331,1.9876,NO
237,0.0735,2.4928,NO
238,0.0647,0.6543,NO
239,0.204,1.3838,NO
240,0.1327,2.6126,NO
241,0.1655,1.3474,NO
242,0.31,2.6561,NO
243,0.1309,1.0133,NO
244,0.2819,2.4658,NO
245,0.4042,2.6623,YES
246,0.3296,3.5829,YES
247,0.4941,3.5622,YES
248,0.1783,1.7027,YES
249,0.193,2.8263,NO
250,0.2673,3.1325,YES
251,0.1726,2.2594,NO
252,0.1439,2.7313,NO
253,0.0769,0.8329,NO
254,0.1953,2.6986,NO
255,0.2342,3.1910000000000003,NO
256,0.2047,2.2765,NO
257,0.1823,3.3919,NO
258,0.1684,2.641,NO
259,0.1204,1.129,NO
260,0.1751,3.1059,NO
261,0.3579,3.2348,YES
262,0.1828,2.3022,NO
263,0.2083,1.8755,YES
264,0.2252,2.4695,NO
265,0.2041,3.0197,NO
266,0.2007,1.119,NO
267,0.0498,1.5338,NO
268,0.1415,2.8812,NO
269,0.0515,1.6925,NO
270,0.1207,2.5894,NO
271,0.1912,1.4619,NO
272,0.14,2.553,NO
273,0.4038,2.7799,YES
274,0.3494,3.9443,YES
275,0.2799,3.4871,YES
276,0.2675,1.8695,YES
277,0.2206,2.9345,NO
278,0.2003,3.074,YES
279,0.1168,2.3909,NO
280,0.0727,2.2434,NO
281,0.0714,0.7117,NO
282,0.10800000000000001,2.1046,NO
283,0.2886,2.8833,NO
284,0.1427,2.0304,NO
285,0.0855,2.6326,NO
286,0.0605,2.2275,NO
287,0.0532,0.8775,NO
288,0.1421,2.3636,NO
289,0.4397,3.0372,YES
290,0.0607,1.7156,NO
291,0.2347,1.6901,YES
292,0.2118,2.0271,NO
293,0.2048,2.5708,NO
294,0.2045,0.9427,NO
295,0.0849,1.3555,NO
296,0.1035,2.5163,NO
297,0.0824,1.4080000000000001,NO
298,0.0975,2.1648,NO
299,0.1702,1.1712,NO
300,0.1518,2.2689,NO
301,0.3372,2.5403,YES
302,0.3303,3.6046,YES
303,0.314,2.9822,YES
304,0.1257,1.5982,YES
305,0.1375,2.2755,NO
306,0.1128,2.5197,YES
307,0.099,1.8531,NO
308,0.1069,2.7336,NO
309,0.0451,0.8929,NO
310,0.5095,3.4772,YES
311,0.1431,2.8004,YES
312,0.1227,2.1657,YES
313,0.2847,4.2305,YES
314,0.2237,2.7577,NO
315,0.1065,1.1093,NO
316,0.3266,4.13,YES
317,0.0974,2.0054,NO
318,0.3289,3.1773,YES
319,0.1059,1.3118,NO
320,0.2131,2.7729,NO
321,0.1496,3.0831,NO
322,0.1474,1.1786,NO
323,0.0902,1.5157,NO
324,0.0993,2.9046,YES
325,0.0875,1.6287,NO
326,0.2369,3.2110000000000003,YES
327,0.2129,1.5427,NO
328,0.1321,2.7084,YES
329,0.1271,1.9809999999999999,NO
330,0.08,2.8773,NO
331,0.3025,3.4513,NO
332,0.12,1.6299,NO
333,0.3399,3.6432,YES
334,0.2516,3.4221,NO
335,0.2081,3.0361,YES
336,0.1799,2.7126,NO
337,0.1547,0.9646,NO
338,0.3595,3.7865,YES
339,0.2156,2.9713,NO
340,0.1535,2.3579,NO
341,0.4159,4.8027,YES
342,0.1827,2.8953,NO
343,0.1097,0.9701,NO
344,0.5448,4.9136,YES
345,0.191,2.089,NO
346,0.4381,3.6696,YES
347,0.1528,1.3763,NO
348,0.3264,3.1689,NO
349,0.3203,3.4059,NO
350,0.2648,1.3714,NO
351,0.171,1.4703,NO
352,0.21899999999999997,3.2243,NO
353,0.1398,1.4364,NO
354,0.3673,3.6749,NO
355,0.1451,1.3329,NO
356,0.2637,3.0687,NO
357,0.1991,2.1075,NO
358,0.1784,3.0436,NO
359,0.3767,3.8346,NO
360,0.1917,1.7785,NO
361,0.3794,4.0528,YES
362,0.3359,3.8278,NO
363,0.2874,3.5418,YES
364,0.0798,3.5459,NO
365,0.0364,1.1444,NO
366,0.2475,4.1158,YES
367,0.2794,4.2697,YES
368,0.2232,3.2836,YES
369,0.2213,5.1479,YES
370,0.1233,3.56,NO
371,0.0474,1.3619999999999999,NO
372,0.2799,4.9877,YES
373,0.2328,3.3729,NO
374,0.2608,3.7263,YES
375,0.1095,2.0428,NO
376,0.2365,3.5273,NO
377,0.2061,4.1222,NO
378,0.2048,1.5546,NO
379,0.0456,1.9581,NO
380,0.1795,4.1451,YES
381,0.0442,2.0712,NO
382,0.27,4.325,YES
383,0.1224,1.8273,NO
384,0.1913,3.9024,YES
385,0.2397,3.0702,NO
386,0.2111,4.4806,NO
387,0.2935,4.6052,NO
388,0.1155,2.2682,NO
389,0.243,4.412,YES
390,0.1959,4.343,NO
391,0.198,3.7132,YES
392,0.1636,2.171,NO
393,0.1646,0.8055,NO
394,0.3881,3.38,YES
395,0.1762,2.4057,NO
396,0.1649,1.9564,NO
397,0.4197,4.238,YES
398,0.1681,2.3925,NO
399,0.153,0.7564,NO
400,0.4738,4.2969,YES
401,0.159,1.7707,NO
402,0.493,3.3629,YES
403,0.1456,1.1362,NO
404,0.2244,2.5708,NO
405,0.1542,2.7165,NO
406,0.1277,0.9815,NO
407,0.1775,1.1864,NO
408,0.2106,2.6803,NO
409,0.1654,1.1157,NO
410,0.3557,3.2249,NO
411,0.0902,1.01,NO
412,0.2663,2.5859,NO
413,0.2218,1.9036,NO
