,DIRECT_NA_NA_VSM,NONETRACED_SUM_RAW_VSM,Associated
0,0.0737,0.5387,NO
1,0.0652,0.1933,NO
2,0.1144,0.5079,NO
3,0.2164,0.5994,NO
4,0.0671,0.4388,NO
5,0.0906,0.6185,NO
6,0.0589,0.5216,NO
7,0.0679,0.2447,NO
8,0.1689,0.5881,NO
9,0.2469,0.5456,YES
10,0.0616,0.4213,NO
11,0.33799999999999997,0.3624,YES
12,0.2427,0.498,NO
13,0.2231,0.6005,NO
14,0.2223,0.2647,NO
15,0.1142,0.3371,NO
16,0.0706,0.5554,NO
17,0.1109,0.3607,NO
18,0.0747,0.4991,NO
19,0.2179,0.3243,NO
20,0.1147,0.506,NO
21,0.0779,0.4525,YES
22,0.0804,0.6645,YES
23,0.1668,0.5877,YES
24,0.24,0.3581,YES
25,0.1573,0.5444,NO
26,0.0716,0.5446,YES
27,0.1205,0.457,NO
28,0.1072,0.5249,YES
29,0.2444,0.2111,YES
30,0.3362,0.5195,NO
31,0.1579,0.5166,NO
32,0.1148,0.3799,NO
33,0.1112,0.6008,NO
34,0.3947,0.5383,YES
35,0.0957,0.2495,YES
36,0.1364,0.5737,NO
37,0.1056,0.3916,NO
38,0.0981,0.4168,NO
39,0.1058,0.2672,NO
40,0.1797,0.4717,NO
41,0.1526,0.556,NO
42,0.1551,0.2477,NO
43,0.2811,0.3722,YES
44,0.0766,0.4898,NO
45,0.1126,0.3668,YES
46,0.0341,0.4587,NO
47,0.3399,0.3687,YES
48,0.0412,0.4366,NO
49,0.1212,0.3478,NO
50,0.0769,0.5186,NO
51,0.1235,0.5014,NO
52,0.0802,0.2832,NO
53,0.1903,0.5371,NO
54,0.1119,0.5006,NO
55,0.1008,0.4441,NO
56,0.0886,0.6653,NO
57,0.1534,0.2588,NO
58,0.1331,0.6987,NO
59,0.2865,0.8396,NO
60,0.1512,0.6153,NO
61,0.1666,0.8663,NO
62,0.1465,0.69,NO
63,0.0509,0.2776,NO
64,0.2187,0.7929,NO
65,0.4574,0.8781,YES
66,0.1603,0.6083,NO
67,0.2015,0.5107,YES
68,0.205,0.6218,NO
69,0.2168,0.7684,NO
70,0.2136,0.2913,NO
71,0.1919,0.439,NO
72,0.1533,0.7646,NO
73,0.1268,0.4277,NO
74,0.1947,0.7096,NO
75,0.1755,0.359,NO
76,0.2202,0.7013,NO
77,0.4465,0.7663,YES
78,0.4252,1.0511,YES
79,0.3653,0.9372,YES
80,0.1771,0.5057,YES
81,0.1659,0.7477,NO
82,0.1927,0.8146,YES
83,0.1251,0.62,NO
84,0.1303,0.55,YES
85,0.1814,0.2086,YES
86,0.3356,0.5372,NO
87,0.1662,0.5456,NO
88,0.1507,0.4025,NO
89,0.1441,0.6382,NO
90,0.3435,0.5441,YES
91,0.1243,0.2633,YES
92,0.1731,0.6226,NO
93,0.0952,0.4244,NO
94,0.1364,0.4437,NO
95,0.0887,0.2893,NO
96,0.2289,0.5129,NO
97,0.2088,0.5905,NO
98,0.2075,0.2772,NO
99,0.1923,0.3533,YES
100,0.0927,0.5163,NO
101,0.0821,0.3703,YES
102,0.0311,0.4771,NO
103,0.3081,0.3694,YES
104,0.0406,0.4539,NO
105,0.1251,0.3724,NO
106,0.091,0.5573,NO
107,0.11800000000000001,0.5319,NO
108,0.1053,0.3058,NO
109,0.2201,0.5671,NO
