,DIRECT_NA_NA_VSM,UPPERTRACED_RFNONE_RAW_VSM,Associated
0,0.0737,0.35,NO
1,0.0652,0.07,NO
2,0.1144,0.2,NO
3,0.2164,0.36,NO
4,0.0671,0.55,NO
5,0.0906,0.27,NO
6,0.0589,0.35,NO
7,0.0679,0.53,NO
8,0.1689,0.39,NO
9,0.2469,0.26,YES
10,0.0616,0.08,NO
11,0.33799999999999997,0.2,YES
12,0.2427,0.46,NO
13,0.2231,0.37,NO
14,0.2223,0.45,NO
15,0.1142,0.22,NO
16,0.0706,0.31,NO
17,0.1109,0.3,NO
18,0.0747,0.26,NO
19,0.2179,0.14,NO
20,0.1147,0.47,NO
21,0.0779,0.36,YES
22,0.0804,0.26,YES
23,0.1668,0.32,YES
24,0.24,0.41,YES
25,0.1573,0.45,NO
26,0.0716,0.35,YES
27,0.1205,0.38,NO
28,0.1072,0.16,YES
29,0.2444,0.12,YES
30,0.3362,0.51,NO
31,0.1579,0.47,NO
32,0.1148,0.48,NO
33,0.1112,0.29,NO
34,0.3947,0.36,YES
35,0.0957,0.54,YES
36,0.1364,0.48,NO
37,0.1056,0.59,NO
38,0.0981,0.01,NO
39,0.1058,0.47,NO
40,0.1797,0.25,NO
41,0.1526,0.27,NO
42,0.1551,0.02,NO
43,0.2811,0.3,YES
44,0.0766,0.54,NO
45,0.1126,0.16,YES
46,0.0341,0.11,NO
47,0.3399,0.46,YES
48,0.0412,0.52,NO
49,0.1212,0.11,NO
50,0.0769,0.4,NO
51,0.1235,0.48,NO
52,0.0802,0.09,NO
53,0.1903,0.46,NO
54,0.1119,0.24,NO
55,0.1008,0.49,NO
56,0.0886,0.35,NO
57,0.1534,0.07,NO
58,0.1331,0.2,NO
59,0.2865,0.36,NO
60,0.1512,0.55,NO
61,0.1666,0.27,NO
62,0.1465,0.35,NO
63,0.0509,0.53,NO
64,0.2187,0.39,NO
65,0.4574,0.26,YES
66,0.1603,0.08,NO
67,0.2015,0.2,YES
68,0.205,0.46,NO
69,0.2168,0.37,NO
70,0.2136,0.45,NO
71,0.1919,0.22,NO
72,0.1533,0.31,NO
73,0.1268,0.3,NO
74,0.1947,0.26,NO
75,0.1755,0.14,NO
76,0.2202,0.47,NO
77,0.4465,0.36,YES
78,0.4252,0.26,YES
79,0.3653,0.32,YES
80,0.1771,0.41,YES
81,0.1659,0.45,NO
82,0.1927,0.35,YES
83,0.1251,0.38,NO
84,0.1303,0.16,YES
85,0.1814,0.12,YES
86,0.3356,0.51,NO
87,0.1662,0.47,NO
88,0.1507,0.48,NO
89,0.1441,0.29,NO
90,0.3435,0.36,YES
91,0.1243,0.54,YES
92,0.1731,0.48,NO
93,0.0952,0.59,NO
94,0.1364,0.01,NO
95,0.0887,0.47,NO
96,0.2289,0.25,NO
97,0.2088,0.27,NO
98,0.2075,0.02,NO
99,0.1923,0.3,YES
100,0.0927,0.54,NO
101,0.0821,0.16,YES
102,0.0311,0.11,NO
103,0.3081,0.46,YES
104,0.0406,0.52,NO
105,0.1251,0.11,NO
106,0.091,0.4,NO
107,0.11800000000000001,0.48,NO
108,0.1053,0.09,NO
109,0.2201,0.46,NO
110,0.1351,0.24,NO
111,0.1328,0.49,NO
112,0.0724,0.55,NO
113,0.0244,0.14,NO
114,0.1404,0.22,YES
115,0.3348,0.33,YES
116,0.2937,0.82,YES
117,0.14300000000000002,0.4,YES
118,0.0826,0.36,NO
119,0.013000000000000001,0.06,NO
120,0.2103,0.3,YES
121,0.1395,0.27,NO
122,0.1325,0.09,YES
123,0.1443,0.25,NO
124,0.2165,0.47,NO
125,0.1934,0.36,NO
126,0.1934,0.42,NO
127,0.0572,0.52,NO
128,0.2318,0.91,YES
129,0.0556,0.56,NO
130,0.3609,0.43,YES
131,0.1417,0.49,NO
132,0.255,0.42,YES
133,0.0522,0.36,NO
134,0.0677,0.41,NO
135,0.1439,0.43,NO
136,0.0494,0.21,NO
137,0.1715,0.29,YES
138,0.0964,0.31,NO
139,0.1343,0.21,YES
140,0.1544,0.35,NO
141,0.0732,0.07,NO
142,0.1975,0.2,NO
143,0.2582,0.36,NO
144,0.1977,0.55,NO
145,0.1701,0.27,NO
146,0.1684,0.35,NO
147,0.1225,0.53,NO
148,0.1458,0.39,NO
149,0.4028,0.26,YES
150,0.1577,0.08,NO
151,0.2904,0.2,YES
152,0.1987,0.46,NO
153,0.1756,0.37,NO
154,0.1689,0.45,NO
155,0.054000000000000006,0.22,NO
156,0.1469,0.31,NO
157,0.0547,0.3,NO
158,0.1082,0.26,NO
159,0.2019,0.14,NO
160,0.1293,0.47,NO
161,0.3897,0.36,YES
162,0.3612,0.26,YES
163,0.2791,0.32,YES
164,0.2894,0.41,YES
165,0.2226,0.45,NO
166,0.1753,0.35,YES
167,0.0979,0.38,NO
168,0.0985,0.55,NO
169,0.0774,0.14,NO
170,0.1069,0.22,YES
171,0.3647,0.33,YES
172,0.2531,0.82,YES
173,0.1331,0.4,YES
174,0.0885,0.36,NO
175,0.0604,0.06,NO
176,0.2068,0.3,YES
177,0.2598,0.27,NO
178,0.106,0.09,YES
179,0.1459,0.25,NO
180,0.2252,0.47,NO
181,0.2571,0.36,NO
182,0.2375,0.42,NO
183,0.1453,0.52,NO
184,0.2245,0.91,YES
185,0.141,0.56,NO
186,0.2623,0.43,YES
187,0.142,0.49,NO
