LOWERTRACED_MAX_SINGLE_VSM_RFNONE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.31,NO
0.93,YES
0.0,NO
0.97,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.93,YES
0.12,NO
0.99,YES
0.0,NO
1.0,YES
0.93,YES
0.04,NO
0.12,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.32,NO
0.1,NO
0.1,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.97,YES
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.24,NO
0.0,NO
0.0,NO
0.0,NO
0.07,NO
0.02,NO
0.03,NO
0.1,NO
0.29,NO
0.09,NO
0.0,NO
0.04,NO
0.92,YES
0.22,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.11,NO
0.0,NO
0.04,NO
0.32,NO
0.03,NO
0.91,YES
0.89,YES
1.0,YES
0.99,YES
0.25,NO
1.0,YES
0.02,NO
1.0,YES
0.99,YES
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.98,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.09,NO
0.11,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.98,YES
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.04,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,YES
0.97,YES
1.0,YES
0.0,YES
0.0,NO
0.0,NO
0.05,YES
0.01,NO
0.02,YES
0.53,NO
0.13,NO
0.22,NO
0.22,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.01,NO
1.0,YES
0.0,NO
0.01,NO
0.31,NO
0.02,NO
0.05,YES
0.0,NO
0.02,YES
0.42,NO
0.0,NO
0.44,NO
0.43,NO
0.44,NO
0.7,NO
0.6,NO
0.02,NO
0.32,NO
0.89,YES
0.39,NO
1.0,YES
0.34,NO
0.64,NO
0.61,NO
0.01,NO
0.14,NO
0.0,NO
0.0,NO
0.14,NO
0.01,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.13,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.67,YES
1.0,YES
1.0,YES
0.66,YES
0.0,NO
0.0,NO
0.65,YES
0.0,NO
0.67,YES
0.0,NO
0.05,NO
0.05,NO
0.05,NO
0.07,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.11,NO
0.12,NO
0.12,NO
0.0,NO
0.65,YES
0.0,NO
0.66,YES
0.0,NO
0.0,NO
0.03,NO
0.2,NO
0.06,NO
0.04,NO
0.17,NO
0.01,NO
0.03,NO
1.0,YES
0.02,NO
0.93,YES
0.02,NO
0.03,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.97,YES
0.02,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.11,NO
0.58,NO
0.08,NO
0.04,NO
0.01,NO
0.0,NO
0.98,YES
0.0,NO
1.0,YES
0.0,NO
