LOWERTRACED_RFNONE_SINGLE_VSM_RFUNDER,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.42,NO
0.05,YES
0.0,NO
0.07,YES
0.0,NO
0.01,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.07,YES
0.07,YES
0.06,YES
0.05,YES
0.14,NO
0.07,YES
0.0,NO
0.17,YES
0.01,YES
0.11,NO
0.14,NO
0.0,NO
0.0,NO
0.02,YES
0.02,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.35,NO
0.07,NO
0.14,NO
0.02,YES
0.0,NO
0.13,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.31,NO
0.0,NO
0.0,NO
0.0,NO
0.07,NO
0.0,NO
0.0,NO
0.07,NO
0.22,NO
0.07,NO
0.0,NO
0.0,NO
0.45,YES
0.18,NO
0.98,YES
0.03,NO
0.0,NO
0.0,NO
0.1,NO
0.07,NO
0.0,NO
0.04,NO
0.35,NO
0.0,NO
0.44,YES
0.61,YES
0.91,YES
0.99,YES
0.2,NO
0.99,YES
0.0,NO
0.99,YES
0.98,YES
0.11,NO
0.22,NO
0.07,NO
0.48,NO
0.77,YES
0.99,YES
0.34,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.99,YES
0.0,NO
0.98,YES
0.0,NO
0.82,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.02,YES
0.02,YES
0.0,YES
0.0,NO
0.0,NO
0.13,YES
0.0,NO
0.0,YES
0.49,NO
0.13,NO
0.23,NO
0.23,NO
0.0,NO
0.01,YES
0.0,NO
0.02,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.16,NO
0.0,NO
0.66,YES
0.0,NO
0.0,YES
0.35,NO
0.0,NO
0.46,NO
0.42,NO
0.46,NO
0.72,NO
0.63,NO
0.0,NO
0.41,NO
0.62,YES
0.49,NO
0.99,YES
0.46,NO
0.78,NO
0.79,NO
0.0,NO
0.41,NO
0.0,NO
0.0,NO
0.46,NO
0.0,NO
0.88,YES
0.89,YES
0.99,YES
0.99,YES
0.4,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.17,YES
0.1,YES
0.09,YES
0.02,YES
0.0,NO
0.0,NO
0.08,YES
0.17,NO
0.17,YES
0.17,NO
0.17,NO
0.17,NO
0.17,NO
0.17,NO
0.09,YES
0.0,NO
0.1,YES
0.0,NO
0.09,YES
0.19,NO
0.17,NO
0.19,NO
0.0,NO
0.0,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.07,NO
0.26,NO
0.14,NO
0.11,NO
0.17,NO
0.03,NO
0.07,NO
0.98,YES
0.06,NO
0.92,YES
0.01,NO
0.05,NO
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.99,YES
0.99,YES
0.99,YES
0.74,YES
0.01,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.08,NO
0.2,NO
0.64,NO
0.19,NO
0.64,NO
0.1,NO
0.01,NO
0.08,YES
0.0,NO
0.06,YES
0.0,NO
