0,1,2,3,4,5,6,7,8,9,Associated
0.0655,0.0519,0.0247,0.0188,0.0155,0.0138,0.0,0.0,0.0,0.0,NO
0.1548,0.1171,0.0785,0.0434,0.0092,0.0051,0.0,0.0,0.0,0.0,NO
0.1377,0.1153,0.1142,0.102,0.0939,0.0334,0.0189,0.0,0.0,0.0,NO
0.2061,0.0366,0.0268,0.0195,0.0143,0.0127,0.0121,0.0,0.0,0.0,NO
0.0192,0.0131,0.0121,0.0117,0.0084,0.0,0.0,0.0,0.0,0.0,NO
0.1331,0.1249,0.102,0.0452,0.0375,0.0295,0.0,0.0,0.0,0.0,NO
0.0291,0.0215,0.0212,0.0211,0.0188,0.0169,0.013,0.0,0.0,0.0,NO
0.0623,0.0544,0.049,0.04,0.0141,0.0074,0.0,0.0,0.0,0.0,NO
0.1153,0.1078,0.0578,0.0384,0.0257,0.0097,0.0,0.0,0.0,0.0,NO
1.0,0.4371,0.3805,0.1464,0.026,0.0119,0.0114,0.0077,0.0075,0.0,YES
0.1153,0.0307,0.0292,0.0245,0.024,0.0187,0.008,0.0,0.0,0.0,NO
1.0,0.1738,0.17,0.0165,0.0077,0.0058,0.0,0.0,0.0,0.0,YES
0.1123,0.0957,0.0693,0.0257,0.0242,0.0232,0.0221,0.0,0.0,0.0,NO
0.1937,0.1766,0.1693,0.0244,0.0188,0.0,0.0,0.0,0.0,0.0,NO
0.0598,0.0564,0.0066,0.0019,0.0018,0.0017,0.0,0.0,0.0,0.0,NO
0.159,0.1548,0.1171,0.0128,0.0108,0.0096,0.0085,0.0063,0.0,0.0,NO
0.0358,0.0222,0.0209,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1548,0.1544,0.0959,0.0472,0.0161,0.0124,0.0093,0.0084,0.0082,0.0081,NO
0.1059,0.0351,0.027,0.0251,0.0223,0.0157,0.0,0.0,0.0,0.0,NO
0.1548,0.0858,0.0313,0.0229,0.0113,0.0071,0.0069,0.0068,0.0022,0.0,NO
0.0271,0.0243,0.0163,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.3196,0.2144,0.0349,0.0171,0.0095,0.0094,0.0057,0.0,0.0,YES
1.0,1.0,0.4613,0.0443,0.0184,0.0164,0.0136,0.0134,0.0,0.0,YES
1.0,0.3527,0.3023,0.0559,0.03,0.0267,0.025,0.0202,0.0,0.0,YES
1.0,1.0,0.1464,0.1386,0.021,0.0121,0.009,0.0075,0.0,0.0,YES
0.1239,0.1171,0.1153,0.1078,0.102,0.0939,0.034,0.033,0.0154,0.0,NO
1.0,1.0,0.1719,0.1464,0.0318,0.0302,0.0198,0.0107,0.0,0.0,YES
0.1153,0.1083,0.1078,0.102,0.0432,0.0201,0.0091,0.0085,0.0,0.0,NO
0.4428,0.4232,0.1289,0.0248,0.0208,0.0206,0.013,0.0,0.0,0.0,YES
1.0,1.0,0.1949,0.0113,0.0104,0.0076,0.0069,0.005,0.0,0.0,YES
