0,1,2,3,4,5,6,7,8,9,Associated
0.1553,0.1548,0.0589,0.0519,0.0228,0.0162,0.0,0.0,0.0,0.0,NO
0.1548,0.0785,0.018,0.0092,0.0083,0.0071,0.0065,0.0065,0.0048,0.0,NO
0.1377,0.102,0.0347,0.0274,0.022,0.0219,0.0216,0.0166,0.0154,0.0,NO
0.2061,0.1453,0.0393,0.0195,0.0178,0.0158,0.0121,0.0093,0.0,0.0,NO
0.1663,0.1453,0.0949,0.0202,0.0131,0.0117,0.0095,0.0091,0.0,0.0,NO
0.1986,0.1153,0.0328,0.0299,0.0245,0.0,0.0,0.0,0.0,0.0,NO
0.1548,0.0568,0.0303,0.0188,0.0169,0.0,0.0,0.0,0.0,0.0,NO
0.1548,0.1171,0.061,0.0104,0.0098,0.0095,0.0082,0.0074,0.0056,0.0043,NO
0.1153,0.0574,0.0384,0.0372,0.0302,0.0175,0.0079,0.0,0.0,0.0,NO
0.3805,0.1916,0.1464,0.1325,0.0232,0.0188,0.0136,0.0122,0.0119,0.0098,YES
0.102,0.0829,0.0344,0.0327,0.0096,0.0078,0.0,0.0,0.0,0.0,NO
0.1916,0.1738,0.1464,0.1143,0.0102,0.0077,0.0,0.0,0.0,0.0,YES
0.2038,0.0957,0.0242,0.0182,0.0155,0.0137,0.0108,0.0,0.0,0.0,NO
0.1693,0.0703,0.0325,0.0291,0.0268,0.0232,0.0217,0.0188,0.0163,0.0128,NO
0.0592,0.0245,0.0111,0.0106,0.009,0.0067,0.0018,0.0017,0.0,0.0,NO
0.159,0.0215,0.0144,0.0108,0.0085,0.0063,0.0053,0.0,0.0,0.0,NO
0.1663,0.0949,0.0399,0.0279,0.0221,0.0162,0.0151,0.0133,0.0,0.0,NO
0.0647,0.0472,0.0155,0.0153,0.011,0.0093,0.0084,0.0052,0.0,0.0,NO
0.1453,0.0949,0.043,0.0251,0.0065,0.0,0.0,0.0,0.0,0.0,NO
0.0424,0.0313,0.0231,0.0228,0.0132,0.0086,0.0071,0.0069,0.0044,0.0022,NO
0.2083,0.1453,0.0949,0.0608,0.0243,0.0212,0.0203,0.0105,0.0,0.0,NO
0.4096,0.3196,0.1464,0.0737,0.0101,0.0095,0.0067,0.0057,0.0,0.0,YES
1.0,0.1251,0.0884,0.0443,0.0192,0.0164,0.0126,0.0,0.0,0.0,YES
0.3527,0.1464,0.0728,0.0579,0.025,0.0207,0.0202,0.0106,0.0071,0.0,YES
0.1916,0.1423,0.1004,0.0227,0.0144,0.0138,0.0079,0.0076,0.007,0.0,YES
0.1526,0.1153,0.0829,0.048,0.0266,0.0237,0.0193,0.0177,0.0156,0.0154,NO
1.0,0.4096,0.1916,0.1464,0.0246,0.0242,0.0202,0.0198,0.0139,0.0,YES
0.1153,0.0462,0.0342,0.0322,0.0235,0.0231,0.0208,0.0,0.0,0.0,NO
1.0,0.0715,0.0479,0.0248,0.0244,0.021,0.0136,0.0075,0.0,0.0,YES
1.0,0.0724,0.0171,0.0105,0.0091,0.0075,0.0066,0.0066,0.0038,0.0,YES
0.1778,0.1659,0.1398,0.1318,0.025,0.0229,0.0067,0.0,0.0,0.0,NO
0.1344,0.115,0.1088,0.0497,0.0473,0.0334,0.0196,0.0167,0.012,0.0106,NO
0.1659,0.1344,0.0583,0.0352,0.0249,0.0169,0.0151,0.0125,0.0108,0.0,NO
0.1778,0.1659,0.0387,0.0377,0.0279,0.0096,0.0,0.0,0.0,0.0,NO
1.0,0.1308,0.0276,0.026,0.0219,0.0142,0.0,0.0,0.0,0.0,YES
1.0,0.3715,0.1615,0.0118,0.0095,0.0063,0.0048,0.0039,0.0029,0.0,YES
