0,1,2,3,4,5,6,7,8,9,Associated
0.1341,0.1047,0.0533,0.0326,0.0238,0.0,0.0,0.0,0.0,0.0,NO
0.2626,0.0409,0.0118,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.6593,0.1818,0.1059,0.0585,0.0542,0.0337,0.0228,0.0,0.0,0.0,NO
0.3384,0.191,0.1352,0.0126,0.0081,0.0,0.0,0.0,0.0,0.0,NO
0.1965,0.1818,0.1543,0.0116,0.0039,0.0,0.0,0.0,0.0,0.0,NO
0.6773,0.1818,0.1246,0.0992,0.039,0.0332,0.0248,0.0,0.0,0.0,NO
0.2687,0.2626,0.0293,0.0174,0.0134,0.0,0.0,0.0,0.0,0.0,NO
0.1135,0.1058,0.1047,0.0804,0.0243,0.0108,0.0,0.0,0.0,0.0,NO
0.1818,0.0992,0.0768,0.0585,0.0299,0.0194,0.0046,0.0014,0.0,0.0,NO
1.0,1.0,1.0,0.2691,0.0372,0.0067,0.0031,0.0007,0.0,0.0,YES
0.1818,0.1144,0.0936,0.0884,0.0557,0.0488,0.0272,0.015,0.0093,0.0,NO
1.0,1.0,0.2705,0.1714,0.0317,0.0162,0.0068,0.0,0.0,0.0,YES
0.1236,0.0367,0.0097,0.0063,0.0012,0.0,0.0,0.0,0.0,0.0,NO
0.1774,0.0602,0.0409,0.0364,0.0323,0.0143,0.0074,0.0,0.0,0.0,NO
0.1733,0.0501,0.0448,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2626,0.1047,0.0158,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.5133,0.2942,0.191,0.1818,0.0197,0.008,0.0,0.0,0.0,0.0,NO
0.1308,0.1047,0.092,0.0666,0.0137,0.0077,0.0,0.0,0.0,0.0,NO
0.4343,0.191,0.1337,0.1246,0.0703,0.0533,0.0315,0.0106,0.0,0.0,NO
0.2251,0.1827,0.1047,0.0907,0.0277,0.0131,0.0109,0.0,0.0,0.0,NO
0.3295,0.191,0.1818,0.1502,0.0386,0.016,0.0139,0.012,0.0,0.0,NO
1.0,1.0,0.5857,0.2599,0.0677,0.0226,0.0053,0.0,0.0,0.0,YES
1.0,1.0,1.0,0.285,0.0263,0.0235,0.0125,0.0,0.0,0.0,YES
1.0,1.0,0.7522,0.2897,0.0363,0.0,0.0,0.0,0.0,0.0,YES
1.0,1.0,1.0,0.3186,0.0203,0.0106,0.0085,0.0076,0.0,0.0,YES
0.5187,0.1285,0.0992,0.0925,0.074,0.0385,0.0337,0.0292,0.0157,0.0,NO
1.0,1.0,0.3196,0.2113,0.084,0.0,0.0,0.0,0.0,0.0,YES
0.3939,0.1065,0.0708,0.0585,0.0205,0.0172,0.0,0.0,0.0,0.0,NO
1.0,0.3502,0.0907,0.0411,0.0164,0.0032,0.0,0.0,0.0,0.0,YES
1.0,0.1672,0.0818,0.0451,0.0324,0.0,0.0,0.0,0.0,0.0,YES
0.3639,0.1526,0.1426,0.1246,0.0127,0.0048,0.0,0.0,0.0,0.0,NO
0.2707,0.1702,0.1289,0.1038,0.0443,0.012,0.0,0.0,0.0,0.0,NO
0.3639,0.1702,0.0602,0.0166,0.015,0.0,0.0,0.0,0.0,0.0,NO
0.3639,0.1656,0.1567,0.1426,0.0148,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.1895,0.0979,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,YES
1.0,0.3502,0.0552,0.0486,0.041,0.0324,0.0263,0.0173,0.0001,0.0,YES
0.3639,0.1175,0.0236,0.0199,0.0175,0.0134,0.0046,0.0,0.0,0.0,NO
0.3066,0.2314,0.0744,0.0255,0.0105,0.0099,0.0056,0.0006,0.0,0.0,NO
0.3639,0.1426,0.0311,0.0198,0.015,0.0136,0.0,0.0,0.0,0.0,NO
0.3066,0.0936,0.0626,0.0226,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3658,0.0735,0.037,0.004,0.0017,0.0,0.0,0.0,0.0,0.0,NO
0.397,0.1558,0.0647,0.0158,0.0058,0.0,0.0,0.0,0.0,0.0,NO
0.397,0.1004,0.0531,0.021,0.0009,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.3502,0.2641,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.3639,0.1702,0.1188,0.0902,0.0309,0.0304,0.0,0.0,0.0,0.0,NO
1.0,0.3502,0.2536,0.0401,0.0381,0.0033,0.0,0.0,0.0,0.0,YES
0.2676,0.1126,0.1005,0.0403,0.0309,0.0215,0.0,0.0,0.0,0.0,NO
1.0,0.8571,0.3502,0.1815,0.1509,0.0172,0.0,0.0,0.0,0.0,YES
0.3639,0.1702,0.0763,0.053,0.0451,0.0226,0.0,0.0,0.0,0.0,NO
0.3066,0.1355,0.1355,0.0639,0.0176,0.0061,0.0,0.0,0.0,0.0,NO
0.3066,0.2314,0.1087,0.1001,0.0419,0.0195,0.0,0.0,0.0,0.0,NO
0.3066,0.2314,0.1163,0.0838,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3066,0.2314,0.1249,0.0773,0.0533,0.0255,0.0135,0.0076,0.0,0.0,NO
0.2572,0.1278,0.12,0.0908,0.0524,0.0284,0.0,0.0,0.0,0.0,NO
0.3066,0.2314,0.1681,0.0827,0.0199,0.0,0.0,0.0,0.0,0.0,NO
0.2555,0.2132,0.1426,0.0912,0.0654,0.0119,0.0,0.0,0.0,0.0,NO
0.1606,0.0986,0.0325,0.0309,0.0177,0.0167,0.0,0.0,0.0,0.0,NO
0.0487,0.0425,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3233,0.1539,0.1395,0.1363,0.1135,0.1059,0.0675,0.0227,0.0,0.0,NO
0.3076,0.2487,0.1904,0.0637,0.0264,0.0,0.0,0.0,0.0,0.0,NO
0.3076,0.1538,0.1444,0.0877,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3322,0.2077,0.1539,0.1395,0.1246,0.1005,0.0783,0.0331,0.0,0.0,NO
0.2687,0.0544,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0804,0.0777,0.0556,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2077,0.1395,0.1268,0.0785,0.071,0.0565,0.0413,0.0298,0.0,0.0,NO
1.0,0.8116,0.7349,0.4904,0.006,0.0033,0.0027,0.0,0.0,0.0,YES
0.3451,0.1852,0.1539,0.1395,0.11,0.0936,0.0359,0.015,0.0,0.0,NO
1.0,0.7349,0.517,0.1327,0.0689,0.0338,0.0316,0.019,0.0,0.0,YES
0.1236,0.0348,0.0257,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1774,0.0762,0.06,0.0307,0.0299,0.017,0.0,0.0,0.0,0.0,NO
0.1273,0.0447,0.0047,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0163,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3076,0.2517,0.2162,0.1904,0.1639,0.0,0.0,0.0,0.0,0.0,NO
0.2774,0.0961,0.0311,0.0172,0.0137,0.0,0.0,0.0,0.0,0.0,NO
0.3757,0.2316,0.213,0.1904,0.1639,0.1115,0.0516,0.0,0.0,0.0,NO
0.1827,0.0532,0.0276,0.0222,0.0186,0.0,0.0,0.0,0.0,0.0,NO
0.4531,0.1904,0.185,0.1616,0.1196,0.0808,0.0487,0.0485,0.0,0.0,NO
1.0,0.7839,0.7349,0.2872,0.0322,0.0321,0.0225,0.0,0.0,0.0,YES
1.0,0.8596,0.7349,0.4904,0.0491,0.0344,0.0211,0.0,0.0,0.0,YES
0.8737,0.7522,0.7349,0.4904,0.0904,0.0844,0.0362,0.0,0.0,0.0,YES
1.0,0.9611,0.7349,0.4904,0.0575,0.0428,0.0404,0.0085,0.0,0.0,YES
0.2544,0.2232,0.2077,0.1395,0.1363,0.0979,0.068,0.0291,0.0,0.0,NO
0.7349,0.6372,0.4904,0.3196,0.0892,0.0,0.0,0.0,0.0,0.0,YES
0.1932,0.1539,0.1482,0.1395,0.0829,0.0628,0.0361,0.0,0.0,0.0,NO
0.6166,0.5056,0.0907,0.0636,0.0041,0.0,0.0,0.0,0.0,0.0,YES
1.0,0.0571,0.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.4653,0.3542,0.2767,0.0444,0.0431,0.0,0.0,0.0,0.0,0.0,NO
0.3722,0.0643,0.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3006,0.0927,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3104,0.2843,0.2611,0.0647,0.0507,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.1724,0.1412,0.1388,0.1093,0.0958,0.0,0.0,0.0,0.0,YES
0.6166,0.5056,0.0476,0.041,0.0327,0.0,0.0,0.0,0.0,0.0,YES
0.4653,0.204,0.0583,0.0175,0.0081,0.0,0.0,0.0,0.0,0.0,NO
0.4197,0.4069,0.0255,0.0206,0.0185,0.0069,0.005,0.0,0.0,0.0,NO
0.4436,0.2858,0.0547,0.0381,0.0293,0.01,0.0087,0.0,0.0,0.0,NO
0.4069,0.1135,0.0618,0.0398,0.0131,0.0,0.0,0.0,0.0,0.0,NO
0.0667,0.0503,0.037,0.007,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1558,0.1173,0.1142,0.0777,0.0722,0.0,0.0,0.0,0.0,0.0,NO
0.0874,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.6166,0.1335,0.0308,0.0144,0.0,0.0,0.0,0.0,0.0,YES
0.3722,0.2154,0.1565,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.6166,0.5056,0.2536,0.0808,0.0267,0.007,0.0,0.0,0.0,0.0,YES
0.3722,0.251,0.1823,0.0403,0.0095,0.0,0.0,0.0,0.0,0.0,NO
0.8571,0.6166,0.5056,0.1382,0.0871,0.0744,0.0539,0.0,0.0,0.0,YES
0.3722,0.1383,0.1277,0.1261,0.053,0.0115,0.0,0.0,0.0,0.0,NO
0.4069,0.2458,0.044,0.031,0.0199,0.0,0.0,0.0,0.0,0.0,NO
0.4197,0.4069,0.1001,0.0737,0.0218,0.0,0.0,0.0,0.0,0.0,NO
0.4197,0.3061,0.0708,0.0221,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.4197,0.4069,0.1111,0.0773,0.0449,0.0244,0.0166,0.0068,0.0,0.0,NO
0.3542,0.3061,0.2177,0.0922,0.057,0.0057,0.0,0.0,0.0,0.0,NO
0.4197,0.1301,0.0162,0.01,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.4653,0.2154,0.1653,0.0654,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1709,0.1663,0.0794,0.0568,0.0525,0.0369,0.0353,0.0096,0.0083,0.0,NO
0.2248,0.0973,0.0921,0.0781,0.0707,0.0619,0.0034,0.0,0.0,0.0,NO
1.0,0.4323,0.3208,0.3107,0.3076,0.2565,0.1923,0.1192,0.1143,0.0534,YES
1.0,1.0,1.0,0.7438,0.3024,0.0447,0.0074,0.0,0.0,0.0,YES
1.0,1.0,1.0,0.8078,0.4168,0.0531,0.0408,0.0014,0.0,0.0,YES
1.0,0.4323,0.3718,0.3519,0.3076,0.2565,0.229,0.1737,0.1174,0.0719,YES
0.1238,0.1195,0.0921,0.07,0.0315,0.0103,0.0,0.0,0.0,0.0,NO
0.1663,0.1337,0.0374,0.0369,0.0199,0.0197,0.0038,0.0006,0.0,0.0,NO
