0,1,2,3,4,5,6,7,8,9,Associated
0.2626,0.2201,0.1341,0.0093,0.0037,0.0,0.0,0.0,0.0,0.0,NO
0.3133,0.2626,0.2201,0.0795,0.0409,0.0141,0.0048,0.0,0.0,0.0,NO
0.1818,0.1766,0.0762,0.0644,0.0396,0.0352,0.0337,0.0019,0.0,0.0,NO
0.3384,0.2042,0.1818,0.1316,0.0589,0.0367,0.0238,0.0,0.0,0.0,NO
0.1965,0.1818,0.1316,0.1121,0.0795,0.0559,0.0459,0.0217,0.0197,0.0143,NO
0.1766,0.1415,0.1245,0.0808,0.0762,0.0585,0.0337,0.0175,0.0046,0.0,NO
0.2626,0.1963,0.1542,0.1344,0.0821,0.0417,0.0218,0.0174,0.0134,0.0,NO
0.2201,0.0268,0.0243,0.0224,0.0122,0.0108,0.0081,0.0062,0.0,0.0,NO
0.1766,0.0913,0.0863,0.0768,0.0762,0.0585,0.0337,0.0308,0.0177,0.0159,NO
1.0,0.8445,0.3327,0.1944,0.0069,0.0067,0.0007,0.0,0.0,0.0,YES
0.1818,0.1766,0.1337,0.0557,0.0506,0.0506,0.0488,0.0272,0.0248,0.0209,NO
1.0,1.0,0.3327,0.1944,0.0614,0.0292,0.016,0.013,0.0111,0.0012,YES
0.3701,0.3126,0.0808,0.0411,0.024,0.0179,0.0097,0.0063,0.0,0.0,NO
0.3701,0.3391,0.2085,0.1756,0.0409,0.0324,0.0195,0.0,0.0,0.0,NO
0.3701,0.3391,0.0424,0.0414,0.0304,0.0245,0.016,0.0011,0.0,0.0,NO
0.2626,0.2201,0.1438,0.0352,0.0321,0.0089,0.0085,0.0042,0.0018,0.0,NO
0.5985,0.1389,0.1367,0.1316,0.115,0.0998,0.0367,0.0197,0.008,0.0,NO
0.2886,0.2626,0.2201,0.1308,0.0326,0.0207,0.0163,0.0085,0.0077,0.0056,NO
0.1818,0.0991,0.0768,0.0703,0.0648,0.0371,0.0367,0.0224,0.0106,0.0,NO
0.2626,0.2508,0.2201,0.1332,0.1289,0.019,0.0109,0.0001,0.0,0.0,NO
0.1818,0.0791,0.0641,0.043,0.0367,0.0192,0.0,0.0,0.0,0.0,NO
1.0,1.0,0.3327,0.1944,0.0677,0.0146,0.0075,0.0072,0.0066,0.0,YES
0.8945,0.5954,0.3327,0.1944,0.0929,0.0765,0.0601,0.0263,0.0188,0.0173,YES
1.0,0.3643,0.3327,0.1944,0.0994,0.0957,0.0361,0.0335,0.0234,0.0052,YES
1.0,0.4847,0.1551,0.1067,0.0601,0.046,0.0402,0.0255,0.0244,0.0203,YES
0.1766,0.1285,0.1008,0.0925,0.0585,0.0526,0.0397,0.0244,0.0229,0.0176,NO
0.6631,0.3327,0.1944,0.1777,0.099,0.084,0.0411,0.0333,0.023,0.0229,YES
