0,1,2,3,4,5,6,7,8,9,Associated
0.2947,0.0591,0.0538,0.0503,0.0475,0.0371,0.0,0.0,0.0,0.0,NO
0.0724,0.0713,0.0399,0.0273,0.0111,0.0,0.0,0.0,0.0,0.0,NO
0.1629,0.1169,0.0937,0.0895,0.0884,0.0596,0.0575,0.0565,0.0343,0.0,NO
0.2323,0.1775,0.1578,0.1401,0.1374,0.1321,0.0919,0.0433,0.0,0.0,NO
0.31,0.3069,0.2804,0.2383,0.2323,0.2287,0.1384,0.1374,0.0677,0.0664,NO
0.4162,0.1632,0.1523,0.1506,0.1483,0.1181,0.095,0.0722,0.069,0.058,NO
0.2831,0.0668,0.0469,0.0383,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1104,0.0958,0.0308,0.0285,0.0237,0.0095,0.0,0.0,0.0,0.0,NO
0.3138,0.2323,0.1769,0.1613,0.1516,0.1514,0.1143,0.0641,0.0588,0.0576,NO
1.0,1.0,1.0,0.1126,0.081,0.0703,0.0385,0.0344,0.0215,0.0211,YES
0.2887,0.2323,0.1782,0.1632,0.1038,0.0975,0.0568,0.0373,0.0,0.0,NO
1.0,1.0,1.0,0.2405,0.0403,0.0395,0.0305,0.0249,0.0151,0.0,YES
0.3555,0.1876,0.081,0.0787,0.0704,0.0,0.0,0.0,0.0,0.0,NO
0.3673,0.352,0.2635,0.1001,0.092,0.0818,0.0794,0.0741,0.0673,0.0585,NO
0.3555,0.0793,0.0348,0.0321,0.0025,0.0,0.0,0.0,0.0,0.0,NO
0.3282,0.1944,0.0521,0.0285,0.0168,0.0,0.0,0.0,0.0,0.0,NO
0.36,0.2323,0.1995,0.1513,0.1394,0.0958,0.068,0.0661,0.0,0.0,NO
0.0358,0.028,0.023,0.016,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2804,0.2383,0.1995,0.1402,0.1374,0.1196,0.0925,0.0818,0.0699,0.0486,NO
0.1656,0.1276,0.0805,0.0706,0.0256,0.0254,0.0198,0.0186,0.0149,0.0,NO
0.4378,0.3078,0.2383,0.2323,0.2209,0.1374,0.1045,0.0698,0.0478,0.0466,NO
0.83,0.6851,0.4513,0.2405,0.0365,0.0308,0.0,0.0,0.0,0.0,YES
1.0,1.0,0.6533,0.2405,0.1073,0.1067,0.0401,0.0,0.0,0.0,YES
1.0,0.7587,0.6467,0.2405,0.0923,0.0786,0.073,0.0614,0.061,0.0585,YES
1.0,0.5193,0.2911,0.2405,0.0366,0.0354,0.0,0.0,0.0,0.0,YES
0.314,0.1782,0.1516,0.1352,0.1144,0.1,0.0934,0.0642,0.0535,0.0,NO
1.0,1.0,0.5682,0.1865,0.0991,0.0774,0.0605,0.0,0.0,0.0,YES
0.2323,0.2156,0.1604,0.1082,0.1027,0.0911,0.0438,0.0413,0.0384,0.0328,NO
1.0,0.6914,0.2803,0.1217,0.0864,0.0715,0.0688,0.0675,0.0417,0.0382,YES
1.0,0.6914,0.0572,0.0317,0.0205,0.0186,0.0176,0.0096,0.0052,0.0,YES
0.2287,0.2179,0.1621,0.1364,0.1039,0.0874,0.068,0.0513,0.0395,0.0284,NO
0.1781,0.1613,0.1307,0.1189,0.0771,0.0706,0.0669,0.0641,0.0628,0.0305,NO
0.2165,0.1542,0.1473,0.1147,0.0854,0.0755,0.0641,0.0564,0.0555,0.0417,NO
0.3034,0.2387,0.2287,0.1865,0.1748,0.0863,0.0656,0.0481,0.0322,0.0183,NO
1.0,0.6914,0.1311,0.0855,0.0763,0.0687,0.0411,0.0258,0.0178,0.0,YES
0.7333,0.3062,0.0473,0.0275,0.0267,0.0174,0.0087,0.0049,0.0,0.0,YES
