0,1,2,3,4,5,6,7,8,9,Associated
0.1171,0.0655,0.0374,0.0341,0.0247,0.0217,0.0,0.0,0.0,0.0,NO
0.1687,0.1548,0.1171,0.0785,0.0434,0.0092,0.0076,0.0065,0.0,0.0,NO
0.1377,0.1142,0.0829,0.0338,0.0274,0.0258,0.019,0.0166,0.0112,0.0,NO
0.2653,0.1423,0.1259,0.0949,0.0366,0.0364,0.0268,0.0,0.0,0.0,NO
0.1423,0.1259,0.0468,0.0194,0.0192,0.0131,0.0098,0.0091,0.0,0.0,NO
0.0452,0.0434,0.0425,0.0425,0.0245,0.0225,0.0139,0.0,0.0,0.0,NO
0.1579,0.1488,0.0594,0.0291,0.0215,0.0212,0.0188,0.013,0.0122,0.0,NO
0.1687,0.0544,0.049,0.04,0.0255,0.0141,0.0101,0.0098,0.0095,0.0,NO
0.1423,0.0483,0.0302,0.021,0.0117,0.0079,0.0,0.0,0.0,0.0,NO
1.0,0.4371,0.4096,0.1464,0.026,0.0232,0.023,0.021,0.0139,0.0076,YES
0.1412,0.1153,0.07,0.0344,0.0304,0.0292,0.026,0.0238,0.008,0.0078,NO
1.0,0.17,0.1464,0.1143,0.0203,0.0182,0.0129,0.0103,0.0102,0.01,YES
0.2038,0.1248,0.0957,0.0693,0.046,0.0242,0.0221,0.0168,0.0108,0.0,NO
0.0703,0.0683,0.0278,0.0268,0.0242,0.0232,0.0205,0.0179,0.0163,0.0128,NO
0.0592,0.0564,0.047,0.0229,0.0067,0.0053,0.0018,0.0017,0.0,0.0,NO
0.1687,0.159,0.1548,0.0157,0.0144,0.0096,0.0085,0.0053,0.0,0.0,NO
0.206,0.1259,0.0358,0.0333,0.0314,0.0279,0.0222,0.0174,0.0151,0.0127,NO
0.1548,0.1544,0.0472,0.0239,0.0153,0.0052,0.0,0.0,0.0,0.0,NO
0.1701,0.1259,0.1059,0.0403,0.0351,0.027,0.0251,0.0245,0.0093,0.0,NO
0.1687,0.1171,0.0687,0.0424,0.0351,0.0231,0.0228,0.0093,0.0071,0.0069,NO
0.1498,0.1259,0.0492,0.0307,0.0271,0.0243,0.0134,0.0087,0.0,0.0,NO
1.0,0.4096,0.3848,0.1464,0.0171,0.0153,0.0146,0.0101,0.0,0.0,YES
1.0,0.4613,0.4096,0.0443,0.0351,0.0317,0.0317,0.0312,0.0192,0.0164,YES
1.0,1.0,0.4096,0.1464,0.0327,0.03,0.0282,0.0211,0.0202,0.0,YES
1.0,0.4096,0.1464,0.1423,0.0159,0.0144,0.0104,0.0103,0.009,0.0075,YES
0.1526,0.1423,0.1239,0.0369,0.033,0.0212,0.0174,0.0,0.0,0.0,NO
1.0,0.4096,0.1719,0.0527,0.0318,0.0301,0.0202,0.0156,0.0138,0.0,YES
0.0829,0.0342,0.0296,0.0278,0.0121,0.0091,0.0,0.0,0.0,0.0,NO
0.1615,0.0758,0.0479,0.0341,0.0248,0.021,0.0208,0.0101,0.0,0.0,YES
0.3715,0.1792,0.1615,0.0092,0.0075,0.0069,0.0066,0.0038,0.0,0.0,YES
0.0944,0.0569,0.0448,0.0395,0.0229,0.021,0.0158,0.0116,0.0096,0.0096,NO
0.1659,0.1088,0.1033,0.0583,0.0466,0.0334,0.0,0.0,0.0,0.0,NO
0.1659,0.1344,0.1088,0.0225,0.0125,0.0118,0.0113,0.0,0.0,0.0,NO
0.1778,0.1194,0.0495,0.0388,0.0279,0.0192,0.0138,0.0,0.0,0.0,NO
0.1308,0.026,0.0245,0.0139,0.0089,0.008,0.0072,0.0,0.0,0.0,YES
0.3715,0.0567,0.0551,0.0128,0.0118,0.0083,0.003,0.0,0.0,0.0,YES
0.1659,0.1194,0.0408,0.0344,0.0257,0.0161,0.0129,0.0109,0.0,0.0,NO
0.0483,0.0306,0.0245,0.0237,0.0199,0.0174,0.0137,0.0127,0.0082,0.0076,NO
0.1778,0.1194,0.0354,0.0296,0.0266,0.0111,0.009,0.0089,0.0069,0.0068,NO
0.0483,0.0226,0.0185,0.012,0.0116,0.0111,0.0072,0.0053,0.0,0.0,NO
0.0632,0.037,0.0257,0.021,0.0149,0.0046,0.0,0.0,0.0,0.0,NO
0.0622,0.0613,0.0282,0.0269,0.0269,0.0268,0.0265,0.0247,0.0178,0.0146,NO
