0,1,2,3,4,5,6,7,8,9,Associated
0.2057,0.1341,0.1047,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3133,0.1109,0.0271,0.0232,0.0097,0.0048,0.0,0.0,0.0,0.0,NO
0.6593,0.1056,0.0762,0.0542,0.0337,0.0151,0.0,0.0,0.0,0.0,NO
0.6139,0.3031,0.1316,0.1286,0.0143,0.009,0.0,0.0,0.0,0.0,NO
0.2874,0.2553,0.1316,0.0367,0.0143,0.0034,0.0,0.0,0.0,0.0,NO
0.1766,0.0992,0.0808,0.0762,0.0337,0.0079,0.0,0.0,0.0,0.0,NO
0.4224,0.1963,0.0374,0.0293,0.0218,0.0134,0.0069,0.0,0.0,0.0,NO
0.1058,0.1047,0.1016,0.0804,0.0062,0.0018,0.0002,0.0001,0.0,0.0,NO
0.2452,0.2216,0.1766,0.0965,0.0927,0.0762,0.0194,0.0177,0.0014,0.0,NO
1.0,1.0,1.0,0.6882,0.0397,0.0069,0.0007,0.0,0.0,0.0,YES
0.3591,0.1322,0.0992,0.0506,0.0506,0.0488,0.0337,0.0248,0.0209,0.0,NO
1.0,1.0,1.0,0.2705,0.0614,0.0162,0.016,0.0068,0.0,0.0,YES
0.3701,0.0808,0.0412,0.0179,0.0149,0.0,0.0,0.0,0.0,0.0,NO
0.3701,0.1774,0.0364,0.0195,0.0148,0.0106,0.0074,0.0,0.0,0.0,NO
0.3701,0.1275,0.0315,0.0227,0.016,0.0127,0.0011,0.0011,0.0,0.0,NO
0.1047,0.0161,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.5985,0.5133,0.4176,0.2553,0.1316,0.0485,0.0403,0.0276,0.0,0.0,NO
0.1047,0.044,0.0207,0.0128,0.0077,0.0056,0.0039,0.0,0.0,0.0,NO
0.4343,0.2553,0.1949,0.0991,0.0703,0.0367,0.024,0.0,0.0,0.0,NO
0.2508,0.1827,0.1332,0.1017,0.0894,0.0152,0.0126,0.0121,0.0001,0.0,NO
0.4715,0.3295,0.2752,0.2553,0.1755,0.1316,0.0386,0.0367,0.0,0.0,NO
1.0,1.0,1.0,0.5857,0.0379,0.0066,0.0053,0.0,0.0,0.0,YES
1.0,1.0,1.0,0.5954,0.0235,0.0231,0.0188,0.0125,0.0058,0.0,YES
1.0,1.0,1.0,1.0,0.085,0.0567,0.0361,0.0168,0.0,0.0,YES
1.0,1.0,0.4847,0.4661,0.0402,0.0366,0.0255,0.009,0.0076,0.0,YES
0.5187,0.1766,0.1192,0.0992,0.0762,0.0645,0.0244,0.0229,0.0134,0.0,NO
1.0,1.0,0.3196,0.1777,0.0166,0.0,0.0,0.0,0.0,0.0,YES
0.2054,0.1766,0.1105,0.0992,0.0762,0.0337,0.018,0.0141,0.0091,0.0,NO
1.0,1.0,0.382,0.1099,0.0476,0.0,0.0,0.0,0.0,0.0,YES
1.0,0.1672,0.0926,0.067,0.0257,0.004,0.0,0.0,0.0,0.0,YES
0.2452,0.22,0.1526,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1289,0.1278,0.0702,0.0261,0.018,0.012,0.0,0.0,0.0,0.0,NO
0.0665,0.0413,0.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.22,0.0759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.405,0.2796,0.1805,0.0978,0.0058,0.0,0.0,0.0,0.0,YES
1.0,0.405,0.0552,0.041,0.0168,0.0001,0.0,0.0,0.0,0.0,YES
0.2559,0.22,0.0193,0.0175,0.0131,0.0,0.0,0.0,0.0,0.0,NO
0.2314,0.2082,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1564,0.146,0.0176,0.008,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2082,0.0936,0.0646,0.0626,0.0422,0.024,0.0,0.0,0.0,0.0,NO
0.3658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.397,0.1558,0.1013,0.0369,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.397,0.1215,0.0654,0.0451,0.0266,0.0009,0.0,0.0,0.0,0.0,NO
1.0,1.0,0.107,0.0412,0.0,0.0,0.0,0.0,0.0,0.0,YES
0.1915,0.1188,0.1164,0.087,0.0233,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.405,0.2536,0.0163,0.0102,0.0033,0.0,0.0,0.0,0.0,YES
0.1005,0.0693,0.0406,0.0403,0.0309,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.9717,0.405,0.038,0.0349,0.0,0.0,0.0,0.0,0.0,YES
0.0766,0.0763,0.0573,0.0309,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2082,0.1688,0.1355,0.0503,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2314,0.2082,0.1196,0.1001,0.0543,0.0318,0.0049,0.0,0.0,0.0,NO
0.2314,0.2082,0.0595,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2314,0.0971,0.0735,0.0728,0.0076,0.0,0.0,0.0,0.0,0.0,NO
0.22,0.1278,0.12,0.0324,0.0248,0.0113,0.0,0.0,0.0,0.0,NO
0.2314,0.0878,0.0666,0.014,0.008,0.0,0.0,0.0,0.0,0.0,NO
0.2555,0.22,0.0872,0.0428,0.0119,0.0,0.0,0.0,0.0,0.0,NO
0.216,0.2057,0.0986,0.0194,0.0177,0.0,0.0,0.0,0.0,0.0,NO
0.3011,0.216,0.1109,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.6593,0.1539,0.1395,0.1363,0.1135,0.0529,0.0,0.0,0.0,0.0,NO
0.6139,0.3031,0.0165,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2874,0.0305,0.0262,0.014,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2077,0.1395,0.1363,0.1041,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.4224,0.216,0.1443,0.0784,0.0544,0.035,0.0,0.0,0.0,0.0,NO
0.0976,0.0804,0.0777,0.0187,0.0089,0.0071,0.0,0.0,0.0,0.0,NO
0.2357,0.2021,0.1395,0.1268,0.0927,0.0785,0.0038,0.0,0.0,0.0,NO
1.0,1.0,0.9611,0.5057,0.0126,0.0027,0.0,0.0,0.0,0.0,YES
0.3451,0.2077,0.1539,0.1363,0.0926,0.0359,0.0,0.0,0.0,0.0,NO
1.0,0.9611,0.7349,0.2705,0.0338,0.0166,0.0091,0.0,0.0,0.0,YES
0.0862,0.0597,0.0594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1774,0.0762,0.0336,0.0299,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.1275,0.0415,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.216,0.0349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.5752,0.5133,0.4176,0.0738,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0548,0.044,0.0311,0.0103,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.4343,0.1949,0.0516,0.044,0.0087,0.0,0.0,0.0,0.0,0.0,NO
0.216,0.1843,0.1827,0.0318,0.0222,0.0186,0.0,0.0,0.0,0.0,NO
0.4531,0.3295,0.2752,0.129,0.0808,0.0,0.0,0.0,0.0,0.0,NO
1.0,0.9611,0.7349,0.5857,0.0396,0.0365,0.0268,0.0,0.0,0.0,YES
1.0,1.0,0.9611,0.4376,0.0491,0.0344,0.0216,0.0,0.0,0.0,YES
1.0,1.0,0.9611,0.7349,0.1188,0.0128,0.0,0.0,0.0,0.0,YES
1.0,0.7349,0.4661,0.4658,0.0767,0.0575,0.0466,0.0,0.0,0.0,YES
0.5187,0.2077,0.1395,0.1192,0.0988,0.0979,0.0,0.0,0.0,0.0,NO
1.0,0.9611,0.3196,0.1306,0.0892,0.019,0.0,0.0,0.0,0.0,YES
0.2077,0.2054,0.1395,0.1363,0.1346,0.0812,0.0,0.0,0.0,0.0,NO
1.0,1.0,0.9432,0.1944,0.0863,0.0737,0.0504,0.0294,0.0,0.0,YES
1.0,0.2957,0.0926,0.0466,0.0231,0.0,0.0,0.0,0.0,0.0,YES
0.3542,0.3239,0.3149,0.2767,0.256,0.2517,0.2452,0.0444,0.0,0.0,NO
0.343,0.228,0.1325,0.1272,0.0643,0.0443,0.0084,0.0,0.0,0.0,NO
0.3722,0.2632,0.1206,0.0508,0.0363,0.0,0.0,0.0,0.0,0.0,NO
0.5415,0.4605,0.3542,0.3104,0.1731,0.1611,0.0759,0.0647,0.0,0.0,NO
1.0,1.0,0.3193,0.2796,0.1773,0.1737,0.1412,0.1388,0.0583,0.0,YES
1.0,1.0,0.0977,0.0643,0.041,0.0311,0.0185,0.0002,0.0,0.0,YES
0.5415,0.4653,0.4526,0.4479,0.4416,0.2109,0.204,0.0583,0.0175,0.0131,NO
0.4197,0.0578,0.0069,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.4653,0.4605,0.4054,0.3542,0.2767,0.256,0.1009,0.0293,0.0198,0.0,NO
0.1656,0.1225,0.1135,0.075,0.0646,0.0593,0.049,0.0422,0.0277,0.0,NO
0.7376,0.647,0.2596,0.1911,0.0993,0.0549,0.0465,0.0,0.0,0.0,NO
0.7376,0.7021,0.169,0.1558,0.1173,0.1142,0.1013,0.0777,0.0454,0.0,NO
0.7376,0.7021,0.1616,0.1215,0.1115,0.0491,0.0324,0.0113,0.0,0.0,NO
1.0,1.0,0.2641,0.0906,0.0729,0.0166,0.0144,0.0,0.0,0.0,YES
0.3638,0.3386,0.2632,0.2154,0.1565,0.1486,0.0,0.0,0.0,0.0,NO
1.0,1.0,0.2536,0.0808,0.0634,0.0185,0.0152,0.0132,0.0,0.0,YES
0.3722,0.2632,0.251,0.1823,0.0403,0.0,0.0,0.0,0.0,0.0,NO
1.0,1.0,0.9717,0.274,0.2654,0.0871,0.0706,0.0309,0.013,0.0,YES
0.3722,0.2632,0.1791,0.1383,0.1355,0.0,0.0,0.0,0.0,0.0,NO
0.2458,0.1688,0.1162,0.0695,0.0658,0.0503,0.0,0.0,0.0,0.0,NO
0.4197,0.1196,0.1089,0.1001,0.0786,0.0709,0.069,0.0,0.0,0.0,NO
0.4197,0.2665,0.2633,0.2605,0.0595,0.0237,0.0173,0.0,0.0,0.0,NO
0.4197,0.17,0.1234,0.0957,0.0728,0.0166,0.0,0.0,0.0,0.0,NO
0.5415,0.4653,0.4605,0.2568,0.226,0.2177,0.1629,0.1286,0.0799,0.0,NO
0.4197,0.2648,0.1484,0.0878,0.0567,0.0199,0.0,0.0,0.0,0.0,NO
0.5415,0.4653,0.4605,0.4519,0.3542,0.2238,0.0872,0.0492,0.0185,0.0,NO
0.1568,0.0921,0.0534,0.0442,0.0369,0.0357,0.0353,0.0152,0.0,0.0,NO
0.2059,0.1304,0.0921,0.0781,0.0619,0.0192,0.0034,0.0,0.0,0.0,NO
0.412,0.4028,0.3107,0.3076,0.2585,0.2565,0.228,0.1923,0.1192,0.1143,YES
1.0,0.9216,0.7346,0.5036,0.3884,0.0525,0.0466,0.0304,0.0101,0.0074,YES
1.0,1.0,1.0,1.0,0.5632,0.061,0.0498,0.0481,0.0318,0.0,YES
0.7346,0.4323,0.3519,0.3107,0.2565,0.2247,0.208,0.1737,0.0719,0.0028,YES
0.1884,0.1663,0.1658,0.1327,0.1238,0.1005,0.0921,0.0732,0.07,0.0222,NO
0.1663,0.0982,0.0471,0.0465,0.0374,0.0369,0.0162,0.012,0.0038,0.0032,NO
0.7346,0.4323,0.3423,0.3368,0.2565,0.2533,0.197,0.1789,0.1566,0.1342,YES
0.3019,0.1733,0.1552,0.1502,0.0778,0.0232,0.0061,0.0019,0.0,0.0,NO
0.7346,0.5679,0.3519,0.3368,0.3236,0.3107,0.3076,0.1883,0.1702,0.0787,YES
0.1181,0.113,0.0573,0.0546,0.0469,0.0391,0.0332,0.0099,0.0039,0.0024,NO
0.3291,0.1879,0.1461,0.125,0.1193,0.113,0.0438,0.0091,0.0,0.0,NO
0.3291,0.3152,0.1481,0.1291,0.0827,0.0681,0.0362,0.0143,0.0037,0.0,NO
0.3291,0.1233,0.117,0.0762,0.0392,0.0289,0.0185,0.0099,0.0045,0.0,NO
0.0921,0.0794,0.0681,0.0632,0.0439,0.0369,0.0104,0.0,0.0,0.0,NO
1.0,1.0,0.9773,0.7528,0.5522,0.1358,0.1186,0.1133,0.089,0.0,YES
0.1663,0.1052,0.0709,0.0658,0.0506,0.0502,0.0369,0.0233,0.019,0.011,NO
1.0,1.0,1.0,0.7529,0.5403,0.1817,0.0808,0.0753,0.0079,0.0037,YES
0.3664,0.2187,0.1663,0.1184,0.0921,0.063,0.0539,0.0494,0.0407,0.0371,NO
1.0,1.0,1.0,1.0,0.7346,0.1369,0.0571,0.0198,0.0,0.0,YES
0.113,0.1015,0.0928,0.0791,0.061,0.0155,0.0019,0.0,0.0,0.0,NO
0.1733,0.159,0.0832,0.0673,0.0633,0.0566,0.05,0.0131,0.0092,0.0044,NO
0.2743,0.2079,0.2013,0.1929,0.1733,0.113,0.0657,0.0055,0.0039,0.0,NO
0.2464,0.2429,0.1733,0.13,0.115,0.113,0.0985,0.0857,0.0447,0.0027,NO
0.7346,0.4323,0.3652,0.3519,0.3368,0.2565,0.2252,0.1957,0.1743,0.0899,YES
0.4518,0.3393,0.1917,0.1783,0.1733,0.1524,0.0201,0.0081,0.0033,0.0,NO
0.7346,0.4323,0.3832,0.3519,0.3368,0.3107,0.2689,0.2565,0.1323,0.0704,YES
0.2169,0.1996,0.1295,0.1265,0.0699,0.0145,0.0061,0.0,0.0,0.0,NO
0.3133,0.1996,0.1064,0.0682,0.0629,0.0201,0.0,0.0,0.0,0.0,NO
0.4056,0.2137,0.1264,0.0841,0.0489,0.0429,0.0,0.0,0.0,0.0,NO
0.6139,0.3054,0.1865,0.082,0.0042,0.0,0.0,0.0,0.0,0.0,NO
0.3054,0.1768,0.0251,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3573,0.1539,0.0855,0.0535,0.0429,0.0165,0.0,0.0,0.0,0.0,NO
0.2599,0.1996,0.1895,0.1148,0.0606,0.058,0.0506,0.0288,0.0171,0.0,NO
