0,1,2,3,4,5,6,7,8,9,Associated
0.2201,0.1341,0.1047,0.05,0.0326,0.0259,0.0169,0.0048,0.0037,0.0,NO
0.3133,0.2201,0.1109,0.0353,0.0321,0.0141,0.0118,0.0097,0.0058,0.0051,NO
0.6593,0.1818,0.1065,0.1056,0.0542,0.0337,0.0248,0.0228,0.0072,0.0,NO
0.3895,0.3384,0.2042,0.1818,0.176,0.1286,0.1101,0.0367,0.0126,0.009,NO
0.2874,0.1818,0.1543,0.1516,0.0795,0.0367,0.0217,0.0193,0.0059,0.0,NO
0.3464,0.1766,0.1415,0.1245,0.0992,0.0969,0.0762,0.0415,0.0248,0.0175,NO
0.4224,0.2344,0.2201,0.1047,0.0894,0.0545,0.0491,0.0374,0.0069,0.0,NO
0.2201,0.1135,0.1058,0.1047,0.0243,0.0133,0.0002,0.0,0.0,0.0,NO
0.444,0.2452,0.2186,0.1818,0.1766,0.0992,0.0762,0.0337,0.0299,0.0159,NO
1.0,0.8445,0.4091,0.3327,0.0372,0.0296,0.0123,0.0031,0.002,0.0007,YES
0.7077,0.3591,0.1766,0.1337,0.1142,0.0884,0.0506,0.0311,0.0272,0.0093,NO
1.0,1.0,0.3327,0.2705,0.0162,0.013,0.0104,0.0015,0.0012,0.0,YES
0.3126,0.0411,0.0367,0.024,0.0239,0.0179,0.0,0.0,0.0,0.0,NO
0.3391,0.2085,0.0323,0.0195,0.0148,0.0074,0.0069,0.0,0.0,0.0,NO
0.3391,0.1733,0.0448,0.0287,0.0127,0.0011,0.0,0.0,0.0,0.0,NO
0.1047,0.0581,0.0439,0.0352,0.0321,0.0246,0.0086,0.0042,0.0,0.0,NO
0.2942,0.2207,0.191,0.1818,0.1636,0.1389,0.0516,0.0485,0.0403,0.0367,NO
0.2201,0.1308,0.1047,0.044,0.0299,0.0207,0.0128,0.0077,0.0068,0.0039,NO
0.4343,0.391,0.2553,0.1818,0.1468,0.0768,0.0703,0.0533,0.0367,0.0224,NO
0.2508,0.2201,0.1047,0.0907,0.0277,0.0152,0.0131,0.0121,0.0001,0.0,NO
0.2553,0.1149,0.0902,0.0654,0.0386,0.0268,0.0192,0.0,0.0,0.0,NO
1.0,0.8156,0.5857,0.3327,0.0677,0.0176,0.0075,0.0066,0.0,0.0,YES
1.0,0.5954,0.5882,0.3327,0.0929,0.0058,0.0,0.0,0.0,0.0,YES
1.0,1.0,1.0,0.3327,0.0957,0.0363,0.0275,0.0168,0.0052,0.0,YES
1.0,1.0,1.0,0.3327,0.1067,0.0402,0.009,0.0,0.0,0.0,YES
0.5187,0.2322,0.1766,0.1285,0.1092,0.0885,0.0526,0.0397,0.0292,0.0244,NO
1.0,1.0,0.3327,0.1777,0.084,0.0291,0.0166,0.0,0.0,0.0,YES
0.3939,0.2574,0.2183,0.1818,0.0992,0.0744,0.0586,0.0205,0.018,0.0141,NO
1.0,1.0,1.0,0.0411,0.0406,0.0313,0.0032,0.0,0.0,0.0,YES
1.0,1.0,0.0926,0.0813,0.0671,0.0488,0.0221,0.0034,0.0,0.0,YES
0.2853,0.2584,0.1375,0.1246,0.092,0.0048,0.0,0.0,0.0,0.0,NO
0.1289,0.1278,0.1038,0.0857,0.0357,0.0319,0.0309,0.0,0.0,0.0,NO
0.1011,0.0931,0.056,0.049,0.0309,0.0283,0.0,0.0,0.0,0.0,NO
0.2584,0.2515,0.2103,0.1656,0.1426,0.0759,0.0297,0.0259,0.0148,0.0,NO
1.0,1.0,1.0,0.0949,0.0559,0.0325,0.0058,0.0,0.0,0.0,YES
1.0,1.0,0.041,0.0357,0.0337,0.0324,0.0001,0.0,0.0,0.0,YES
0.2853,0.2584,0.2559,0.2515,0.1426,0.0134,0.0131,0.0,0.0,0.0,NO
0.3066,0.2082,0.0312,0.0299,0.0056,0.0015,0.0006,0.0,0.0,0.0,NO
0.2584,0.2302,0.2243,0.1564,0.1426,0.0887,0.0198,0.0195,0.0,0.0,NO
0.3066,0.2082,0.0593,0.041,0.0124,0.0101,0.0013,0.0,0.0,0.0,NO
0.3658,0.0553,0.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
