0,1,2,3,4,5,6,7,8,9,Associated
0.2201,0.1341,0.0259,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.2201,0.1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.6593,0.1056,0.0997,0.0585,0.0151,0.0,0.0,0.0,0.0,0.0,NO
0.3895,0.3384,0.2042,0.1352,0.1055,0.0143,0.0,0.0,0.0,0.0,NO
0.3315,0.2874,0.1394,0.1121,0.0459,0.0367,0.0,0.0,0.0,0.0,NO
0.3464,0.166,0.1245,0.0969,0.0808,0.0585,0.0,0.0,0.0,0.0,NO
0.2344,0.1963,0.1542,0.0894,0.0418,0.0417,0.0,0.0,0.0,0.0,NO
0.2201,0.1135,0.1016,0.0472,0.0122,0.0,0.0,0.0,0.0,0.0,NO
0.444,0.2186,0.1818,0.0804,0.0501,0.0159,0.0,0.0,0.0,0.0,NO
1.0,0.6882,0.4091,0.3327,0.0414,0.002,0.0,0.0,0.0,0.0,YES
0.1322,0.1142,0.0557,0.0506,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,1.0,1.0,0.1734,0.08,0.013,0.0028,0.0015,0.0,0.0,YES
0.3701,0.3126,0.0808,0.0411,0.0326,0.0179,0.0,0.0,0.0,0.0,NO
0.3574,0.3391,0.0195,0.0148,0.0069,0.0,0.0,0.0,0.0,0.0,NO
0.3691,0.3391,0.0501,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.3249,0.2201,0.0321,0.0292,0.0246,0.0018,0.0,0.0,0.0,0.0,NO
0.5985,0.2942,0.1367,0.115,0.0276,0.0,0.0,0.0,0.0,0.0,NO
0.2201,0.1308,0.044,0.0326,0.0276,0.0163,0.0039,0.0019,0.0,0.0,NO
0.4343,0.1818,0.0876,0.0768,0.0703,0.0371,0.0367,0.0,0.0,0.0,NO
0.2508,0.2201,0.1332,0.0975,0.0894,0.0109,0.0,0.0,0.0,0.0,NO
