id,text
29.txt,averag time wait allow oper get estim averag time requir serv book oper estim averag time serv reserv request oper activ execut servic calcul estim time averag mask see result calcul estim time medium serv request reserv start function result calcul oper decid print inform start print inform display gener report send printer oper cancel oper end use case failur time servic deliv day equal time date request reserv appoint assign
15.txt,chang reserv allow oper meet request chang reserv servic outpati chang patient mean shift date date next oper chang rent outpati servic previous request patient oper recogn system see uc val op patient recogn system see uc val paz reserv requir amend data modifi success reserv success slip date next oper activ execut servic chang reserv reserv patient select reserv chang confirm select mask chang reserv includ select date avail confirm chang verif sequenc reserv valid see br val seq rememb updat notifi oper oper conclud success sequenc reserv invalid system show appropri messag system rejuven run step oper cancel oper review end use case failur sequenc reserv ricontrollata patient take edit differ reserv
14.txt,book visit allow oper meet request book servic ambulatori patient oper record rent outpati servic request patient oper recogn system see uc val op patient recogn system see uc val paz issu modul properli complet data modifi success outpati servic requir properli book oper activ execut servic book servic outpati first visit oper receiv request first visit part patient insert anagrafica patient mask book servic outpati select type visit patient want make insert motiv request confirm data insert verifi sequenc reserv valid see br val seq includ select date avail confirm reserv store data notifi oper oper conclud success sequenc reserv invalid show appropri messag reinsert execut step oper cancel oper reserv end use case failur first visit shown point save person data addit patient case visit system print card hospit patient
28.txt,report examin allow oper report test carri refer visit outpati oper report test carri oper recogn system see uc val op oper activ execut report servic examin mask view report exam select storm confirm select access databas train requir inform obtain oper decid print inform start print inform display gener report send printer oper cancel oper end use case failur system display exam indic date prescrib prescript complet date patient medic prescrib diagnosi laboratori examin carri
16.txt,cancel reserv allow oper meet request annul rent outpati servic patient oper cancel reserv outpati ambulatori servic previous request patient oper recogn system see uc val op patient recogn system see uc val paz reserv requir cancel data modifi success reserv definit annul oper activ execut servic cancel reserv reserv patient select reserv chang confirm cancel verifi sequenc reserv valid see br val seq cancel reserv notifi oper oper conclud success sequenc reserv invalid show appropri messag reinsert run step oper cancel oper review end use case failur sequenc reserv ricontrollata patient take cancel reserv
17.txt,chang anagrafica patient allow oper chang anagrafica patient outpati deal modif data anagrafica patient oper recogn system see uc val op patient recogn system see uc val paz age patient insid anagrafica data patient modifi remain execut success anagrafica patient properli chang oper activ execut chang servic anagrafica patient mask edit anagrafica patient cgang anagrafica patient confirm chang verifi data insert oper rememb updat notifi oper finish success invalid data set messag show data deem invalid reinsert run underpin field form data instert user oper cancel function chang end execut use case failur anagrafica patient character follow data surnam sex code tax date birth place birth provinc birth place address home provinc resid address zip code addit telephon note nb ital highlight data option inclus doe affect correct complet oper
13.txt,delet examin allow oper delet visit previous record oper delet review previous record oper recogn system see uc val op examin show regist data modifi success folder clinic patient undergon examin elimin updat oper activ execut servic elimin examin examin conduct chronolog order select examin chang confirm select mask view confirm delt delet examin notifi oper oper conclud success oper cancel oper review end use case failur mask contain inform relat select allow monitor proceed delet
12.txt,chang examin allow oper chang examin previous record oper chang examin previous record oper recogn system see uc val op examin regist oper receiv result chang clinic folder patient undergon chang success inform examin updat patient clinic folder oper activ execut servic modifi examin test carri chronolog order select examin chang confirm select mask modif examin chang data confirm chang verifi data insert oper rememb updat commun oper oper conclud success invalid data set show appropri messag take run underpin field form data insert oper oper cancel oper review end use case failur data requir registr consider type examin inform relat laboratori valu result diagnost evalu doctor
10.txt,delet visit allow oper delet visit previous record oper delet visit previous record oper recogn system see uc val op visit regist data modifi success folder clinic patient submit visit elimin updat oper activ execut servic elimin visit visit chronolog order select visit delet confirm select mask view visit confirm delet delet visit examin relat notifi oper oper conclud success oper cancel oper review end use case failur mask contain data visit select allow oper verifi proceed delet
11.txt,input examin allow oper record result examin support patient requir visit held outpati oper enter detail review support patient oper recogn system see uc val op visit refer examin record data modifi success folder clinic patient argu examin updat oper activ execut input servic data examin mask record examin input necessari data registr examin confirm input verifi data insert oper store data confirm elimin notifi oper oper conclud success invalid data set show appropri messag take run step underpin field form data insert user oper cancel oper registr end use case failur data requir registr consider type examin inform relat laboratori valu result diagnost evalu doctor
